county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day,provisional
Robertson,Calvert 1,Registered Voters,,,,1301,,,,
Robertson,Hearne 2,Registered Voters,,,,1347,,,,
Robertson,Wheelock 3,Registered Voters,,,,592,,,,
Robertson,Bald Prairie 4,Registered Voters,,,,706,,,,
Robertson,Bremond 5,Registered Voters,,,,1482,,,,
Robertson,Franklin 6,Registered Voters,,,,1566,,,,
Robertson,Seale 8,Registered Voters,,,,250,,,,
Robertson,Benchley 11,Registered Voters,,,,1251,,,,
Robertson,Elliott 13,Registered Voters,,,,226,,,,
Robertson,Easterly 16,Registered Voters,,,,278,,,,
Robertson,New Baden 19,Registered Voters,,,,594,,,,
Robertson,Teal Center 22,Registered Voters,,,,1493,,,,
Robertson,Christian Faith 23,Registered Voters,,,,756,,,,
Robertson,Calvert 1,Ballots Cast,,,,342,10,183,149,0
Robertson,Hearne 2,Ballots Cast,,,,354,11,190,153,0
Robertson,Wheelock 3,Ballots Cast,,,,240,4,79,157,0
Robertson,Bald Prairie 4,Ballots Cast,,,,281,5,184,92,0
Robertson,Bremond 5,Ballots Cast,,,,502,20,210,272,0
Robertson,Franklin 6,Ballots Cast,,,,491,11,261,219,0
Robertson,Seale 8,Ballots Cast,,,,134,8,21,104,1
Robertson,Benchley 11,Ballots Cast,,,,323,25,104,194,0
Robertson,Elliott 13,Ballots Cast,,,,87,1,50,36,0
Robertson,Easterly 16,Ballots Cast,,,,113,2,50,61,0
Robertson,New Baden 19,Ballots Cast,,,,255,11,138,106,0
Robertson,Teal Center 22,Ballots Cast,,,,201,19,77,104,1
Robertson,Christian Faith 23,Ballots Cast,,,,143,10,72,61,0
Robertson,Calvert 1,Ballots Cast,,REP,,284,4,161,119,0
Robertson,Hearne 2,Ballots Cast,,REP,,315,10,167,138,0
Robertson,Wheelock 3,Ballots Cast,,REP,,227,3,73,151,0
Robertson,Bald Prairie 4,Ballots Cast,,REP,,265,1,179,85,0
Robertson,Bremond 5,Ballots Cast,,REP,,443,9,189,245,0
Robertson,Franklin 6,Ballots Cast,,REP,,463,7,249,207,0
Robertson,Seale 8,Ballots Cast,,REP,,126,8,21,96,1
Robertson,Benchley 11,Ballots Cast,,REP,,273,8,91,174,0
Robertson,Elliott 13,Ballots Cast,,REP,,85,1,49,35,0
Robertson,Easterly 16,Ballots Cast,,REP,,111,2,50,59,0
Robertson,New Baden 19,Ballots Cast,,REP,,242,7,135,100,0
Robertson,Teal Center 22,Ballots Cast,,REP,,85,1,36,48,0
Robertson,Christian Faith 23,Ballots Cast,,REP,,111,1,65,45,0
Robertson,Calvert 1,Ballots Cast,,DEM,,58,6,22,30,0
Robertson,Hearne 2,Ballots Cast,,DEM,,39,1,23,15,0
Robertson,Wheelock 3,Ballots Cast,,DEM,,13,1,6,6,0
Robertson,Bald Prairie 4,Ballots Cast,,DEM,,16,4,5,7,0
Robertson,Bremond 5,Ballots Cast,,DEM,,59,11,21,27,0
Robertson,Franklin 6,Ballots Cast,,DEM,,28,4,12,12,0
Robertson,Seale 8,Ballots Cast,,DEM,,8,0,0,8,0
Robertson,Benchley 11,Ballots Cast,,DEM,,50,17,13,20,0
Robertson,Elliott 13,Ballots Cast,,DEM,,2,0,1,1,0
Robertson,Easterly 16,Ballots Cast,,DEM,,2,0,0,2,0
Robertson,New Baden 19,Ballots Cast,,DEM,,13,4,3,6,0
Robertson,Teal Center 22,Ballots Cast,,DEM,,116,18,41,56,1
Robertson,Christian Faith 23,Ballots Cast,,DEM,,32,9,7,16,0
Robertson,Calvert 1,U.S. House,17,REP,"Jason ""Stormchaser"" Nelson",26,0,13,13,0
Robertson,Hearne 2,U.S. House,17,REP,"Jason ""Stormchaser"" Nelson",22,0,10,12,0
Robertson,Wheelock 3,U.S. House,17,REP,"Jason ""Stormchaser"" Nelson",22,0,5,17,0
Robertson,Bald Prairie 4,U.S. House,17,REP,"Jason ""Stormchaser"" Nelson",18,0,13,5,0
Robertson,Bremond 5,U.S. House,17,REP,"Jason ""Stormchaser"" Nelson",27,0,10,17,0
Robertson,Franklin 6,U.S. House,17,REP,"Jason ""Stormchaser"" Nelson",41,0,20,21,0
Robertson,Seale 8,U.S. House,17,REP,"Jason ""Stormchaser"" Nelson",9,0,1,8,0
Robertson,Benchley 11,U.S. House,17,REP,"Jason ""Stormchaser"" Nelson",21,1,5,15,0
Robertson,Elliott 13,U.S. House,17,REP,"Jason ""Stormchaser"" Nelson",9,0,5,4,0
