county,precinct,office,district,party,candidate,election_day,early_voting,votes
Donley,101,U.S. Senate,,REP,John Cornyn,46,46,92
Donley,101,U.S. Senate,,DEM,David M. Alameel,1,3,4
Donley,101,U.S. Senate,,LIB,Rebecca Paddock,0,2,2
Donley,101,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",1,0,1
Donley,101,U.S. Senate,,,Mohammed Tahiro,0,0,0
Donley,102,U.S. Senate,,REP,John Cornyn,63,45,108
Donley,102,U.S. Senate,,DEM,David M. Alameel,8,6,14
Donley,102,U.S. Senate,,LIB,Rebecca Paddock,3,0,3
Donley,102,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",0,0,0
Donley,102,U.S. Senate,,,Mohammed Tahiro,0,0,0
Donley,201,U.S. Senate,,REP,John Cornyn,118,133,251
Donley,201,U.S. Senate,,DEM,David M. Alameel,13,15,28
Donley,201,U.S. Senate,,LIB,Rebecca Paddock,9,2,11
Donley,201,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",1,0,1
Donley,201,U.S. Senate,,,Mohammed Tahiro,0,0,0
Donley,301,U.S. Senate,,REP,John Cornyn,26,50,76
Donley,301,U.S. Senate,,DEM,David M. Alameel,1,0,1
Donley,301,U.S. Senate,,LIB,Rebecca Paddock,1,0,1
Donley,301,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",0,1,1
Donley,301,U.S. Senate,,,Mohammed Tahiro,0,0,0
Donley,303,U.S. Senate,,REP,John Cornyn,68,27,95
Donley,303,U.S. Senate,,DEM,David M. Alameel,12,4,16
Donley,303,U.S. Senate,,LIB,Rebecca Paddock,1,1,2
Donley,303,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",1,0,1
Donley,303,U.S. Senate,,,Mohammed Tahiro,0,0,0
Donley,401,U.S. Senate,,REP,John Cornyn,93,86,179
Donley,401,U.S. Senate,,DEM,David M. Alameel,9,22,31
Donley,401,U.S. Senate,,LIB,Rebecca Paddock,4,1,5
Donley,401,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",4,0,4
Donley,401,U.S. Senate,,,Mohammed Tahiro,0,0,0
Donley,101,U.S. House,13,REP,Mac Thornberry,44,46,90
Donley,101,U.S. House,13,DEM,Mike Minter,3,3,6
Donley,101,U.S. House,13,LIB,Emily Pivoda,1,3,4
Donley,101,U.S. House,13,GRN,Don Cook,0,1,1
Donley,102,U.S. House,13,REP,Mac Thornberry,61,44,105
Donley,102,U.S. House,13,DEM,Mike Minter,11,6,17
Donley,102,U.S. House,13,LIB,Emily Pivoda,2,1,3
Donley,102,U.S. House,13,GRN,Don Cook,0,0,0
Donley,201,U.S. House,13,REP,Mac Thornberry,127,134,261
Donley,201,U.S. House,13,DEM,Mike Minter,12,12,24
Donley,201,U.S. House,13,LIB,Emily Pivoda,4,2,6
Donley,201,U.S. House,13,GRN,Don Cook,0,3,3
Donley,301,U.S. House,13,REP,Mac Thornberry,27,51,78
Donley,301,U.S. House,13,DEM,Mike Minter,0,0,0
Donley,301,U.S. House,13,LIB,Emily Pivoda,0,0,0
Donley,301,U.S. House,13,GRN,Don Cook,1,0,1
Donley,303,U.S. House,13,REP,Mac Thornberry,70,28,98
Donley,303,U.S. House,13,DEM,Mike Minter,11,4,15
Donley,303,U.S. House,13,LIB,Emily Pivoda,1,0,1
Donley,303,U.S. House,13,GRN,Don Cook,1,0,1
Donley,401,U.S. House,13,REP,Mac Thornberry,96,87,183
Donley,401,U.S. House,13,DEM,Mike Minter,9,21,30
Donley,401,U.S. House,13,LIB,Emily Pivoda,6,1,7
Donley,401,U.S. House,13,GRN,Don Cook,1,0,1
Donley,101,U.S. Senate,,REP,Greg Abbott,45,49,94
Donley,101,U.S. Senate,,DEM,Wendy R. Davis,1,3,4
Donley,101,U.S. Senate,,LIB,Kathie Glass,2,1,3
Donley,101,U.S. Senate,,GRN,Brandon Palmer,0,0,0
Donley,101,U.S. Senate,,,Sarah M. Pavitt,0,0,0
Donley,102,U.S. Senate,,REP,Greg Abbott,63,47,110
Donley,102,U.S. Senate,,DEM,Wendy R. Davis,10,5,15
Donley,102,U.S. Senate,,LIB,Kathie Glass,2,0,2
Donley,102,U.S. Senate,,GRN,Brandon Palmer,0,0,0
Donley,102,U.S. Senate,,,Sarah M. Pavitt,0,0,0
Donley,201,U.S. Senate,,REP,Greg Abbott,117,130,247
Donley,201,U.S. Senate,,DEM,Wendy R. Davis,20,20,40
Donley,201,U.S. Senate,,LIB,Kathie Glass,6,2,8
Donley,201,U.S. Senate,,GRN,Brandon Palmer,0,1,1
Donley,201,U.S. Senate,,,Sarah M. Pavitt,0,0,0
Donley,301,U.S. Senate,,REP,Greg Abbott,25,52,77
Donley,301,U.S. Senate,,DEM,Wendy R. Davis,2,0,2
Donley,301,U.S. Senate,,LIB,Kathie Glass,0,0,0
Donley,301,U.S. Senate,,GRN,Brandon Palmer,1,0,1
Donley,301,U.S. Senate,,,Sarah M. Pavitt,0,0,0
Donley,303,U.S. Senate,,REP,Greg Abbott,68,27,95
Donley,303,U.S. Senate,,DEM,Wendy R. Davis,13,4,17
Donley,303,U.S. Senate,,LIB,Kathie Glass,2,0,2
Donley,303,U.S. Senate,,GRN,Brandon Palmer,0,1,1
Donley,303,U.S. Senate,,,Sarah M. Pavitt,0,0,0
Donley,401,U.S. Senate,,REP,Greg Abbott,91,89,180
Donley,401,U.S. Senate,,DEM,Wendy R. Davis,21,21,42
Donley,401,U.S. Senate,,LIB,Kathie Glass,2,0,2
Donley,401,U.S. Senate,,GRN,Brandon Palmer,0,0,0
Donley,401,U.S. Senate,,,Sarah M. Pavitt,0,0,0
Donley,101,Lieutenant Governor,,REP,Dan Patrick,44,48,92
Donley,101,Lieutenant Governor,,DEM,Leticia Van De Putte,2,3,5
Donley,101,Lieutenant Governor,,LIB,Robert D. Butler,1,1,2
Donley,101,Lieutenant Governor,,GRN,Chandrakantha Courtney,1,0,1
Donley,102,Lieutenant Governor,,REP,Dan Patrick,62,48,110
Donley,102,Lieutenant Governor,,DEM,Leticia Van De Putte,9,4,13
Donley,102,Lieutenant Governor,,LIB,Robert D. Butler,4,0,4
Donley,102,Lieutenant Governor,,GRN,Chandrakantha Courtney,0,0,0
Donley,201,Lieutenant Governor,,REP,Dan Patrick,114,128,242
Donley,201,Lieutenant Governor,,DEM,Leticia Van De Putte,20,19,39
