county,precinct,office,district,party,candidate,votes,early_voting,election_day
Brazos,1,Straight Party,,,Republican,117,45,72
Brazos,1,Straight Party,,DEM,Democratic,26,6,20
Brazos,1,Straight Party,,LIB,Libertarian,3,0,3
Brazos,1,Straight Party,,GRN,Green,1,0,1
Brazos,1,U.S. Senate,,,John Cornyn,214,87,127
Brazos,1,U.S. Senate,,,Over Votes,0,0,0
Brazos,1,U.S. Senate,,,Under Votes,7,4,3
Brazos,1,U.S. Senate,,DEM,David M. Alameel,48,18,30
Brazos,1,U.S. Senate,,LIB,Rebecca Paddock,16,1,15
Brazos,1,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",0,0,0
Brazos,1,U.S. Senate,,,Mohammed Tahiro,0,0,0
Brazos,1,U.S. Representative District 17,,,Bill Flores,225,92,133
Brazos,1,U.S. Representative District 17,,,Over Votes,0,0,0
Brazos,1,U.S. Representative District 17,,,Under Votes,2,1,1
Brazos,1,U.S. Representative District 17,,DEM,Nick Haynes,50,17,33
Brazos,1,U.S. Representative District 17,,LIB,Shawn Michael Hamilton,8,0,8
Brazos,1,Governor,,,Greg Abbott,216,90,126
Brazos,1,Governor,,,Over Votes,1,1,0
Brazos,1,Governor,,,Under Votes,2,1,1
Brazos,1,Governor,,DEM,Wendy R. Davis,60,18,42
Brazos,1,Governor,,LIB,Kathie Glass,5,0,5
Brazos,1,Governor,,GRN,Brandon Parmer,1,0,1
Brazos,1,Governor,,,Sarah Pavitt,0,0,0
Brazos,1,Lieutenant Governor,,,Dan Patrick,214,87,127
Brazos,1,Lieutenant Governor,,,Over Votes,0,0,0
Brazos,1,Lieutenant Governor,,,Under Votes,4,2,2
Brazos,1,Lieutenant Governor,,DEM,Leticia Van de Putte,54,21,33
Brazos,1,Lieutenant Governor,,LIB,Robert D. Butler,13,0,13
Brazos,1,Lieutenant Governor,,GRN,Chandrakantha Courtney,0,0,0
Brazos,1,Attorney General,,,Ken Paxton,211,88,123
Brazos,1,Attorney General,,,Over Votes,0,0,0
Brazos,1,Attorney General,,,Under Votes,4,1,3
Brazos,1,Attorney General,,DEM,Sam Houston,61,21,40
Brazos,1,Attorney General,,LIB,Jamie Balagia,9,0,9
Brazos,1,Attorney General,,GRN,Jamar Osborne,0,0,0
Brazos,1,Comptroller of Public Accounts,,,Glenn Hegar,210,90,120
Brazos,1,Comptroller of Public Accounts,,,Over Votes,0,0,0
Brazos,1,Comptroller of Public Accounts,,,Under Votes,7,2,5
Brazos,1,Comptroller of Public Accounts,,DEM,Mike Collier,55,17,38
Brazos,1,Comptroller of Public Accounts,,LIB,Ben Sanders,10,1,9
Brazos,1,Comptroller of Public Accounts,,GRN,Deb Shafto,3,0,3
Brazos,1,Commissioner of the General Land Office,,,George P. Bush,217,90,127
Brazos,1,Commissioner of the General Land Office,,,Over Votes,0,0,0
Brazos,1,Commissioner of the General Land Office,,,Under Votes,4,1,3
Brazos,1,Commissioner of the General Land Office,,DEM,John Cook,52,18,34
Brazos,1,Commissioner of the General Land Office,,LIB,Justin Knight,11,1,10
Brazos,1,Commissioner of the General Land Office,,GRN,Valerie Alessi,1,0,1
Brazos,1,Commissioner of Agriculture,,,Sid Miller,208,86,122
Brazos,1,Commissioner of Agriculture,,,Over Votes,0,0,0
Brazos,1,Commissioner of Agriculture,,,Under Votes,8,3,5
Brazos,1,Commissioner of Agriculture,,DEM,Jim Hogan,56,20,36
Brazos,1,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,10,1,9
Brazos,1,Commissioner of Agriculture,,GRN,Kenneth Kendrick,3,0,3
Brazos,1,Railroad Commissioner,,,Ryan Sitton,209,85,124
Brazos,1,Railroad Commissioner,,,Over Votes,0,0,0
Brazos,1,Railroad Commissioner,,,Under Votes,7,3,4
Brazos,1,Railroad Commissioner,,DEM,Steve Brown,52,21,31
Brazos,1,Railroad Commissioner,,LIB,Mark A. Miller,14,1,13
Brazos,1,Railroad Commissioner,,GRN,Martina Salinas,3,0,3
Brazos,1,"Chief Justice, Supreme Court",,,Nathan Hecht,213,90,123
Brazos,1,"Chief Justice, Supreme Court",,,Over Votes,0,0,0
Brazos,1,"Chief Justice, Supreme Court",,,Under Votes,6,1,5
Brazos,1,"Chief Justice, Supreme Court",,DEM,William Moody,54,18,36
Brazos,1,"Chief Justice, Supreme Court",,LIB,Tom Oxford,12,1,11
Brazos,1,"Justice, Supreme Court, Place 6, Unexpired Term",,,Jeff Brown,215,88,127
Brazos,1,"Justice, Supreme Court, Place 6, Unexpired Term",,,Over Votes,0,0,0
Brazos,1,"Justice, Supreme Court, Place 6, Unexpired Term",,,Under Votes,6,3,3
Brazos,1,"Justice, Supreme Court, Place 6, Unexpired Term",,DEM,Lawrence Edward Meyers,52,18,34
Brazos,1,"Justice, Supreme Court, Place 6, Unexpired Term",,LIB,Mark Ash,12,1,11
Brazos,1,"Justice, Supreme Court, Place 7",,,Jeff Boyd,216,89,127
Brazos,1,"Justice, Supreme Court, Place 7",,,Over Votes,0,0,0
Brazos,1,"Justice, Supreme Court, Place 7",,,Under Votes,7,3,4
Brazos,1,"Justice, Supreme Court, Place 7",,DEM,Gina Benavides,48,17,31
Brazos,1,"Justice, Supreme Court, Place 7",,LIB,Don Fulton,13,1,12
Brazos,1,"Justice, Supreme Court, Place 7",,GRN,Charles E. Waterbury,1,0,1
Brazos,1,"Justice, Supreme Court, Place 8",,,Phil Johnson,219,90,129
Brazos,1,"Justice, Supreme Court, Place 8",,,Over Votes,0,0,0
Brazos,1,"Justice, Supreme Court, Place 8",,,Under Votes,29,7,22
Brazos,1,"Justice, Supreme Court, Place 8",,LIB,RS Roberto Koelsch,22,6,16
Brazos,1,"Justice, Supreme Court, Place 8",,GRN,Jim Chisolm,15,7,8
Brazos,1,"Judge, Court of Criminal Appeals, Place 3",,,Bert Richardson,209,89,120
Brazos,1,"Judge, Court of Criminal Appeals, Place 3",,,Over Votes,0,0,0
Brazos,1,"Judge, Court of Criminal Appeals, Place 3",,,Under Votes,9,2,7
Brazos,1,"Judge, Court of Criminal Appeals, Place 3",,DEM,John Granberg,54,18,36
Brazos,1,"Judge, Court of Criminal Appeals, Place 3",,LIB,Mark W. Bennett,13,1,12
Brazos,1,"Judge, Court of Criminal Appeals, Place 4",,,Kevin Patrick Yeary,211,90,121
Brazos,1,"Judge, Court of Criminal Appeals, Place 4",,,Over Votes,0,0,0
Brazos,1,"Judge, Court of Criminal Appeals, Place 4",,,Under Votes,28,6,22
Brazos,1,"Judge, Court of Criminal Appeals, Place 4",,LIB,Quanah Parker,28,5,23
Brazos,1,"Judge, Court of Criminal Appeals, Place 4",,GRN,Judtih Sanders-Castro,18,9,9
