county,precinct,office,district,Candidate,party,Absentee,Early,Election,Votes
Uvalde,1,Ballots Cast,,,,,,,559
Uvalde,2,Ballots Cast,,,,,,,533
Uvalde,3,Ballots Cast,,,,,,,286
Uvalde,4,Ballots Cast,,,,,,,222
Uvalde,5,Ballots Cast,,,,,,,651
Uvalde,6,Ballots Cast,,,,,,,143
Uvalde,7,Ballots Cast,,,,,,,235
Uvalde,8,Ballots Cast,,,,,,,470
Uvalde,9,Ballots Cast,,,,,,,350
Uvalde,10,Ballots Cast,,,,,,,152
Uvalde,11,Ballots Cast,,,,,,,166
Uvalde,12,Ballots Cast,,,,,,,771
Uvalde,13,Ballots Cast,,,,,,,601
Uvalde,14,Ballots Cast,,,,,,,70
Uvalde,Total,Ballots Cast,,,,,,,5209
Uvalde,1,Straight Party,,Republican Party,,9,50,34,93
Uvalde,2,Straight Party,,Republican Party,,8,23,69,100
Uvalde,3,Straight Party,,Republican Party,,7,9,93,109
Uvalde,4,Straight Party,,Republican Party,,6,28,62,96
Uvalde,5,Straight Party,,Republican Party,,16,86,56,158
Uvalde,6,Straight Party,,Republican Party,,1,19,40,60
Uvalde,7,Straight Party,,Republican Party,,0,26,32,58
Uvalde,8,Straight Party,,Republican Party,,9,26,33,68
Uvalde,9,Straight Party,,Republican Party,,2,8,9,19
Uvalde,10,Straight Party,,Republican Party,,4,4,2,10
Uvalde,11,Straight Party,,Republican Party,,3,10,26,39
Uvalde,12,Straight Party,,Republican Party,,10,59,56,125
Uvalde,13,Straight Party,,Republican Party,,6,46,16,68
Uvalde,14,Straight Party,,Republican Party,,0,8,10,18
Uvalde,Total,Straight Party,,Republican Party,,81,402,538,1021
Uvalde,1,Straight Party,,Democratic Party,,35,75,37,147
Uvalde,2,Straight Party,,Democratic Party,,74,10,60,144
Uvalde,3,Straight Party,,Democratic Party,,0,4,3,7
Uvalde,4,Straight Party,,Democratic Party,,0,3,9,12
Uvalde,5,Straight Party,,Democratic Party,,9,35,19,63
Uvalde,6,Straight Party,,Democratic Party,,0,6,2,8
Uvalde,7,Straight Party,,Democratic Party,,1,15,11,27
Uvalde,8,Straight Party,,Democratic Party,,34,50,44,128
Uvalde,9,Straight Party,,Democratic Party,,68,50,75,193
Uvalde,10,Straight Party,,Democratic Party,,45,19,30,94
Uvalde,11,Straight Party,,Democratic Party,,4,3,12,19
Uvalde,12,Straight Party,,Democratic Party,,23,58,44,125
Uvalde,13,Straight Party,,Democratic Party,,104,104,65,273
Uvalde,14,Straight Party,,Democratic Party,,0,3,0,3
Uvalde,Total,Straight Party,,Democratic Party,,397,435,411,1243
Uvalde,1,Straight Party,,Libertarian Party,,0,0,2,2
Uvalde,2,Straight Party,,Libertarian Party,,1,0,3,4
Uvalde,3,Straight Party,,Libertarian Party,,0,0,0,0
Uvalde,4,Straight Party,,Libertarian Party,,0,0,1,1
Uvalde,5,Straight Party,,Libertarian Party,,1,0,0,1
Uvalde,6,Straight Party,,Libertarian Party,,0,0,0,0
Uvalde,7,Straight Party,,Libertarian Party,,0,0,0,0
Uvalde,8,Straight Party,,Libertarian Party,,0,1,0,1
Uvalde,9,Straight Party,,Libertarian Party,,1,1,0,2
Uvalde,10,Straight Party,,Libertarian Party,,0,0,0,0
Uvalde,11,Straight Party,,Libertarian Party,,0,0,0,0
Uvalde,12,Straight Party,,Libertarian Party,,0,0,0,0
Uvalde,13,Straight Party,,Libertarian Party,,0,3,1,4
Uvalde,14,Straight Party,,Libertarian Party,,0,0,0,0
Uvalde,Total,Straight Party,,Libertarian Party,,3,5,7,15
Uvalde,1,Straight Party,,Green Party,,0,0,0,0
Uvalde,2,Straight Party,,Green Party,,0,0,1,1
Uvalde,3,Straight Party,,Green Party,,0,0,0,0
Uvalde,4,Straight Party,,Green Party,,0,0,0,0
Uvalde,5,Straight Party,,Green Party,,0,1,0,1
Uvalde,6,Straight Party,,Green Party,,0,0,0,0
Uvalde,7,Straight Party,,Green Party,,0,0,0,0
Uvalde,8,Straight Party,,Green Party,,0,1,0,1
Uvalde,9,Straight Party,,Green Party,,0,0,0,0
Uvalde,10,Straight Party,,Green Party,,0,0,0,0
Uvalde,11,Straight Party,,Green Party,,0,0,0,0
Uvalde,12,Straight Party,,Green Party,,0,1,0,1
Uvalde,13,Straight Party,,Green Party,,0,0,0,0
Uvalde,14,Straight Party,,Green Party,,0,0,1,1
Uvalde,Total,Straight Party,,Green Party,,0,3,2,5
Uvalde,1,Straight Party,,Over Votes,,0,0,0,0
Uvalde,2,Straight Party,,Over Votes,,1,0,0,1
Uvalde,3,Straight Party,,Over Votes,,0,0,0,0
Uvalde,4,Straight Party,,Over Votes,,0,0,0,0
Uvalde,5,Straight Party,,Over Votes,,0,0,0,0
Uvalde,6,Straight Party,,Over Votes,,0,0,0,0
Uvalde,7,Straight Party,,Over Votes,,0,0,0,0
Uvalde,8,Straight Party,,Over Votes,,0,0,0,0
Uvalde,9,Straight Party,,Over Votes,,1,0,0,1
Uvalde,10,Straight Party,,Over Votes,,0,0,0,0
Uvalde,11,Straight Party,,Over Votes,,0,0,0,0
Uvalde,12,Straight Party,,Over Votes,,0,0,0,0
Uvalde,13,Straight Party,,Over Votes,,0,0,0,0
Uvalde,14,Straight Party,,Over Votes,,0,0,0,0
Uvalde,Total,Straight Party,,Over Votes,,2,0,0,2
Uvalde,1,Straight Party,,Under Votes,,13,203,101,317
Uvalde,2,Straight Party,,Under Votes,,15,45,223,283
Uvalde,3,Straight Party,,Under Votes,,8,15,147,170
Uvalde,4,Straight Party,,Under Votes,,6,37,70,113
Uvalde,5,Straight Party,,Under Votes,,16,253,159,428
Uvalde,6,Straight Party,,Under Votes,,3,13,59,75
Uvalde,7,Straight Party,,Under Votes,,1,92,57,150
Uvalde,8,Straight Party,,Under Votes,,13,151,108,272
Uvalde,9,Straight Party,,Under Votes,,20,56,59,135
Uvalde,10,Straight Party,,Under Votes,,9,20,19,48
Uvalde,11,Straight Party,,Under Votes,,2,35,71,108
Uvalde,12,Straight Party,,Under Votes,,23,330,167,520
Uvalde,13,Straight Party,,Under Votes,,18,129,109,256
Uvalde,14,Straight Party,,Under Votes,,5,14,29,48
Uvalde,Total,Straight Party,,Under Votes,,152,1393,1378,2923
Uvalde,1,U.S. Senate,,John Cornyn,,18,180,98,296
Uvalde,2,U.S. Senate,,John Cornyn,,16,58,233,307
Uvalde,3,U.S. Senate,,John Cornyn,,15,20,220,255
Uvalde,4,U.S. Senate,,John Cornyn,,11,61,114,186
Uvalde,5,U.S. Senate,,John Cornyn,,29,286,167,482
Uvalde,6,U.S. Senate,,John Cornyn,,1,24,88,113
Uvalde,7,U.S. Senate,,John Cornyn,,1,105,79,185
Uvalde,8,U.S. Senate,,John Cornyn,,15,129,92,236
Uvalde,9,U.S. Senate,,John Cornyn,,6,27,22,55
Uvalde,10,U.S. Senate,,John Cornyn,,7,11,7,25
Uvalde,11,U.S. Senate,,John Cornyn,,5,35,87,127
Uvalde,12,U.S. Senate,,John Cornyn,,23,289,165,477
Uvalde,13,U.S. Senate,,John Cornyn,,12,106,61,179
Uvalde,14,U.S. Senate,,John Cornyn,,4,18,33,55
Uvalde,Total,U.S. Senate,,John Cornyn,,163,1349,1466,2978
Uvalde,1,U.S. Senate,,David M. Alameel,,39,125,60,224
Uvalde,2,U.S. Senate,,David M. Alameel,,78,15,95,188
Uvalde,3,U.S. Senate,,David M. Alameel,,0,7,8,15
Uvalde,4,U.S. Senate,,David M. Alameel,,1,7,18,26
Uvalde,5,U.S. Senate,,David M. Alameel,,9,62,52,123
Uvalde,6,U.S. Senate,,David M. Alameel,,2,11,5,18
Uvalde,7,U.S. Senate,,David M. Alameel,,1,18,19,38
Uvalde,8,U.S. Senate,,David M. Alameel,,40,87,77,204
Uvalde,9,U.S. Senate,,David M. Alameel,,85,73,104,262
Uvalde,10,U.S. Senate,,David M. Alameel,,48,25,37,110
Uvalde,11,U.S. Senate,,David M. Alameel,,4,10,16,30
Uvalde,12,U.S. Senate,,David M. Alameel,,31,126,81,238
Uvalde,13,U.S. Senate,,David M. Alameel,,113,156,99,368
Uvalde,14,U.S. Senate,,David M. Alameel,,1,6,2,9
Uvalde,Total,U.S. Senate,,David M. Alameel,,452,728,673,1853
Uvalde,1,U.S. Senate,,Rebecca Paddock,,0,4,3,7
Uvalde,2,U.S. Senate,,Rebecca Paddock,,1,0,13,14
Uvalde,3,U.S. Senate,,Rebecca Paddock,,0,0,3,3
Uvalde,4,U.S. Senate,,Rebecca Paddock,,0,0,5,5
Uvalde,5,U.S. Senate,,Rebecca Paddock,,1,10,6,17
Uvalde,6,U.S. Senate,,Rebecca Paddock,,1,2,1,4
Uvalde,7,U.S. Senate,,Rebecca Paddock,,0,5,1,6
Uvalde,8,U.S. Senate,,Rebecca Paddock,,0,5,4,9
Uvalde,9,U.S. Senate,,Rebecca Paddock,,0,4,3,7
Uvalde,10,U.S. Senate,,Rebecca Paddock,,0,0,3,3
Uvalde,11,U.S. Senate,,Rebecca Paddock,,0,0,0,0
Uvalde,12,U.S. Senate,,Rebecca Paddock,,0,5,7,12
Uvalde,13,U.S. Senate,,Rebecca Paddock,,0,3,9,12
Uvalde,14,U.S. Senate,,Rebecca Paddock,,0,1,0,1
Uvalde,Total,U.S. Senate,,Rebecca Paddock,,3,39,58,100
Uvalde,1,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,10,7,17
Uvalde,2,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,1,0,3,4
Uvalde,3,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,0,3,3
Uvalde,4,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,0,0,0
Uvalde,5,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,2,4,3,9
Uvalde,6,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,0,2,2
Uvalde,7,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,1,1,2
Uvalde,8,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,4,2,6
Uvalde,9,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,3,5,8
Uvalde,10,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,2,1,3
Uvalde,11,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,1,1,2
Uvalde,12,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,7,3,10
Uvalde,13,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,1,6,9,16
Uvalde,14,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,0,2,2
Uvalde,Total,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,4,38,42,84
Uvalde,1,U.S. Senate,,Over Votes,,0,0,0,0
Uvalde,2,U.S. Senate,,Over Votes,,1,0,0,1
Uvalde,3,U.S. Senate,,Over Votes,,0,0,0,0
Uvalde,4,U.S. Senate,,Over Votes,,0,0,0,0
Uvalde,5,U.S. Senate,,Over Votes,,0,1,0,1
Uvalde,6,U.S. Senate,,Over Votes,,0,0,0,0
Uvalde,7,U.S. Senate,,Over Votes,,0,0,0,0
Uvalde,8,U.S. Senate,,Over Votes,,0,0,0,0
Uvalde,9,U.S. Senate,,Over Votes,,0,0,0,0
Uvalde,10,U.S. Senate,,Over Votes,,0,0,0,0
Uvalde,11,U.S. Senate,,Over Votes,,0,0,0,0
Uvalde,12,U.S. Senate,,Over Votes,,0,0,0,0
Uvalde,13,U.S. Senate,,Over Votes,,0,0,0,0
Uvalde,14,U.S. Senate,,Over Votes,,0,0,0,0
Uvalde,Total,U.S. Senate,,Over Votes,,1,1,0,2
Uvalde,1,U.S. Senate,,Under Votes,,0,9,6,15
Uvalde,2,U.S. Senate,,Under Votes,,2,5,12,19
Uvalde,3,U.S. Senate,,Under Votes,,0,1,9,10
Uvalde,4,U.S. Senate,,Under Votes,,0,0,5,5
Uvalde,5,U.S. Senate,,Under Votes,,1,12,6,19
Uvalde,6,U.S. Senate,,Under Votes,,0,1,5,6
Uvalde,7,U.S. Senate,,Under Votes,,0,4,0,4
Uvalde,8,U.S. Senate,,Under Votes,,1,4,10,15
Uvalde,9,U.S. Senate,,Under Votes,,1,8,9,18
Uvalde,10,U.S. Senate,,Under Votes,,3,5,3,11
Uvalde,11,U.S. Senate,,Under Votes,,0,2,5,7
Uvalde,12,U.S. Senate,,Under Votes,,2,21,11,34
Uvalde,13,U.S. Senate,,Under Votes,,2,11,13,26
Uvalde,14,U.S. Senate,,Under Votes,,0,0,3,3
Uvalde,Total,U.S. Senate,,Under Votes,,12,83,97,192
Uvalde,1,U.S. House,10,Will Hurd,,14,166,82,262
Uvalde,2,U.S. House,10,Will Hurd,,15,53,210,278
Uvalde,3,U.S. House,10,Will Hurd,,12,18,197,227
Uvalde,4,U.S. House,10,Will Hurd,,11,60,108,179
Uvalde,5,U.S. House,10,Will Hurd,,26,246,156,428
Uvalde,6,U.S. House,10,Will Hurd,,2,23,76,101
Uvalde,7,U.S. House,10,Will Hurd,,0,92,70,162
Uvalde,8,U.S. House,10,Will Hurd,,13,111,78,202
Uvalde,9,U.S. House,10,Will Hurd,,4,21,17,42
Uvalde,10,U.S. House,10,Will Hurd,,4,8,5,17
Uvalde,11,U.S. House,10,Will Hurd,,4,34,81,119
Uvalde,12,U.S. House,10,Will Hurd,,18,240,146,404
Uvalde,13,U.S. House,10,Will Hurd,,8,95,50,153
Uvalde,14,U.S. House,10,Will Hurd,,4,18,26,48
Uvalde,Total,U.S. House,10,Will Hurd,,135,1185,1302,2622
Uvalde,1,U.S. House,10,Pete P. Gallego,,1,8,28,37
Uvalde,2,U.S. House,10,Pete P. Gallego,,43,154,84,281
Uvalde,3,U.S. House,10,Pete P. Gallego,,81,21,123,225
Uvalde,4,U.S. House,10,Pete P. Gallego,,3,10,35,48
Uvalde,5,U.S. House,10,Pete P. Gallego,,12,112,66,190
Uvalde,6,U.S. House,10,Pete P. Gallego,,2,11,21,34
Uvalde,7,U.S. House,10,Pete P. Gallego,,2,35,27,64
Uvalde,8,U.S. House,10,Pete P. Gallego,,40,113,89,242
Uvalde,9,U.S. House,10,Pete P. Gallego,,84,87,119,290
Uvalde,10,U.S. House,10,Pete P. Gallego,,52,31,44,127
Uvalde,11,U.S. House,10,Pete P. Gallego,,5,13,22,40
Uvalde,12,U.S. House,10,Pete P. Gallego,,36,187,110,333
