county,precinct,office,district,party,candidate,votes,early_voting,election_day
Ector,101.0,Straight Party,,,Over Votes,0.0,0.0,0.0
Ector,101.0,Straight Party,,,Under Votes,262.0,151.0,111.0
Ector,101.0,Registered Voters,,,,4102.0,,
Ector,101.0,Ballots Cast,,,,702.0,386.0,164.0
Ector,101.0,Straight Party,,REP,REPUBLICAN PARTY,373.0,209.0,164.0
Ector,101.0,Straight Party,,DEM,DEMOCRATIC PARTY,64.0,24.0,40.0
Ector,101.0,Straight Party,,LIB,LIBERTARIAN PARTY,2.0,1.0,1.0
Ector,101.0,Straight Party,,GRN,GREEN PARTY,1.0,1.0,0.0
Ector,101.0,U.S. Senate,,REP,John Cornyn,572.0,326.0,246.0
Ector,101.0,U.S. Senate,,DEM,David M. Alameel,87.0,39.0,48.0
Ector,101.0,U.S. Senate,,LIB,Rebecca Paddock,12.0,4.0,8.0
Ector,101.0,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",7.0,3.0,4.0
Ector,101.0,U.S. Senate,,,Mohammed Tahiro,0.0,0.0,0.0
Ector,101.0,U.S. House,11,REP,Mike Conaway,579.0,324.0,255.0
Ector,101.0,U.S. House,11,LIB,Ryan T. Lange,52.0,29.0,23.0
Ector,101.0,Governor,,REP,Greg Abbott,582.0,332.0,250.0
Ector,101.0,Governor,,DEM,Wendy R. Davis,93.0,44.0,49.0
Ector,101.0,Governor,,LIB,Kathie Glass,10.0,4.0,6.0
Ector,101.0,Governor,,GRN,Brandon Parmer,4.0,2.0,2.0
Ector,101.0,Governor,,,Sarah M. Pavitt,0.0,0.0,0.0
Ector,101.0,Lieutenant Governor,,REP,Dan Patrick,582.0,333.0,249.0
Ector,101.0,Lieutenant Governor,,DEM,Leticia Van de Putte,87.0,40.0,47.0
Ector,101.0,Lieutenant Governor,,LIB,Robert D. Butler,13.0,5.0,8.0
Ector,101.0,Lieutenant Governor,,GRN,Chandrakantha Courtney,3.0,2.0,1.0
Ector,101.0,Attorney General,,REP,Ken Paxton,568.0,328.0,240.0
Ector,101.0,Attorney General,,DEM,Sam Houston,101.0,46.0,55.0
Ector,101.0,Attorney General,,LIB,Jamie Balagia,13.0,2.0,11.0
Ector,101.0,Attorney General,,GRN,Jamar Osborne,3.0,2.0,1.0
Ector,101.0,Comptroller of Public Accounts,,REP,Glenn Hegar,571.0,325.0,246.0
Ector,101.0,Comptroller of Public Accounts,,DEM,Mike Collier,97.0,43.0,54.0
Ector,101.0,Comptroller of Public Accounts,,LIB,Ben Sanders,12.0,5.0,7.0
Ector,101.0,Comptroller of Public Accounts,,GRN,Deb Shafto,3.0,2.0,1.0
Ector,101.0,Commissioner of the General Land Office,,REP,George P. Bush,566.0,327.0,239.0
Ector,101.0,Commissioner of the General Land Office,,DEM,John Cook,98.0,40.0,58.0
Ector,101.0,Commissioner of the General Land Office,,LIB,Justin Knight,19.0,10.0,9.0
Ector,101.0,Commissioner of the General Land Office,,GRN,Valerie Alessi,4.0,3.0,1.0
Ector,101.0,Commissioner of Agriculture,,REP,Sid Miller,563.0,324.0,239.0
Ector,101.0,Commissioner of Agriculture,,DEM,Jim Hogan,101.0,47.0,54.0
Ector,101.0,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,15.0,4.0,11.0
Ector,101.0,Commissioner of Agriculture,,GRN,Kenneth Kendrick,4.0,2.0,2.0
Ector,101.0,Railroad Commissioner,,REP,Ryan Sitton,563.0,321.0,242.0
Ector,101.0,Railroad Commissioner,,DEM,Steve Brown,97.0,43.0,54.0
Ector,101.0,Railroad Commissioner,,LIB,Mark A. Miller,14.0,6.0,8.0
Ector,101.0,Railroad Commissioner,,GRN,Martina Salinas,7.0,4.0,3.0
Ector,101.0,"Chief Justice, Supreme Court",,REP,Nathan Hecht,568.0,325.0,243.0
Ector,101.0,"Chief Justice, Supreme Court",,DEM,William Moody,91.0,42.0,49.0
Ector,101.0,"Chief Justice, Supreme Court",,LIB,Tom Oxford,23.0,9.0,14.0
Ector,101.0,"Justice, Supreme Court, Place 6 - Unexpried Term",,REP,Jeff Brown,568.0,325.0,243.0
Ector,101.0,"Justice, Supreme Court, Place 6 - Unexpried Term",,DEM,Lawrence Edward Meyers,91.0,40.0,51.0
Ector,101.0,"Justice, Supreme Court, Place 6 - Unexpried Term",,LIB,Mark Ash,22.0,9.0,13.0
Ector,101.0,"Justice, Supreme Court, Place 7",,REP,Jeff Boyd,563.0,323.0,240.0
Ector,101.0,"Justice, Supreme Court, Place 7",,DEM,Gina Benavides,97.0,42.0,55.0
Ector,101.0,"Justice, Supreme Court, Place 7",,LIB,Don Fulton,16.0,7.0,9.0
Ector,101.0,"Justice, Supreme Court, Place 7",,GRN,Charles E. Waterbury,3.0,2.0,1.0
Ector,101.0,"Justice, Supreme Court, Place 8",,REP,Phil Johnson,577.0,327.0,250.0
Ector,101.0,"Justice, Supreme Court, Place 8",,LIB,RS Roberto Koelsch,32.0,16.0,16.0
Ector,101.0,"Justice, Supreme Court, Place 8",,GRN,Jim Chisolm,16.0,6.0,10.0
Ector,101.0,"Judge, Court of Criminal Appeals Place 3",,REP,Bert Richardson,565.0,321.0,244.0
