county,precinct,office,district,party,candidate,votes,early_voting,election_votes
Brazoria,1,Straight Party,,REP,Republican Party,407,269,138
Brazoria,1,Straight Party,,DEM,Democratic Party,174,101,73
Brazoria,1,Straight Party,,LIB,Libertarian Party,4,3,1
Brazoria,1,Straight Party,,GRN,Green Party,1,1,0
Brazoria,1,U.S. Senate,,REP,John Cornyn,830,548,282
Brazoria,1,U.S. Senate,,DEM,David M. Alameel,303,184,119
Brazoria,1,U.S. Senate,,LIB,Rebecca Paddock,51,32,19
Brazoria,1,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",18,8,10
Brazoria,1,U.S. Senate,,,Mohammed Tahiro,0,0,0
Brazoria,1,U.S. House,14,REP,Randy Weber,843,555,288
Brazoria,1,U.S. House,14,DEM,Donald G. Brown,338,205,133
Brazoria,1,U.S. House,14,LIB,John Wieder,24,12,12
Brazoria,1,Governor,,REP,Greg Abbott,802,528,274
Brazoria,1,Governor,,DEM,Wendy R. Davis,377,233,144
Brazoria,1,Governor,,LIB,Kathie Glass,31,15,16
Brazoria,1,Governor,,GRN,Brandon Parmer,7,4,3
Brazoria,1,Governor,,,Sarah M. Pavitt,0,0,0
Brazoria,1,Lieutenant Governor,,REP,Dan Patrick,812,544,268
Brazoria,1,Lieutenant Governor,,DEM,Leticia Van de Putte,350,210,140
Brazoria,1,Lieutenant Governor,,LIB,Robert D. Butler,38,18,20
Brazoria,1,Lieutenant Governor,,GRN,Chandrakantha Courtney,7,2,5
Brazoria,1,Attorney General,,REP,Ken Paxton,815,538,277
Brazoria,1,Attorney General,,DEM,Sam Houston,359,219,140
Brazoria,1,Attorney General,,LIB,Jamie Balagia,33,17,16
Brazoria,1,Attorney General,,GRN,Jamar Osborne,7,4,3
Brazoria,1,Comptroller of Public Accounts,,REP,Glenn Hegar,775,511,264
Brazoria,1,Comptroller of Public Accounts,,DEM,Mike Collier,363,224,139
Brazoria,1,Comptroller of Public Accounts,,LIB,Ben Sanders,43,22,21
Brazoria,1,Comptroller of Public Accounts,,GRN,Deb Shafto,10,5,5
Brazoria,1,Commissioner of the General Land Office,,REP,George P. Bush,816,541,275
Brazoria,1,Commissioner of the General Land Office,,DEM,John Cook,344,208,136
Brazoria,1,Commissioner of the General Land Office,,LIB,Justin Knight,30,17,13
Brazoria,1,Commissioner of the General Land Office,,GRN,Valerie Alessi,17,10,7
Brazoria,1,Commissioner of Agriculture,,REP,Sid Miller,781,513,268
Brazoria,1,Commissioner of Agriculture,,DEM,Jim Hogan,352,221,131
Brazoria,1,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,37,16,21
Brazoria,1,Commissioner of Agriculture,,GRN,Kenneth Kendrick,14,8,6
Brazoria,1,Railroad Commissioner,,REP,Ryan Sitton,765,503,262
Brazoria,1,Railroad Commissioner,,DEM,Steve Brown,347,218,129
Brazoria,1,Railroad Commissioner,,LIB,Mark A. Miller,41,23,18
Brazoria,1,Railroad Commissioner,,GRN,Martina Salinas,26,11,15
Brazoria,1,"Chief Justice, Supreme Court",,REP,Nathan Hecht,791,521,270
Brazoria,1,"Chief Justice, Supreme Court",,DEM,William Moody,355,216,139
Brazoria,1,"Chief Justice, Supreme Court",,LIB,Tom Oxford,42,22,20
Brazoria,1,"Justice, Supreme Court, Place 6, Unexpired Term",,REP,Jeff Brown,809,533,276
Brazoria,1,"Justice, Supreme Court, Place 6, Unexpired Term",,DEM,Lawrence Edward Meyers,332,201,131
Brazoria,1,"Justice, Supreme Court, Place 6, Unexpired Term",,LIB,Mark Ash,38,20,18
Brazoria,1,"Justice, Supreme Court, Place 7",,REP,Jeff Boyd,793,526,267
Brazoria,1,"Justice, Supreme Court, Place 7",,DEM,Gina Benavides,342,205,137
Brazoria,1,"Justice, Supreme Court, Place 7",,LIB,Don Fulton,39,22,17
Brazoria,1,"Justice, Supreme Court, Place 7",,GRN,Charles E. Waterbury,4,2,2
Brazoria,1,"Justice, Supreme Court, Place 8",,REP,Phil Johnson,844,554,290
Brazoria,1,"Justice, Supreme Court, Place 8",,LIB,RS Roberto Koelsch,103,61,42
Brazoria,1,"Justice, Supreme Court, Place 8",,GRN,Jim Chisolm,57,34,23
Brazoria,1,"Judge, Court of Criminal Appeals Place 3",,REP,Bert Richardson,786,521,265
Brazoria,1,"Judge, Court of Criminal Appeals Place 3",,DEM,John Granberg,340,209,131
Brazoria,1,"Judge, Court of Criminal Appeals Place 3",,LIB,Mark W. Bennett,50,26,24
Brazoria,1,"Judge, Court of Criminal Appeals Place 4",,REP,Kevin Patrick Yeary,821,541,280
Brazoria,1,"Judge, Court of Criminal Appeals Place 4",,LIB,Quanah Parker,118,72,46
Brazoria,1,"Judge, Court of Criminal Appeals Place 4",,GRN,Judith Sanders-Castro,71,44,27
Brazoria,1,"Judge, Court of Criminal Appeals Place 9",,REP,David Newell,844,554,290
Brazoria,1,"Judge, Court of Criminal Appeals Place 9",,LIB,"William Bryan Strange, III",114,65,49
Brazoria,1,"Judge, Court of Criminal Appeals Place 9",,GRN,George Joseph Altgelt,48,33,15
Brazoria,1,"Member, State Board of Education, District 7",,REP,David Bradley,771,509,262
Brazoria,1,"Member, State Board of Education, District 7",,DEM,Kathy King,368,225,143
Brazoria,1,"Member, State Board of Education, District 7",,LIB,Megan DaGata,40,19,21
Brazoria,1,State House,25,REP,Dennis Bonnen,928,605,323
Brazoria,1,"Chief Justice, 14th Court of Appeals District",,REP,Kem Thompson Frost,804,529,275
Brazoria,1,"Chief Justice, 14th Court of Appeals District",,DEM,Kyle Carter,359,218,141
Brazoria,1,"Justice, 1st Court of Appeals District, Place 3",,REP,Russell Lloyd,790,522,268
Brazoria,1,"Justice, 1st Court of Appeals District, Place 3",,DEM,Jim Sharp,388,236,152
Brazoria,1,"Justice, 1st Court of Appeals District, Place 5",,REP,Laura Carter Higley,878,572,306
Brazoria,1,"Justice, 14th Court of Appeals District, Place 4, Unexpired Term",,REP,Marc Brown,881,576,305
Brazoria,1,"Justice, 14th Court of Appeals District, Place 7",,REP,Ken Wise,821,535,286
Brazoria,1,"Justice, 14th Court of Appeals District, Place 7",,DEM,Gordon Goodman,346,215,131
Brazoria,1,"District Judge, 149th Judicial District",,REP,Terri Tipton Holder,933,603,330
Brazoria,1,"District Judge, 239th Judicial District",,REP,Pat Sebesta,964,616,348
Brazoria,1,"District Judge, 300th Judicial District",,REP,K. Randall Hufstetler,916,596,320
Brazoria,1,"District Judge, 412th Judicial District",,REP,Ed Denman,909,589,320
Brazoria,1,Criminal District Attorney,,REP,Jeri Yenne,885,575,310
Brazoria,1,County Judge,,REP,Matt Sebesta,893,577,316
