county,precinct,office,district,party,candidate,election_day,early_voting,absentee,votes
Kendall,1011,Registered Voters,,,,,,,176.0
Kendall,1011,Ballots Cast,,,,,,,80.0
Kendall,1013,Registered Voters,,,,,,,1366.0
Kendall,1013,Ballots Cast,,,,,,,485.0
Kendall,1014,Registered Voters,,,,,,,655.0
Kendall,1014,Ballots Cast,,,,,,,256.0
Kendall,1110,Registered Voters,,,,,,,2724.0
Kendall,1110,Ballots Cast,,,,,,,1182.0
Kendall,1115,Registered Voters,,,,,,,1473.0
Kendall,1115,Ballots Cast,,,,,,,655.0
Kendall,1130,Registered Voters,,,,,,,1.0
Kendall,1130,Ballots Cast,,,,,,,0.0
Kendall,1140,Registered Voters,,,,,,,4.0
Kendall,1140,Ballots Cast,,,,,,,0.0
Kendall,1150,Registered Voters,,,,,,,1.0
Kendall,1150,Ballots Cast,,,,,,,0.0
Kendall,1170,Registered Voters,,,,,,,5.0
Kendall,1170,Ballots Cast,,,,,,,0.0
Kendall,1180,Registered Voters,,,,,,,2.0
Kendall,1180,Ballots Cast,,,,,,,1.0
Kendall,1190,Registered Voters,,,,,,,37.0
Kendall,1190,Ballots Cast,,,,,,,15.0
Kendall,1200,Registered Voters,,,,,,,1.0
Kendall,1200,Ballots Cast,,,,,,,1.0
Kendall,2020,Registered Voters,,,,,,,1891.0
Kendall,2020,Ballots Cast,,,,,,,1002.0
Kendall,2080,Registered Voters,,,,,,,2693.0
Kendall,2080,Ballots Cast,,,,,,,1323.0
Kendall,2082,Registered Voters,,,,,,,1407.0
Kendall,2082,Ballots Cast,,,,,,,552.0
Kendall,2084,Registered Voters,,,,,,,177.0
Kendall,2084,Ballots Cast,,,,,,,43.0
Kendall,2085,Registered Voters,,,,,,,136.0
Kendall,2085,Ballots Cast,,,,,,,52.0
Kendall,2120,Registered Voters,,,,,,,1521.0
Kendall,2120,Ballots Cast,,,,,,,819.0
Kendall,2210,Registered Voters,,,,,,,72.0
Kendall,2210,Ballots Cast,,,,,,,34.0
Kendall,3030,Registered Voters,,,,,,,2203.0
Kendall,3030,Ballots Cast,,,,,,,1027.0
Kendall,3040,Registered Voters,,,,,,,1261.0
Kendall,3040,Ballots Cast,,,,,,,513.0
Kendall,3041,Registered Voters,,,,,,,1214.0
Kendall,3041,Ballots Cast,,,,,,,543.0
Kendall,3042,Registered Voters,,,,,,,499.0
Kendall,3042,Ballots Cast,,,,,,,215.0
Kendall,3044,Registered Voters,,,,,,,655.0
Kendall,3044,Ballots Cast,,,,,,,223.0
Kendall,3060,Registered Voters,,,,,,,543.0
Kendall,3060,Ballots Cast,,,,,,,269.0
Kendall,3220,Registered Voters,,,,,,,12.0
Kendall,3220,Ballots Cast,,,,,,,4.0
Kendall,4050,Registered Voters,,,,,,,2541.0
Kendall,4050,Ballots Cast,,,,,,,1048.0
Kendall,4070,Registered Voters,,,,,,,325.0
Kendall,4070,Ballots Cast,,,,,,,158.0
Kendall,4100,Registered Voters,,,,,,,2498.0
Kendall,4100,Ballots Cast,,,,,,,1214.0
Kendall,4101,Registered Voters,,,,,,,229.0
Kendall,4101,Ballots Cast,,,,,,,97.0
Kendall,4103,Registered Voters,,,,,,,337.0
Kendall,4103,Ballots Cast,,,,,,,102.0
Kendall,4230,Registered Voters,,,,,,,2.0
Kendall,4230,Ballots Cast,,,,,,,2.0
Kendall,4240,Registered Voters,,,,,,,8.0
Kendall,4240,Ballots Cast,,,,,,,4.0
Kendall,4250,Registered Voters,,,,,,,52.0
Kendall,4250,Ballots Cast,,,,,,,26.0
