county,precinct,office,district,candidate,party,votes,early_voting,election_day
Lee,101,Straight Party,,REPUBLICAN,REP,136,53,83
Lee,101,Straight Party,,DEMOCRATIC,DEM,87,41,46
Lee,101,Straight Party,,LIBERTARIAN,LIB,1,0,1
Lee,101,Straight Party,,GREEN,GRN,1,1,0
Lee,101,U.S. Senate,,John Cornyn,REP,386,133,253
Lee,101,U.S. Senate,,David M. Alameel,DEM,115,55,60
Lee,101,U.S. Senate,,Rebecca Paddock,LIB,16,5,11
Lee,101,U.S. Senate,,Emily Sanchez,GRN,8,5,3
Lee,101,U.S. Senate,,Mohammed Tahiro,NP,0,0,0
Lee,101,U.S. Senate,,Write-in 50,NP,0,0,0
Lee,101,U.S. House,10,Michael McCaul,REP,405,142,263
Lee,101,U.S. House,10,Tawana Walter-Cadien,DEM,111,54,57
Lee,101,U.S. House,10,Bill Kelsey,LIB,14,5,9
Lee,101,Governor,,Greg Abbott,REP,387,138,249
Lee,101,Governor,,Wendy R. Davis,DEM,133,63,70
Lee,101,Governor,,Kathie Glass,LIB,13,2,11
Lee,101,Governor,,Brandon Parmer,GRN,3,2,1
Lee,101,Governor,,Sarah M. Pavitt,NP,0,0,0
Lee,101,Governor,,Write-in 50,NP,0,0,0
Lee,101,Lieutenant Governor,,Dan Patrick,REP,376,133,243
Lee,101,Lieutenant Governor,,Leticia Van de Putte,DEM,133,61,72
Lee,101,Lieutenant Governor,,Robert D. Butler,LIB,18,5,13
Lee,101,Lieutenant Governor,,C. Courtney,GRN,1,1,0
Lee,101,Attorney General,,Ken Paxton,REP,365,127,238
Lee,101,Attorney General,,Sam Houston,DEM,146,67,79
Lee,101,Attorney General,,Jamie Balagia,LIB,12,2,10
Lee,101,Attorney General,,Jamar Osborne,GRN,2,2,0
Lee,101,Comptroller	of Public Accounts,,Glenn Hegar,REP,348,123,225
Lee,101,Comptroller	of Public Accounts,,Mike Collier,DEM,145,65,80
Lee,101,Comptroller	of Public Accounts,,Ben Sanders,LIB,15,4,11
Lee,101,Comptroller	of Public Accounts,,Deb Shafto,GRN,7,2,5
Lee,101,Commissioner of the General Land Office,,George P. Bush,REP,360,125,235
Lee,101,Commissioner of the General Land Office,,John Cook,DEM,140,66,74
Lee,101,Commissioner of the General Land Office,,Justin Knight,LIB,17,5,12
Lee,101,Commissioner of the General Land Office,,Valerie Alessi,GRN,6,1,5
Lee,101,Commissioner of Agriculture,,Sid Miller,REP,339,122,217
Lee,101,Commissioner of Agriculture,,Jim Hogan,DEM,156,68,88
Lee,101,Commissioner of Agriculture,,David Palmquist,LIB,16,3,13
Lee,101,Commissioner of Agriculture,,Kenneth Kendrick,GRN,11,6,5
Lee,101,Railroad Commissioner,,Ryan Sitton,REP,341,121,220
Lee,101,Railroad Commissioner,,Steve Brown,DEM,145,65,80
