county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional
Lavaca,1,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1012,0,0,0
Lavaca,2,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1445,0,0,0
Lavaca,7,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,222,0,0,0
Lavaca,8,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,700,0,0,0
Lavaca,9,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1298,0,0,0
Lavaca,11,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,311,0,0,0
Lavaca,12,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,341,0,0,0
Lavaca,15,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,174,0,0,0
Lavaca,16,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,452,0,0,0
Lavaca,17,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,271,0,0,0
Lavaca,19,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,367,0,0,0
Lavaca,20,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,122,0,0,0
Lavaca,23,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1332,0,0,0
Lavaca,26,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,379,0,0,0
Lavaca,27,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,204,0,0,0
Lavaca,29,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1217,0,0,0
Lavaca,30,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1804,0,0,0
Lavaca,31,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1129,0,0,0
Lavaca,32,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,347,0,0,0
Lavaca,1,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,430,128,96,120
Lavaca,2,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,542,164,107,169
Lavaca,7,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,101,13,46,26
Lavaca,8,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,316,58,58,117
Lavaca,9,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,452,74,36,191
Lavaca,11,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,118,23,10,45
Lavaca,12,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,132,35,18,50
Lavaca,15,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,83,15,13,28
Lavaca,16,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,194,33,26,82
Lavaca,17,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,148,31,27,55
Lavaca,19,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,146,42,49,36
Lavaca,20,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,60,24,16,12
Lavaca,23,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,502,84,45,261
Lavaca,26,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,62,9,4,19
Lavaca,27,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,98,19,22,30
Lavaca,29,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,444,83,46,192
Lavaca,30,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,609,93,53,341
Lavaca,31,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,497,166,118,99
Lavaca,32,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,126,18,12,50
Lavaca,1,Straight Party,,REP,REPUBLICAN PARTY,196,49,46,58
Lavaca,2,Straight Party,,REP,REPUBLICAN PARTY,217,66,41,61
Lavaca,7,Straight Party,,REP,REPUBLICAN PARTY,49,5,23,12
Lavaca,8,Straight Party,,REP,REPUBLICAN PARTY,173,33,30,64
Lavaca,9,Straight Party,,REP,REPUBLICAN PARTY,232,46,19,90
Lavaca,11,Straight Party,,REP,REPUBLICAN PARTY,50,12,4,21
Lavaca,12,Straight Party,,REP,REPUBLICAN PARTY,47,13,5,10
Lavaca,15,Straight Party,,REP,REPUBLICAN PARTY,23,2,2,9
Lavaca,16,Straight Party,,REP,REPUBLICAN PARTY,117,23,19,44
Lavaca,17,Straight Party,,REP,REPUBLICAN PARTY,75,17,16,25
Lavaca,19,Straight Party,,REP,REPUBLICAN PARTY,80,24,30,15
Lavaca,20,Straight Party,,REP,REPUBLICAN PARTY,26,11,9,3
Lavaca,23,Straight Party,,REP,REPUBLICAN PARTY,239,47,24,109
Lavaca,26,Straight Party,,REP,REPUBLICAN PARTY,32,3,0,9
Lavaca,27,Straight Party,,REP,REPUBLICAN PARTY,57,11,11,21
Lavaca,29,Straight Party,,REP,REPUBLICAN PARTY,189,39,31,73
Lavaca,30,Straight Party,,REP,REPUBLICAN PARTY,307,51,35,156
Lavaca,31,Straight Party,,REP,REPUBLICAN PARTY,217,80,52,43
Lavaca,32,Straight Party,,REP,REPUBLICAN PARTY,77,16,5,29
Lavaca,1,Straight Party,,DEM,DEMOCRATIC PARTY,27,14,5,4
Lavaca,2,Straight Party,,DEM,DEMOCRATIC PARTY,48,21,4,15
Lavaca,7,Straight Party,,DEM,DEMOCRATIC PARTY,9,3,1,4
Lavaca,8,Straight Party,,DEM,DEMOCRATIC PARTY,23,5,0,13
Lavaca,9,Straight Party,,DEM,DEMOCRATIC PARTY,35,8,4,15
Lavaca,11,Straight Party,,DEM,DEMOCRATIC PARTY,11,3,0,3
Lavaca,12,Straight Party,,DEM,DEMOCRATIC PARTY,13,5,0,8
Lavaca,15,Straight Party,,DEM,DEMOCRATIC PARTY,8,4,1,2
Lavaca,16,Straight Party,,DEM,DEMOCRATIC PARTY,7,2,0,3
Lavaca,17,Straight Party,,DEM,DEMOCRATIC PARTY,7,3,0,0
Lavaca,19,Straight Party,,DEM,DEMOCRATIC PARTY,2,0,0,1
Lavaca,20,Straight Party,,DEM,DEMOCRATIC PARTY,9,4,3,2
Lavaca,23,Straight Party,,DEM,DEMOCRATIC PARTY,39,7,2,24
Lavaca,26,Straight Party,,DEM,DEMOCRATIC PARTY,10,0,3,2
Lavaca,27,Straight Party,,DEM,DEMOCRATIC PARTY,6,1,2,2
Lavaca,29,Straight Party,,DEM,DEMOCRATIC PARTY,35,13,1,17
Lavaca,30,Straight Party,,DEM,DEMOCRATIC PARTY,47,9,3,29
Lavaca,31,Straight Party,,DEM,DEMOCRATIC PARTY,29,10,4,8
Lavaca,32,Straight Party,,DEM,DEMOCRATIC PARTY,6,0,0,4
Lavaca,1,Straight Party,,LIB,LIBERTARIAN PARTY,2,2,0,0
Lavaca,2,Straight Party,,LIB,LIBERTARIAN PARTY,2,1,0,1
