county,precinct,office,district,party,candidate,election_day,votes
Glasscock,1,State Senate,31,REP,Kel Seliger,90,
Glasscock,1,State Senate,31,LIB,Steven Gibson,0,
Glasscock,1,State Representative,72,REP,Drew Darby,82,
Glasscock,1,U.S. Senate,,REP,John Cornyn,89,
Glasscock,1,U.S. Senate,,DEM,David M. Alameel,1,
Glasscock,1,U.S. Senate,,LIB,Rebecca Paddock,0,
Glasscock,1,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",0,
Glasscock,1,U.S. Senate,,,Mohammed Tahiro,0,
Glasscock,1,U.S. House,11,REP,Mike Conaway,92,
Glasscock,1,U.S. House,11,LIB,Ryan T. Lange,0,
Glasscock,1,Governor,,REP,Greg Abbott,92,
Glasscock,1,Governor,,DEM,Wendy R. Davis,0,
Glasscock,1,Governor,,LIB,Kathie Glass,0,
Glasscock,1,Governor,,GRN,Brandon Parmer,0,
Glasscock,1,Governor,,,Sarah M. Pavitt,0,
Glasscock,1,Lieutenant Governor,,REP,Dan Patrick,87,
Glasscock,1,Lieutenant Governor,,DEM,Leticia Van de Putte,0,
Glasscock,1,Lieutenant Governor,,LIB,Robert D. Butler,0,
Glasscock,1,Lieutenant Governor,,GRN,Chandrakantha Courtney,0,
Glasscock,1,Attorney General,,REP,Ken Paxton,85,
Glasscock,1,Attorney General,,DEM,Sam Houston,3,
Glasscock,1,Attorney General,,LIB,Jamie Balagia,0,
Glasscock,1,Attorney General,,GRN,Jamar Osborne,0,
Glasscock,1,Comptroller of Public Accounts,,REP,Glenn Hegar,82,
Glasscock,1,Comptroller of Public Accounts,,DEM,Mike Collier,1,
Glasscock,1,Comptroller of Public Accounts,,LIB,Ben Sanders,0,
Glasscock,1,Comptroller of Public Accounts,,GRN,Deb Shafto,0,
Glasscock,1,Commissioner of the General Land Office,,REP,George P. Bush,87,
Glasscock,1,Commissioner of the General Land Office,,DEM,John Cook,0,
Glasscock,1,Commissioner of the General Land Office,,LIB,Justin Knight,0,
Glasscock,1,Commissioner of the General Land Office,,GRN,Valerie Alessi,0,
Glasscock,1,Commissioner of Agriculture,,REP,Sid Miller,87,
Glasscock,1,Commissioner of Agriculture,,DEM,Jim Hogan,0,
Glasscock,1,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,0,
Glasscock,1,Commissioner of Agriculture,,GRN,Kenneth Kendrick,0,
Glasscock,1,Railroad Commissioner,,REP,Ryan Sitton,74,
Glasscock,1,Railroad Commissioner,,DEM,Steve Brown,9,
Glasscock,1,Railroad Commissioner,,LIB,Mark A. Miller,1,
Glasscock,1,Railroad Commissioner,,GRN,Martina Salinas,0,
Glasscock,2,State Senate,31,REP,Kel Seliger,38,
Glasscock,2,State Senate,31,LIB,Steven Gibson,4,
Glasscock,2,State Representative,72,REP,Drew Darby,37,
Glasscock,2,U.S. Senate,,REP,John Cornyn,40,
Glasscock,2,U.S. Senate,,DEM,David M. Alameel,3,
Glasscock,2,U.S. Senate,,LIB,Rebecca Paddock,0,
Glasscock,2,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",0,
Glasscock,2,U.S. Senate,,,Mohammed Tahiro,0,
Glasscock,2,U.S. House,11,REP,Mike Conaway,38,
Glasscock,2,U.S. House,11,LIB,Ryan T. Lange,3,
Glasscock,2,Governor,,REP,Greg Abbott,39,
Glasscock,2,Governor,,DEM,Wendy R. Davis,4,
Glasscock,2,Governor,,LIB,Kathie Glass,0,
Glasscock,2,Governor,,GRN,Brandon Parmer,0,
Glasscock,2,Governor,,,Sarah M. Pavitt,0,
Glasscock,2,Lieutenant Governor,,REP,Dan Patrick,38,
Glasscock,2,Lieutenant Governor,,DEM,Leticia Van de Putte,5,
Glasscock,2,Lieutenant Governor,,LIB,Robert D. Butler,0,
Glasscock,2,Lieutenant Governor,,GRN,Chandrakantha Courtney,0,
Glasscock,2,Attorney General,,REP,Ken Paxton,37,
Glasscock,2,Attorney General,,DEM,Sam Houston,5,
Glasscock,2,Attorney General,,LIB,Jamie Balagia,0,
Glasscock,2,Attorney General,,GRN,Jamar Osborne,0,
Glasscock,2,Comptroller of Public Accounts,,REP,Glenn Hegar,39,
Glasscock,2,Comptroller of Public Accounts,,DEM,Mike Collier,4,
Glasscock,2,Comptroller of Public Accounts,,LIB,Ben Sanders,0,
Glasscock,2,Comptroller of Public Accounts,,GRN,Deb Shafto,0,
Glasscock,2,Commissioner of the General Land Office,,REP,George P. Bush,36,
Glasscock,2,Commissioner of the General Land Office,,DEM,John Cook,4,
Glasscock,2,Commissioner of the General Land Office,,LIB,Justin Knight,0,
Glasscock,2,Commissioner of the General Land Office,,GRN,Valerie Alessi,1,
Glasscock,2,Commissioner of Agriculture,,REP,Sid Miller,39,
Glasscock,2,Commissioner of Agriculture,,DEM,Jim Hogan,4,
Glasscock,2,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,0,
Glasscock,2,Commissioner of Agriculture,,GRN,Kenneth Kendrick,0,
Glasscock,2,Railroad Commissioner,,REP,Ryan Sitton,34,
Glasscock,2,Railroad Commissioner,,DEM,Steve Brown,7,
Glasscock,2,Railroad Commissioner,,LIB,Mark A. Miller,0,
Glasscock,2,Railroad Commissioner,,GRN,Martina Salinas,1,
Glasscock,3,Railroad Commissioner,,REP,Ryan Sitton,34,
Glasscock,3,Railroad Commissioner,,DEM,Steve Brown,1,
Glasscock,3,Railroad Commissioner,,LIB,Mark A. Miller,2,
Glasscock,3,Railroad Commissioner,,GRN,Martina Salinas,0,
Glasscock,3,State Senate,31,REP,Kel Seliger,36,
Glasscock,3,State Senate,31,LIB,Steven Gibson,1,
Glasscock,3,State Representative,72,REP,Drew Darby,36,
Glasscock,3,U.S. Senate,,REP,John Cornyn,37,
Glasscock,3,U.S. Senate,,DEM,David M. Alameel,0,
Glasscock,3,U.S. Senate,,LIB,Rebecca Paddock,1,
Glasscock,3,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",0,
Glasscock,3,U.S. Senate,,,Mohammed Tahiro,0,
Glasscock,3,U.S. House,11,REP,Mike Conaway,37,
Glasscock,3,U.S. House,11,LIB,Ryan T. Lange,1,
Glasscock,3,Governor,,REP,Greg Abbott,37,
Glasscock,3,Governor,,DEM,Wendy R. Davis,1,
Glasscock,3,Governor,,LIB,Kathie Glass,1,
Glasscock,3,Governor,,GRN,Brandon Parmer,0,
Glasscock,3,Governor,,,Sarah M. Pavitt,0,
Glasscock,3,Lieutenant Governor,,REP,Dan Patrick,37,
Glasscock,3,Lieutenant Governor,,DEM,Leticia Van de Putte,1,
Glasscock,3,Lieutenant Governor,,LIB,Robert D. Butler,1,
Glasscock,3,Lieutenant Governor,,GRN,Chandrakantha Courtney,0,
Glasscock,3,Attorney General,,REP,Ken Paxton,36,
Glasscock,3,Attorney General,,DEM,Sam Houston,1,
Glasscock,3,Attorney General,,LIB,Jamie Balagia,1,
Glasscock,3,Attorney General,,GRN,Jamar Osborne,0,
Glasscock,3,Comptroller of Public Accounts,,REP,Glenn Hegar,35,
Glasscock,3,Comptroller of Public Accounts,,DEM,Mike Collier,2,
Glasscock,3,Comptroller of Public Accounts,,LIB,Ben Sanders,1,
Glasscock,3,Comptroller of Public Accounts,,GRN,Deb Shafto,0,
Glasscock,3,Commissioner of the General Land Office,,REP,George P. Bush,35,
Glasscock,3,Commissioner of the General Land Office,,DEM,John Cook,1,
Glasscock,3,Commissioner of the General Land Office,,LIB,Justin Knight,2,
Glasscock,3,Commissioner of the General Land Office,,GRN,Valerie Alessi,0,
Glasscock,3,Commissioner of Agriculture,,REP,Sid Miller,36,
Glasscock,3,Commissioner of Agriculture,,DEM,Jim Hogan,1,
Glasscock,3,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,1,
Glasscock,3,Commissioner of Agriculture,,GRN,Kenneth Kendrick,0,
Glasscock,4,State Senate,31,REP,Kel Seliger,67,
Glasscock,4,State Senate,31,LIB,Steven Gibson,5,
Glasscock,4,State Representative,72,REP,Drew Darby,67,
Glasscock,4,U.S. Senate,,REP,John Cornyn,66,
Glasscock,4,U.S. Senate,,DEM,David M. Alameel,3,
Glasscock,4,U.S. Senate,,LIB,Rebecca Paddock,3,
Glasscock,4,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",0,
Glasscock,4,U.S. Senate,,,Mohammed Tahiro,0,
Glasscock,4,U.S. House,11,REP,Mike Conaway,66,
Glasscock,4,U.S. House,11,LIB,Ryan T. Lange,6,
Glasscock,4,Governor,,REP,Greg Abbott,68,
Glasscock,4,Governor,,DEM,Wendy R. Davis,5,
Glasscock,4,Governor,,LIB,Kathie Glass,0,
Glasscock,4,Governor,,GRN,Brandon Parmer,0,
Glasscock,4,Governor,,,Sarah M. Pavitt,0,
Glasscock,4,Lieutenant Governor,,REP,Dan Patrick,65,
Glasscock,4,Lieutenant Governor,,DEM,Leticia Van de Putte,5,
Glasscock,4,Lieutenant Governor,,LIB,Robert D. Butler,0,
Glasscock,4,Lieutenant Governor,,GRN,Chandrakantha Courtney,2,
Glasscock,4,Attorney General,,REP,Ken Paxton,67,
Glasscock,4,Attorney General,,DEM,Sam Houston,3,
Glasscock,4,Attorney General,,LIB,Jamie Balagia,1,
Glasscock,4,Attorney General,,GRN,Jamar Osborne,0,
Glasscock,4,Comptroller of Public Accounts,,REP,Glenn Hegar,63,
Glasscock,4,Comptroller of Public Accounts,,DEM,Mike Collier,5,
Glasscock,4,Comptroller of Public Accounts,,LIB,Ben Sanders,1,
Glasscock,4,Comptroller of Public Accounts,,GRN,Deb Shafto,1,
Glasscock,4,Commissioner of the General Land Office,,REP,George P. Bush,66,
Glasscock,4,Commissioner of the General Land Office,,DEM,John Cook,3,
Glasscock,4,Commissioner of the General Land Office,,LIB,Justin Knight,2,
Glasscock,4,Commissioner of the General Land Office,,GRN,Valerie Alessi,0,
Glasscock,4,Commissioner of Agriculture,,REP,Sid Miller,64,
Glasscock,4,Commissioner of Agriculture,,DEM,Jim Hogan,3,
Glasscock,4,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,2,
Glasscock,4,Commissioner of Agriculture,,GRN,Kenneth Kendrick,0,
Glasscock,4,Railroad Commissioner,,REP,Ryan Sitton,61,
Glasscock,4,Railroad Commissioner,,DEM,Steve Brown,3,
Glasscock,4,Railroad Commissioner,,LIB,Mark A. Miller,2,
Glasscock,4,Railroad Commissioner,,GRN,Martina Salinas,1,
