county,precinct,office,district,candidate,party,votes,election_day,early_voting,mail,provisional
Kleberg,PRECINCT 11,Ballots Cast,,,,550,244,285,21,0
Kleberg,PRECINCT 11,Straight Party,,Republican,REP,128,54,68,6,0
Kleberg,PRECINCT 11,Straight Party,,Democratic,DEM,52,23,25,4,0
Kleberg,PRECINCT 11,Straight Party,,Libertarian,LIB,1,1,0,0,0
Kleberg,PRECINCT 11,Straight Party,,Green,GRN,0,0,0,0,0
Kleberg,PRECINCT 11,U.S. Senate,,John Cornyn,REP,359,148,199,12,0
Kleberg,PRECINCT 11,U.S. Senate,,David M. Alameel,DEM,158,78,71,9,0
Kleberg,PRECINCT 11,U.S. Senate,,Rebecca Paddock,LIB,12,8,4,0,0
Kleberg,PRECINCT 11,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",GRN,9,3,6,0,0
Kleberg,PRECINCT 11,U.S. Senate,,Write-ins,,0,0,0,0,0
Kleberg,PRECINCT 11,U.S. House,34,Larry S. Smith,REP,322,132,180,10,0
Kleberg,PRECINCT 11,U.S. House,34,Filemon B. Vela,DEM,205,101,93,11,0
Kleberg,PRECINCT 11,U.S. House,34,Ryan Rowley,LIB,8,5,3,0,0
Kleberg,PRECINCT 11,Governor,,Greg Abbott,REP,350,147,191,12,0
Kleberg,PRECINCT 11,Governor,,Wendy R. Davis,DEM,179,87,83,9,0
Kleberg,PRECINCT 11,Governor,,Kathie Glass,LIB,10,6,4,0,0
Kleberg,PRECINCT 11,Governor,,Brandon Parmer,GRN,1,0,1,0,0
Kleberg,PRECINCT 11,Governor,,Write-ins,,0,0,0,0,0
Kleberg,PRECINCT 11,Lieutenant Governor,,Dan Patrick,REP,336,136,190,10,0
Kleberg,PRECINCT 11,Lieutenant Governor,,Leticia Van de Putte,DEM,188,92,85,11,0
Kleberg,PRECINCT 11,Lieutenant Governor,,Robert D. Butler,LIB,11,8,3,0,0
Kleberg,PRECINCT 11,Lieutenant Governor,,Chandrakantha Courtney,GRN,4,3,1,0,0
Kleberg,PRECINCT 11,Attorney General,,Ken Paxton,REP,330,135,185,10,0
Kleberg,PRECINCT 11,Attorney General,,Sam Houston,DEM,185,92,82,11,0
Kleberg,PRECINCT 11,Attorney General,,Jamie Balagia,LIB,14,10,4,0,0
Kleberg,PRECINCT 11,Attorney General,,Jamar Osborne,GRN,1,0,1,0,0
Kleberg,PRECINCT 11,Comptroller of Public Accounts,,Glenn Hegar,REP,323,136,176,11,0
Kleberg,PRECINCT 11,Comptroller of Public Accounts,,Mike Collier,DEM,176,85,81,10,0
Kleberg,PRECINCT 11,Comptroller of Public Accounts,,Ben Sanders,LIB,18,8,10,0,0
Kleberg,PRECINCT 11,Comptroller of Public Accounts,,Deb Shafto,GRN,3,2,1,0,0
Kleberg,PRECINCT 11,Commissioner of the General Land Office,,George P. Bush,REP,362,154,197,11,0
Kleberg,PRECINCT 11,Commissioner of the General Land Office,,John Cook . .,DEM,151,72,69,10,0
