county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional
Polk,Precinct 1,Straight Party,,REP,REPUBLICAN PARTY,44,,,
Polk,Precinct 2,Straight Party,,REP,REPUBLICAN PARTY,72,,,
Polk,Precinct 3,Straight Party,,REP,REPUBLICAN PARTY,233,,,
Polk,Precinct 4,Straight Party,,REP,REPUBLICAN PARTY,208,,,
Polk,Precinct 5,Straight Party,,REP,REPUBLICAN PARTY,430,,,
Polk,Precinct 6,Straight Party,,REP,REPUBLICAN PARTY,667,,,
Polk,Precinct 7,Straight Party,,REP,REPUBLICAN PARTY,72,,,
Polk,Precinct 8,Straight Party,,REP,REPUBLICAN PARTY,93,,,
Polk,Precinct 9,Straight Party,,REP,REPUBLICAN PARTY,71,,,
Polk,Precinct 10,Straight Party,,REP,REPUBLICAN PARTY,185,,,
Polk,Precinct 11,Straight Party,,REP,REPUBLICAN PARTY,32,,,
Polk,Precinct 12,Straight Party,,REP,REPUBLICAN PARTY,3,,,
Polk,Precinct 13,Straight Party,,REP,REPUBLICAN PARTY,68,,,
Polk,Precinct 14,Straight Party,,REP,REPUBLICAN PARTY,105,,,
Polk,Precinct 15,Straight Party,,REP,REPUBLICAN PARTY,142,,,
Polk,Precinct 16,Straight Party,,REP,REPUBLICAN PARTY,532,,,
Polk,Precinct 17,Straight Party,,REP,REPUBLICAN PARTY,162,,,
Polk,Precinct 18,Straight Party,,REP,REPUBLICAN PARTY,16,,,
Polk,Precinct 19,Straight Party,,REP,REPUBLICAN PARTY,653,,,
Polk,Precinct 20,Straight Party,,REP,REPUBLICAN PARTY,621,,,
Polk,Precinct 21,Straight Party,,REP,REPUBLICAN PARTY,125,,,
Polk,Precinct 1,Straight Party,,DEM,DEMOCRATIC PARTY,10,,,
Polk,Precinct 2,Straight Party,,DEM,DEMOCRATIC PARTY,10,,,
Polk,Precinct 3,Straight Party,,DEM,DEMOCRATIC PARTY,44,,,
Polk,Precinct 4,Straight Party,,DEM,DEMOCRATIC PARTY,53,,,
Polk,Precinct 5,Straight Party,,DEM,DEMOCRATIC PARTY,80,,,
Polk,Precinct 6,Straight Party,,DEM,DEMOCRATIC PARTY,108,,,
Polk,Precinct 7,Straight Party,,DEM,DEMOCRATIC PARTY,16,,,
Polk,Precinct 8,Straight Party,,DEM,DEMOCRATIC PARTY,50,,,
Polk,Precinct 9,Straight Party,,DEM,DEMOCRATIC PARTY,27,,,
Polk,Precinct 10,Straight Party,,DEM,DEMOCRATIC PARTY,98,,,
Polk,Precinct 11,Straight Party,,DEM,DEMOCRATIC PARTY,22,,,
Polk,Precinct 12,Straight Party,,DEM,DEMOCRATIC PARTY,11,,,
Polk,Precinct 13,Straight Party,,DEM,DEMOCRATIC PARTY,12,,,
Polk,Precinct 14,Straight Party,,DEM,DEMOCRATIC PARTY,23,,,
Polk,Precinct 15,Straight Party,,DEM,DEMOCRATIC PARTY,13,,,
Polk,Precinct 16,Straight Party,,DEM,DEMOCRATIC PARTY,79,,,
Polk,Precinct 17,Straight Party,,DEM,DEMOCRATIC PARTY,23,,,
Polk,Precinct 18,Straight Party,,DEM,DEMOCRATIC PARTY,53,,,
Polk,Precinct 19,Straight Party,,DEM,DEMOCRATIC PARTY,151,,,
Polk,Precinct 20,Straight Party,,DEM,DEMOCRATIC PARTY,129,,,
Polk,Precinct 21,Straight Party,,DEM,DEMOCRATIC PARTY,26,,,
Polk,Precinct 1,Straight Party,,LIB,LIBERTARIAN PARTY,0,,,
Polk,Precinct 2,Straight Party,,LIB,LIBERTARIAN PARTY,1,,,
Polk,Precinct 3,Straight Party,,LIB,LIBERTARIAN PARTY,4,,,
Polk,Precinct 4,Straight Party,,LIB,LIBERTARIAN PARTY,3,,,
Polk,Precinct 5,Straight Party,,LIB,LIBERTARIAN PARTY,3,,,
Polk,Precinct 6,Straight Party,,LIB,LIBERTARIAN PARTY,6,,,
Polk,Precinct 7,Straight Party,,LIB,LIBERTARIAN PARTY,1,,,
Polk,Precinct 8,Straight Party,,LIB,LIBERTARIAN PARTY,4,,,
Polk,Precinct 9,Straight Party,,LIB,LIBERTARIAN PARTY,2,,,
Polk,Precinct 10,Straight Party,,LIB,LIBERTARIAN PARTY,1,,,
Polk,Precinct 11,Straight Party,,LIB,LIBERTARIAN PARTY,0,,,
Polk,Precinct 12,Straight Party,,LIB,LIBERTARIAN PARTY,1,,,
Polk,Precinct 13,Straight Party,,LIB,LIBERTARIAN PARTY,2,,,
Polk,Precinct 14,Straight Party,,LIB,LIBERTARIAN PARTY,3,,,
Polk,Precinct 15,Straight Party,,LIB,LIBERTARIAN PARTY,3,,,
Polk,Precinct 16,Straight Party,,LIB,LIBERTARIAN PARTY,0,,,
Polk,Precinct 17,Straight Party,,LIB,LIBERTARIAN PARTY,2,,,
Polk,Precinct 18,Straight Party,,LIB,LIBERTARIAN PARTY,0,,,
Polk,Precinct 19,Straight Party,,LIB,LIBERTARIAN PARTY,6,,,
Polk,Precinct 20,Straight Party,,LIB,LIBERTARIAN PARTY,6,,,
Polk,Precinct 21,Straight Party,,LIB,LIBERTARIAN PARTY,3,,,
Polk,Precinct 1,Straight Party,,GRN,GREEN PARTY,0,,,
Polk,Precinct 2,Straight Party,,GRN,GREEN PARTY,0,,,
Polk,Precinct 3,Straight Party,,GRN,GREEN PARTY,0,,,
Polk,Precinct 4,Straight Party,,GRN,GREEN PARTY,0,,,
Polk,Precinct 5,Straight Party,,GRN,GREEN PARTY,1,,,
Polk,Precinct 6,Straight Party,,GRN,GREEN PARTY,3,,,
