county,precinct,office,district,party,candidate,votes,early_voting_paper,early_voting_ivo,election_day_paper,election_day_ivo,provisional
Hill,2,Registered Voters,,,,1086,,,,,
Hill,2,Ballots Cast,,,,469,118,82,190,79,0
Hill,2,Straight Party,,,Republican,192,49,47,73,23,0
Hill,2,Straight Party,,,Democratic,34,8,2,15,9,0
Hill,2,Straight Party,,,Libertarian,3,0,0,1,2,0
Hill,2,Straight Party,,,Green,0,0,0,0,0,0
Hill,2,U.S. Senate,,REP,John Cornyn,358,86,75,139,58,0
Hill,2,U.S. Senate,,DEM,David M. Alameel,71,21,3,31,16,0
Hill,2,U.S. Senate,,LIB,Rebecca Paddock,17,4,3,8,2,0
Hill,2,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",3,1,0,1,1,0
Hill,2,U.S. Senate,,,Write-ins,4,2,0,2,0,0
Hill,2,U.S. House,25,REP,Roger Williams,353,88,74,137,54,0
Hill,2,U.S. House,25,DEM,Marco Montoya,82,23,7,35,17,0
Hill,2,U.S. House,25,LIB,John Betz,7,0,0,4,3,0
Hill,2,Governor,,REP,Greg Abbott,349,83,73,138,55,0
Hill,2,Governor,,DEM,Wendy R. Davis,96,29,8,41,18,0
Hill,2,Governor,,LIB,Kathie Glass,13,3,0,6,4,0
Hill,2,Governor,,GRN,Brandon Parmer,4,2,0,2,0,0
Hill,2,Governor,,,Write-ins,0,0,0,0,0,0
Hill,2,Lieutenant Governor,,REP,Dan Patrick,357,90,71,144,52,0
Hill,2,Lieutenant Governor,,DEM,Leticia Van de Putte,96,26,8,39,23,0
Hill,2,Lieutenant Governor,,LIB,Robert D. Butler,9,1,1,3,4,0
Hill,2,Lieutenant Governor,,GRN,Chandrakantha Courtney,0,0,0,0,0,0
Hill,2,Attorney General,,REP,Ken Paxton,345,85,70,133,57,0
Hill,2,Attorney General,,DEM,Sam Houston,93,24,10,42,17,0
Hill,2,Attorney General,,LIB,Jamie Balagia,7,1,0,3,3,0
Hill,2,Attorney General,,GRN,Jamar Osborne,3,1,0,1,1,0
Hill,2,Comptroller of Public Accounts,,REP,Glenn Hegar,335,84,70,129,52,0
Hill,2,Comptroller of Public Accounts,,DEM,Mike Collier,90,24,8,40,18,0
Hill,2,Comptroller of Public Accounts,,LIB,Ben Sanders,14,1,2,6,5,0
Hill,2,Comptroller of Public Accounts,,GRN,Deb Shafto,0,0,0,0,0,0
Hill,2,Commissioner of the General Land Office,,REP,George P. Bush,358,88,73,141,56,0
Hill,2,Commissioner of the General Land Office,,DEM,John Cook,83,23,7,37,16,0
Hill,2,Commissioner of the General Land Office,,LIB,Justin Knight,8,1,1,2,4,0
Hill,2,Commissioner of the General Land Office,,GRN,Valerie Alesi,1,0,0,0,1,0
Hill,2,Commissioner of Agriculture,,REP,Sid Miller,343,86,71,134,52,0
Hill,2,Commissioner of Agriculture,,DEM,Jim Hogan,82,22,7,37,16,0
Hill,2,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,6,0,0,3,3,0
Hill,2,Commissioner of Agriculture,,GRN,Kenneth Kendrick,3,0,0,1,2,0
Hill,2,Railroad Commissioner,,REP,Ryan Sitton,335,83,69,131,52,0
Hill,2,Railroad Commissioner,,DEM,Steve Brown,84,24,7,39,14,0
Hill,2,Railroad Commissioner,,LIB,Mark A. Miller,12,1,1,5,5,0
Hill,2,Railroad Commissioner,,GRN,Martina Salinas,8,3,0,3,2,0
Hill,2,State Representative,8,REP,Byron Cook,385,98,75,150,62,0
Hill,2,State Representative,8,LIB,John Wilford,40,8,4,18,10,0
Hill,3,Registered Voters,,,,1643,,,,,
Hill,3,Ballots Cast,,,,385,90,94,130,71,0
Hill,3,Straight Party,,,Republican,147,40,43,46,18,0
Hill,3,Straight Party,,,Democratic,75,16,10,27,22,0
Hill,3,Straight Party,,,Libertarian,1,0,0,0,1,0
Hill,3,Straight Party,,,Green,1,0,0,1,0,0
Hill,3,U.S. Senate,,REP,John Cornyn,234,59,66,77,32,0
Hill,3,U.S. Senate,,DEM,David M. Alameel,129,26,25,43,35,0
Hill,3,U.S. Senate,,LIB,Rebecca Paddock,10,2,1,5,2,0
Hill,3,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",4,0,0,2,2,0
Hill,3,U.S. Senate,,,Write-ins,0,0,0,0,0,0
Hill,3,U.S. House,25,REP,Roger Williams,229,59,65,74,31,0
Hill,3,U.S. House,25,DEM,Marco Montoya,138,27,24,50,37,0
Hill,3,U.S. House,25,LIB,John Betz,6,1,1,3,1,0
Hill,3,Governor,,REP,Greg Abbott,227,59,62,75,31,0
Hill,3,Governor,,DEM,Wendy R. Davis,142,27,29,49,37,0
Hill,3,Governor,,LIB,Kathie Glass,5,1,1,1,2,0
Hill,3,Governor,,GRN,Brandon Parmer,2,0,1,1,0,0
Hill,3,Governor,,,Write-ins,1,0,0,1,0,0
Hill,3,Lieutenant Governor,,REP,Dan Patrick,231,58,69,73,31,0
Hill,3,Lieutenant Governor,,DEM,Leticia Van de Putte,139,29,23,52,35,0
Hill,3,Lieutenant Governor,,LIB,Robert D. Butler,8,1,1,3,3,0
Hill,3,Lieutenant Governor,,GRN,Chandrakantha Courtney,2,0,1,0,1,0
Hill,3,Attorney General,,REP,Ken Paxton,231,59,66,76,30,0
Hill,3,Attorney General,,DEM,Sam Houston,145,29,27,50,39,0
Hill,3,Attorney General,,LIB,Jamie Balagia,4,0,1,1,2,0
Hill,3,Attorney General,,GRN,Jamar Osborne,3,1,0,2,0,0
Hill,3,Comptroller of Public Accounts,,REP,Glenn Hegar,218,58,60,71,29,0
Hill,3,Comptroller of Public Accounts,,DEM,Mike Collier,138,25,28,46,39,0
Hill,3,Comptroller of Public Accounts,,LIB,Ben Sanders,10,3,2,4,1,0
Hill,3,Comptroller of Public Accounts,,GRN,Deb Shafto,9,0,3,4,2,0
Hill,3,Commissioner of the General Land Office,,REP,George P. Bush,229,59,66,74,30,0
Hill,3,Commissioner of the General Land Office,,DEM,John Cook,133,26,23,48,36,0
Hill,3,Commissioner of the General Land Office,,LIB,Justin Knight,12,3,2,4,3,0
Hill,3,Commissioner of the General Land Office,,GRN,Valerie Alesi,4,0,1,2,1,0
Hill,3,Commissioner of Agriculture,,REP,Sid Miller,222,58,64,71,29,0
Hill,3,Commissioner of Agriculture,,DEM,Jim Hogan,139,26,25,50,38,0
Hill,3,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,6,1,2,1,2,0
Hill,3,Commissioner of Agriculture,,GRN,Kenneth Kendrick,7,1,2,3,1,0
Hill,3,Railroad Commissioner,,REP,Ryan Sitton,220,57,64,70,29,0
Hill,3,Railroad Commissioner,,DEM,Steve Brown,137,26,26,51,34,0
Hill,3,Railroad Commissioner,,LIB,Mark A. Miller,11,3,2,3,3,0
Hill,3,Railroad Commissioner,,GRN,Martina Salinas,8,0,2,2,4,0
Hill,3,State Representative,8,REP,Byron Cook,257,63,72,84,38,0
Hill,3,State Representative,8,LIB,John Wilford,64,11,16,19,18,0
Hill,4,Registered Voters,,,,2354,,,,,
Hill,4,Ballots Cast,,,,1113,251,245,441,170,6
Hill,4,Straight Party,,,Republican,469,115,105,169,76,4
Hill,4,Straight Party,,,Democratic,107,34,15,49,9,0
Hill,4,Straight Party,,,Libertarian,2,0,0,1,1,0
Hill,4,Straight Party,,,Green,0,0,0,0,0,0
Hill,4,U.S. Senate,,REP,John Cornyn,887,190,213,336,143,5
Hill,4,U.S. Senate,,DEM,David M. Alameel,196,58,27,94,16,1
Hill,4,U.S. Senate,,LIB,Rebecca Paddock,15,2,0,7,6,0
Hill,4,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",3,0,0,0,3,0
Hill,4,U.S. Senate,,,Write-ins,2,0,2,0,0,0
Hill,4,U.S. House,25,REP,Roger Williams,866,188,209,324,140,5
Hill,4,U.S. House,25,DEM,Marco Montoya,211,61,30,101,18,1
Hill,4,U.S. House,25,LIB,John Betz,18,1,3,7,7,0
Hill,4,Governor,,REP,Greg Abbott,851,187,202,319,138,5
Hill,4,Governor,,DEM,Wendy R. Davis,242,63,40,113,26,0
Hill,4,Governor,,LIB,Kathie Glass,7,0,1,2,4,0
Hill,4,Governor,,GRN,Brandon Parmer,3,0,0,2,1,0
Hill,4,Governor,,,Write-ins,1,0,0,1,0,0
Hill,4,Lieutenant Governor,,REP,Dan Patrick,831,184,193,317,132,5
Hill,4,Lieutenant Governor,,DEM,Leticia Van de Putte,228,59,38,103,27,1
Hill,4,Lieutenant Governor,,LIB,Robert D. Butler,23,4,6,8,5,0
Hill,4,Lieutenant Governor,,GRN,Chandrakantha Courtney,2,0,0,2,0,0
Hill,4,Attorney General,,REP,Ken Paxton,817,179,195,308,130,5
Hill,4,Attorney General,,DEM,Sam Houston,263,70,41,122,29,1
Hill,4,Attorney General,,LIB,Jamie Balagia,11,0,2,2,7,0
Hill,4,Attorney General,,GRN,Jamar Osborne,2,0,1,1,0,0
Hill,4,Comptroller of Public Accounts,,REP,Glenn Hegar,816,174,198,305,134,5
Hill,4,Comptroller of Public Accounts,,DEM,Mike Collier,237,68,36,111,21,1
Hill,4,Comptroller of Public Accounts,,LIB,Ben Sanders,17,2,4,7,4,0
Hill,4,Comptroller of Public Accounts,,GRN,Deb Shafto,7,2,1,3,1,0
Hill,4,Commissioner of the General Land Office,,REP,George P. Bush,865,183,213,323,141,5
