county,precinct,office,district,party,candidate,votes,early_voting,election_day,mail,provisional
Howard,11,U.S. House,19,REP,Jodey C. Arrington,162,79,73,10,0
Howard,11,U.S. House,19,IND,Ind Nathan Lewis,82,44,29,9,0
Howard,11,Governor,NA,REP,Greg Abbott,155,79,70,6,0
Howard,11,Governor,NA,DEM,Beto O'Rourke,115,58,39,18,0
Howard,11,Governor,NA,LIB,Mark Tippetts,1,1,0,0,0
Howard,11,Governor,NA,GRN,Delilah Barrios,8,5,3,0,0
Howard,11,Governor,NA,NON,Write-in,0,0,0,0,0
Howard,11,Lieutenant Governor,NA,REP,Dan Patrick,152,77,68,7,0
Howard,11,Lieutenant Governor,NA,DEM,Mike Collier,113,58,40,15,0
Howard,11,Lieutenant Governor,NA,LIB,Shanna Steele,7,2,4,1,0
Howard,11,Attorney General,NA,REP,Ken Paxton,147,76,64,7,0
Howard,11,Attorney General,NA,DEM,Rochelle Mercedes Garza,120,58,44,18,0
Howard,11,Attorney General,NA,LIB,Mark Ash,8,5,3,0,0
Howard,11,Comptroller of Public Accounts,NA,REP,Glenn Hegar,148,77,64,7,0
Howard,11,Comptroller of Public Accounts,NA,DEM,Janet T. Dudding,111,56,38,17,0
Howard,11,Comptroller of Public Accounts,NA,LIB,V. Alonzo Echevarria-Garza,11,5,6,0,0
Howard,11,Commissioner of General Land Office,NA,REP,Dawn Buckingham,152,77,66,9,0
Howard,11,Commissioner of General Land Office,NA,DEM,Jay Kleberg,111,56,40,15,0
Howard,11,Commissioner of General Land Office,NA,GRN,"Alfred Molison, Jr.",7,4,3,0,0
Howard,11,Commissioner of General Land Office,NA,NON,Write-in,0,0,0,0,0
Howard,11,Commissioner of Agriculture,NA,REP,Sid Miller,155,81,67,7,0
Howard,11,Commissioner of Agriculture,NA,DEM,Susan Hays,118,58,42,18,0
Howard,11,Railroad Commissioner,NA,REP,Wayne Christian,145,74,64,7,0
Howard,11,Railroad Commissioner,NA,DEM,Luke Warford,112,59,36,17,0
Howard,11,Railroad Commissioner,NA,LIB,Jaime Andres Diez,9,4,4,1,0
Howard,11,Railroad Commissioner,NA,GRN,Hunter Wayne Crow,3,1,2,0,0
Howard,11,"Justice, Supreme Court, Place 3",NA,REP,Debra Lehrmann,149,73,67,9,0
Howard,11,"Justice, Supreme Court, Place 3",NA,DEM,Erin A. Nowell,113,58,40,15,0
Howard,11,"Justice, Supreme Court, Place 3",NA,LIB,Thomas Edward Oxford,5,5,0,0,0
Howard,11,"Justice, Supreme Court, Place 5",NA,REP,Rebecca Huddle,152,79,66,7,0
Howard,11,"Justice, Supreme Court, Place 5",NA,DEM,Amanda Reichek,117,59,43,15,0
Howard,11,"Justice, Supreme Court, Place 9",NA,REP,Evan Young,150,78,65,7,0
Howard,11,"Justice, Supreme Court, Place 9",NA,DEM,Julia Maldonado,122,62,45,15,0
Howard,11,"Judge, Court of Criminal Appeals, Place 5",NA,REP,Scott Walker,155,79,68,8,0
Howard,11,"Judge, Court of Criminal Appeals, Place 5",NA,DEM,Dana Huffman,115,60,41,14,0
Howard,11,"Judge, Court of Criminal Appeals, Place 6",NA,REP,"Jesse F. McClure, III",146,76,64,6,0
Howard,11,"Judge, Court of Criminal Appeals, Place 6",NA,DEM,Robert Johnson,121,61,44,16,0
Howard,11,County Judge,NA,REP,Randy S. Johnson,157,83,69,5,0
Howard,11,County Judge,NA,DEM,Steven Hobbs,112,56,40,16,0
Howard,12,U.S. House,19,REP,Jodey C. Arrington,80,44,33,3,0
Howard,12,U.S. House,19,IND,Ind Nathan Lewis,46,12,32,2,0
Howard,12,Governor,NA,REP,Greg Abbott,73,40,31,2,0
Howard,12,Governor,NA,DEM,Beto O'Rourke,64,22,39,3,0
Howard,12,Governor,NA,LIB,Mark Tippetts,3,1,2,0,0
Howard,12,Governor,NA,GRN,Delilah Barrios,1,0,1,0,0
Howard,12,Governor,NA,NON,Write-in,0,0,0,0,0
Howard,12,Lieutenant Governor,NA,REP,Dan Patrick,74,42,30,2,0
Howard,12,Lieutenant Governor,NA,DEM,Mike Collier,64,21,40,3,0
Howard,12,Lieutenant Governor,NA,LIB,Shanna Steele,2,0,2,0,0
Howard,12,Attorney General,NA,REP,Ken Paxton,69,40,27,2,0
Howard,12,Attorney General,NA,DEM,Rochelle Mercedes Garza,63,21,39,3,0
Howard,12,Attorney General,NA,LIB,Mark Ash,5,2,3,0,0
Howard,12,Comptroller of Public Accounts,NA,REP,Glenn Hegar,67,38,27,2,0
