county,precinct,office,district,party,candidate,votes,early_voting,election_day
San Patricio,101,U.S. House,27,Rep,Michael Cloud,121,66,55
San Patricio,101,U.S. House,27,Dem,"Maclovio Perez, Jr.",85,25,60
San Patricio,101,Governor,,Rep,Greg Abbott,120,67,53
San Patricio,101,Governor,,Dem,Beto O'Rourke,85,26,59
San Patricio,101,Governor,,Lib,Mark Tippetts,2,0,2
San Patricio,101,Governor,,Grn,Delilah Barrios,0,0,0
San Patricio,101,Governor,,,Jacqueline Abernathy,0,0,0
San Patricio,101,Governor,,,Mark V. Goloby,0,0,0
San Patricio,101,Governor,,,Rejected write-ins,0,0,0
San Patricio,101,Governor,,,Unassigned write-ins,0,0,0
San Patricio,101,Lieutenant Governor,,Rep,Dan Patrick,118,68,50
San Patricio,101,Lieutenant Governor,,Dem,Mike Collier,80,24,56
San Patricio,101,Lieutenant Governor,,Lib,Shanna Steele,8,1,7
San Patricio,101,Attorney General,,Rep,Ken Paxton,118,67,51
San Patricio,101,Attorney General,,Dem,Rochelle Mercedes Garza,81,25,56
San Patricio,101,Attorney General,,Lib,Mark Ash,7,1,6
San Patricio,101,Comptroller of Public Accounts,,Rep,Glenn Hegar,119,67,52
San Patricio,101,Comptroller of Public Accounts,,Dem,Janet T. Dudding,80,24,56
San Patricio,101,Comptroller of Public Accounts,,Lib,V. Alonzo Echevarria-Garza,8,2,6
San Patricio,101,Commissioner of the General Land Office,,Rep,Dawn Buckingham,119,65,54
San Patricio,101,Commissioner of the General Land Office,,Dem,Jay Kleberg,84,27,57
San Patricio,101,Commissioner of the General Land Office,,Grn,"Alfred Molison, Jr.",1,0,1
San Patricio,101,Commissioner of the General Land Office,,,Carrie Evelyn Menger,0,0,0
San Patricio,101,Commissioner of the General Land Office,,,Rejected write-ins,0,0,0
San Patricio,101,Commissioner of the General Land Office,,,Unassigned write-ins,0,0,0
San Patricio,101,Commissioner of Agriculture,,Rep,Sid Miller,121,66,55
San Patricio,101,Commissioner of Agriculture,,Dem,Susan Hays,81,24,57
San Patricio,101,Railroad Commissioner,,Rep,Wayne Christian,116,65,51
San Patricio,101,Railroad Commissioner,,Dem,Luke Warford,77,24,53
San Patricio,101,Railroad Commissioner,,Lib,Jaime Andres Diez,11,3,8
San Patricio,101,Railroad Commissioner,,Grn,Hunter Wayne Crow,1,0,1
San Patricio,101,"Justice, Supreme Court, Place 3",,Rep,Debra Lehrmann,121,68,53
San Patricio,101,"Justice, Supreme Court, Place 3",,Dem,Erin A. Nowell,79,24,55
San Patricio,101,"Justice, Supreme Court, Place 3",,Lib,Thomas Edward Oxford,5,1,4
San Patricio,101,"Justice, Supreme Court, Place 5",,Rep,Rebeca Huddle,124,67,57
San Patricio,101,"Justice, Supreme Court, Place 5",,Dem,Amanda Reichek,80,24,56
San Patricio,101,"Justice, Supreme Court, Place 9",,Rep,Evan Young,120,67,53
San Patricio,101,"Justice, Supreme Court, Place 9",,Dem,Julia Maldonado,85,25,60
San Patricio,101,"Judge, Court of Criminal Appeals, Place 5",,Rep,Scott Walker,123,68,55
San Patricio,101,"Judge, Court of Criminal Appeals, Place 5",,Dem,Dana Huffman,80,24,56
San Patricio,101,"Judge, Court of Criminal Appeals, Place 6",,Rep,"Jesse F. McClure, III",124,68,56
