county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Hale,101,U.S. House,19,REP,Jodey C. Arrington,130,5,67,58
Hale,101,U.S. House,19,IND,Nathan Lewis,12,2,6,4
Hale,101,Governor,,REP,Greg Abbott,125,5,65,55
Hale,101,Governor,,DEM,Beto O'Rourke,15,2,7,6
Hale,101,Governor,,LIB,Mark Tippetts,3,0,2,1
Hale,101,Governor,,GRN,Delilah Barrios,0,0,0,0
Hale,101,Governor,,,Jacqueline Abernathy,0,0,0,0
Hale,101,Governor,,,Mark V. Goloby,0,0,0,0
Hale,101,Governor,,,Rejected write-ins,0,0,0,0
Hale,101,Governor,,,Unassigned write-ins,0,0,0,0
Hale,101,Lieutenant Governor,,REP,Dan Patrick,121,5,64,52
Hale,101,Lieutenant Governor,,DEM,Mike Collier,16,2,6,8
Hale,101,Lieutenant Governor,,LIB,Shanna Steele,4,0,2,2
Hale,101,Attorney General,,REP,Ken Paxton,118,5,60,53
Hale,101,Attorney General,,DEM,Rochelle Mercedes Garza,16,2,7,7
Hale,101,Attorney General,,LIB,Mark Ash,6,0,5,1
Hale,101,Comptroller of Public Accounts,,REP,Glenn Hegar,125,5,66,54
Hale,101,Comptroller of Public Accounts,,DEM,Janet T. Dudding,14,2,7,5
Hale,101,Comptroller of Public Accounts,,LIB,V. Alonzo Echevarria-Garza,3,0,1,2
Hale,101,Commissioner of the General Land Office,,REP,Dawn Buckingham,125,5,65,55
Hale,101,Commissioner of the General Land Office,,DEM,Jay Kleberg,16,2,8,6
Hale,101,Commissioner of the General Land Office,,GRN,"Alfred Molison, Jr.",1,0,1,0
Hale,101,Commissioner of the General Land Office,,,Carrie Evelyn Menger,0,0,0,0
Hale,101,Commissioner of the General Land Office,,,Rejected write-ins,0,0,0,0
Hale,101,Commissioner of the General Land Office,,,Unassigned write-ins,0,0,0,0
Hale,101,Commissioner of Agriculture,,REP,Sid Miller,119,5,63,51
Hale,101,Commissioner of Agriculture,,DEM,Susan Hays,21,2,9,10
Hale,101,Railroad Commissioner,,REP,Wayne Christian,126,5,67,54
Hale,101,Railroad Commissioner,,DEM,Luke Warford,14,2,6,6
Hale,101,Railroad Commissioner,,LIB,Jaime Andres Diez,3,0,1,2
Hale,101,Railroad Commissioner,,GRN,Hunter Wayne Crow,0,0,0,0
Hale,101,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,124,5,66,53
Hale,101,"Justice, Supreme Court, Place 3",,DEM,Erin A. Nowell,16,2,7,7
Hale,101,"Justice, Supreme Court, Place 3",,LIB,Thomas Edward Oxford,2,0,1,1
