county,precinct,office,district,party,candidate,votes,early_voting,absentee,election_day
Bell,101,Registered Voters,,,,7801,,,
Bell,102,Registered Voters,,,,3438,,,
Bell,103,Registered Voters,,,,6379,,,
Bell,104,Registered Voters,,,,4184,,,
Bell,105,Registered Voters,,,,1908,,,
Bell,106,Registered Voters,,,,5544,,,
Bell,107,Registered Voters,,,,714,,,
Bell,108,Registered Voters,,,,2003,,,
Bell,109,Registered Voters,,,,3979,,,
Bell,110,Registered Voters,,,,5034,,,
Bell,111,Registered Voters,,,,4820,,,
Bell,113,Registered Voters,,,,4801,,,
Bell,114,Registered Voters,,,,3685,,,
Bell,115,Registered Voters,,,,5510,,,
Bell,116,Registered Voters,,,,1992,,,
Bell,117,Registered Voters,,,,0,,,
Bell,201,Registered Voters,,,,4259,,,
Bell,202,Registered Voters,,,,5851,,,
Bell,203,Registered Voters,,,,4551,,,
Bell,204,Registered Voters,,,,3308,,,
Bell,205,Registered Voters,,,,6320,,,
Bell,206,Registered Voters,,,,3553,,,
Bell,207,Registered Voters,,,,5225,,,
Bell,208,Registered Voters,,,,5716,,,
Bell,209,Registered Voters,,,,5047,,,
Bell,210,Registered Voters,,,,5714,,,
Bell,211,Registered Voters,,,,1370,,,
Bell,212,Registered Voters,,,,1366,,,
Bell,213,Registered Voters,,,,4890,,,
Bell,214,Registered Voters,,,,5724,,,
Bell,215,Registered Voters,,,,6812,,,
Bell,216,Registered Voters,,,,4432,,,
Bell,301,Registered Voters,,,,4802,,,
Bell,302,Registered Voters,,,,5866,,,
Bell,303,Registered Voters,,,,6028,,,
Bell,304,Registered Voters,,,,398,,,
Bell,305,Registered Voters,,,,2593,,,
Bell,306,Registered Voters,,,,4966,,,
Bell,307,Registered Voters,,,,4234,,,
Bell,308,Registered Voters,,,,5050,,,
Bell,309,Registered Voters,,,,1492,,,
Bell,310,Registered Voters,,,,565,,,
Bell,311,Registered Voters,,,,3644,,,
Bell,312,Registered Voters,,,,2444,,,
Bell,313,Registered Voters,,,,5310,,,
Bell,314,Registered Voters,,,,4075,,,
Bell,315,Registered Voters,,,,5742,,,
Bell,317,Registered Voters,,,,6305,,,
Bell,318,Registered Voters,,,,5426,,,
Bell,401,Registered Voters,,,,4319,,,
Bell,402,Registered Voters,,,,5963,,,
Bell,404,Registered Voters,,,,5551,,,
Bell,405,Registered Voters,,,,7094,,,
Bell,406,Registered Voters,,,,4526,,,
Bell,408,Registered Voters,,,,6882,,,
Bell,409,Registered Voters,,,,2864,,,
Bell,410,Registered Voters,,,,4681,,,
Bell,412,Registered Voters,,,,5289,,,
Bell,413,Registered Voters,,,,6420,,,
Bell,414,Registered Voters,,,,6129,,,
Bell,415,Registered Voters,,,,4827,,,
Bell,419,Registered Voters,,,,1249,,,
Bell,101,Ballots Cast,,,,3674,2522,201,951
Bell,102,Ballots Cast,,,,1444,947,92,405
Bell,103,Ballots Cast,,,,2363,1475,78,810
Bell,104,Ballots Cast,,,,2161,1264,85,812
