precinct,office,district,district,candidate,party,election_day,early_voting,absentee,votes
Pct. 1,Ballots Cast,,,,,150,214,8,372
Pct. 1,U.S. House,13,,Ronny Jackson,REP,140,202,7,349
Pct. 1,U.S. House,13,,Kathleen Brown,DEM,10,10,1,21
Pct. 1,Governor,,,Greg Abbott,REP,140,202,7,349
Pct. 1,Governor,,,Beto O'Rourke,DEM,8,9,1,18
Pct. 1,Governor,,,Mark Tippetts,LIB,2,2,0,4
Pct. 1,Governor,,,Delilah Barrios,GRE,0,0,0,0
Pct. 1,Lieutenant Governor,,,Dan Patrick,REP,132,198,7,337
Pct. 1,Lieutenant Governor,,,Mike Collier,DEM,13,10,1,24
Pct. 1,Lieutenant Governor,,,Shanna Steele,LIB,3,3,0,6
Pct. 1,Attorney General,,,Ken Paxton,REP,137,197,7,341
Pct. 1,Attorney General,,,Rochelle Mercedes Garza,DEM,11,10,1,22
Pct. 1,Attorney General,,,Mark Ash,LIB,2,5,0,7
Pct. 1,Comptroller of Public Accounts,,,Glenn Hegar,REP,138,196,7,341
Pct. 1,Comptroller of Public Accounts,,,Janet T. Dudding,DEM,10,9,1,20
Pct. 1,Comptroller of Public Accounts,,,V. Alonzo Echevarria-Garza,,1,3,0,4
Pct. 1,"Commissioner, General Land Office",,,Dawn Buckingham,REP,134,196,7,337
Pct. 1,"Commissioner, General Land Office",,,Jaay Kleberg,DEM,10,8,1,19
Pct. 1,"Commissioner, General Land Office",,,"Alfred Molison, Jr.",GRE,2,2,0,4
Pct. 1,Commissioner of Agriculture,,,Sid Miller,REP,133,195,7,335
Pct. 1,Commissioner of Agriculture,,,Susan Hays,DEM,14,13,1,28
Pct. 1,Railroad Commissioner,,,Wayne Christian,REP,133,193,7,333
Pct. 1,Railroad Commissioner,,,Luke Warford,DEM,8,8,1,17
Pct. 1,Railroad Commissioner,,,Jaime Andres Diez,LIB,3,4,0,7
Pct. 1,Railroad Commissioner,,,Hunter Wayne Crow,GRE,1,4,0,5
Pct. 1,"Justice, Supreme Court, Pl 3",,,Debra Lehrmann,REP,134,195,7,336
Pct. 1,"Justice, Supreme Court, Pl 3",,,Erin A. Nowell,DEM,12,8,1,21
Pct. 1,"Justice, Supreme Court, Pl 3",,,Thomas Edward Oxford,LIB,1,5,0,6
Pct. 1,"Justice, Supreme Court, Pl 5",,,Rebeca Huddle,REP,135,198,7,340
Pct. 1,"Justice, Supreme Court, Pl 5",,,Amanda Reichek,DEM,10,9,1,20
Pct. 1,"Justice, Supreme Court, Pl 9",,,Evan Young,REP,134,198,6,338
Pct. 1,"Justice, Supreme Court, Pl 9",,,Julia Maldonado,DEM,10,10,2,22
Pct. 1,"Judge, CCA, Place 5",,,Scott Walker,REP,134,198,7,339
Pct. 1,"Judge, CCA, Place 5",,,Dana Huffman,DEM,11,11,1,23
Pct. 1,"Judge, CCA, Place 6",,,"Jesse F. McClure, III",REP,132,196,7,335
Pct. 1,"Judge, CCA, Place 6",,,Robert Johnson,DEM,12,12,1,25
Pct. 1,State Representative,69,,James B. Frank,REP,135,198,7,340
Pct. 1,State Representative,69,,Walter Coppage,DEM,9,8,1,18
Pct. 1,State Representative,69,,Michael Neumann,LIB,2,4,0,6
Pct. 2,Ballots Cast,,,,,118,210,3,331
Pct. 2,U.S. House,13,,Ronny Jackson,REP,101,196,2,299
Pct. 2,U.S. House,13,,Kathleen Brown,DEM,16,12,1,29
Pct. 2,Governor,,,Greg Abbott,REP,102,196,3,301
Pct. 2,Governor,,,Beto O'Rourke,DEM,15,11,0,26
Pct. 2,Governor,,,Mark Tippetts,LIB,1,2,0,3
Pct. 2,Governor,,,Delilah Barrios,GRE,0,1,0,1
Pct. 2,Lieutenant Governor,,,Dan Patrick,REP,101,194,3,298
Pct. 2,Lieutenant Governor,,,Mike Collier,DEM,15,12,0,27
Pct. 2,Lieutenant Governor,,,Shanna Steele,LIB,1,2,0,3
Pct. 2,Attorney General,,,Ken Paxton,REP,99,193,3,295
Pct. 2,Attorney General,,,Rochelle Mercedes Garza,DEM,16,12,0,28
Pct. 2,Attorney General,,,Mark Ash,LIB,2,1,0,3
Pct. 2,Comptroller of Public Accounts,,,Glenn Hegar,REP,99,196,2,297
Pct. 2,Comptroller of Public Accounts,,,Janet T. Dudding,DEM,15,10,1,26
Pct. 2,Comptroller of Public Accounts,,,V. Alonzo Echevarria-Garza,,0,0,0,0
Pct. 2,"Commissioner, General Land Office",,,Dawn Buckingham,REP,99,194,3,296
Pct. 2,"Commissioner, General Land Office",,,Jaay Kleberg,DEM,14,11,0,25
Pct. 2,"Commissioner, General Land Office",,,"Alfred Molison, Jr.",GRE,1,1,0,2
Pct. 2,Commissioner of Agriculture,,,Sid Miller,REP,100,196,3,299
Pct. 2,Commissioner of Agriculture,,,Susan Hays,DEM,16,12,0,28
Pct. 2,Railroad Commissioner,,,Wayne Christian,REP,98,194,2,294
Pct. 2,Railroad Commissioner,,,Luke Warford,DEM,15,7,1,23
Pct. 2,Railroad Commissioner,,,Jaime Andres Diez,LIB,0,3,0,3
Pct. 2,Railroad Commissioner,,,Hunter Wayne Crow,GRE,1,2,0,3
Pct. 2,"Justice, Supreme Court, Pl 3",,,Debra Lehrmann,REP,102,193,2,297
Pct. 2,"Justice, Supreme Court, Pl 3",,,Erin A. Nowell,DEM,12,10,1,23
Pct. 2,"Justice, Supreme Court, Pl 3",,,Thomas Edward Oxford,LIB,2,2,0,4
Pct. 2,"Justice, Supreme Court, Pl 5",,,Rebeca Huddle,REP,100,193,2,295
Pct. 2,"Justice, Supreme Court, Pl 5",,,Amanda Reichek,DEM,16,11,1,28
Pct. 2,"Justice, Supreme Court, Pl 9",,,Evan Young,REP,103,195,3,301
Pct. 2,"Justice, Supreme Court, Pl 9",,,Julia Maldonado,DEM,13,10,0,23
Pct. 2,"Judge, CCA, Place 5",,,Scott Walker,REP,101,197,2,300
Pct. 2,"Judge, CCA, Place 5",,,Dana Huffman,DEM,15,10,1,26
Pct. 2,"Judge, CCA, Place 6",,,"Jesse F. McClure, III",REP,101,193,2,296
Pct. 2,"Judge, CCA, Place 6",,,Robert Johnson,DEM,14,11,1,26
Pct. 2,State Representative,69,,James B. Frank,REP,98,196,2,296
Pct. 2,State Representative,69,,Walter Coppage,DEM,15,8,1,24
Pct. 2,State Representative,69,,Michael Neumann,LIB,1,2,0,3
Pct. 3,Ballots Cast,,,,,122,152,10,284
Pct. 3,U.S. House,13,,Ronny Jackson,REP,105,138,4,247
Pct. 3,U.S. House,13,,Kathleen Brown,DEM,13,14,6,33
Pct. 3,Governor,,,Greg Abbott,REP,105,140,4,249
Pct. 3,Governor,,,Beto O'Rourke,DEM,14,9,6,29
Pct. 3,Governor,,,Mark Tippetts,LIB,1,2,0,3
Pct. 3,Governor,,,Delilah Barrios,GRE,0,1,0,1
Pct. 3,Lieutenant Governor,,,Dan Patrick,REP,101,134,4,239
Pct. 3,Lieutenant Governor,,,Mike Collier,DEM,15,12,6,33
Pct. 3,Lieutenant Governor,,,Shanna Steele,LIB,3,5,0,8
Pct. 3,Attorney General,,,Ken Paxton,REP,96,135,3,234
Pct. 3,Attorney General,,,Rochelle Mercedes Garza,DEM,17,9,7,33
Pct. 3,Attorney General,,,Mark Ash,LIB,5,6,0,11
Pct. 3,Comptroller of Public Accounts,,,Glenn Hegar,REP,102,132,4,238
Pct. 3,Comptroller of Public Accounts,,,Janet T. Dudding,DEM,15,9,6,30
Pct. 3,Comptroller of Public Accounts,,,V. Alonzo Echevarria-Garza,,1,8,0,9
Pct. 3,"Commissioner, General Land Office",,,Dawn Buckingham,REP,102,140,4,246
Pct. 3,"Commissioner, General Land Office",,,Jaay Kleberg,DEM,14,8,6,28
Pct. 3,"Commissioner, General Land Office",,,"Alfred Molison, Jr.",GRE,0,0,0,0
Pct. 3,Commissioner of Agriculture,,,Sid Miller,REP,105,138,3,246
Pct. 3,Commissioner of Agriculture,,,Susan Hays,DEM,13,11,7,31
Pct. 3,Railroad Commissioner,,,Wayne Christian,REP,103,133,4,240
Pct. 3,Railroad Commissioner,,,Luke Warford,DEM,13,9,6,28
Pct. 3,Railroad Commissioner,,,Jaime Andres Diez,LIB,3,7,0,10
Pct. 3,Railroad Commissioner,,,Hunter Wayne Crow,GRE,0,0,0,0
Pct. 3,"Justice, Supreme Court, Pl 3",,,Debra Lehrmann,REP,102,134,4,240
Pct. 3,"Justice, Supreme Court, Pl 3",,,Erin A. Nowell,DEM,16,10,6,32
Pct. 3,"Justice, Supreme Court, Pl 3",,,Thomas Edward Oxford,LIB,1,5,0,6
Pct. 3,"Justice, Supreme Court, Pl 5",,,Rebeca Huddle,REP,104,139,4,247
Pct. 3,"Justice, Supreme Court, Pl 5",,,Amanda Reichek,DEM,15,8,6,29
Pct. 3,"Justice, Supreme Court, Pl 9",,,Evan Young,REP,104,140,4,248
Pct. 3,"Justice, Supreme Court, Pl 9",,,Julia Maldonado,DEM,15,9,6,30
Pct. 3,"Judge, CCA, Place 5",,,Scott Walker,REP,104,140,3,247
Pct. 3,"Judge, CCA, Place 5",,,Dana Huffman,DEM,15,9,7,31
Pct. 3,"Judge, CCA, Place 6",,,"Jesse F. McClure, III",REP,105,137,4,246
Pct. 3,"Judge, CCA, Place 6",,,Robert Johnson,DEM,14,10,6,30
Pct. 3,State Representative,69,,James B. Frank,REP,103,143,4,250
Pct. 3,State Representative,69,,Walter Coppage,DEM,14,7,6,27
Pct. 3,State Representative,69,,Michael Neumann,LIB,2,2,0,4
Pct. 4,Ballots Cast,,,,,98,221,7,326
Pct. 4,U.S. House,13,,Ronny Jackson,REP,86,195,5,286
Pct. 4,U.S. House,13,,Kathleen Brown,DEM,8,24,2,34
Pct. 4,Governor,,,Greg Abbott,REP,86,193,5,284
Pct. 4,Governor,,,Beto O'Rourke,DEM,7,23,2,32
Pct. 4,Governor,,,Mark Tippetts,LIB,4,3,0,7
Pct. 4,Governor,,,Delilah Barrios,GRE,0,0,0,0
Pct. 4,Lieutenant Governor,,,Dan Patrick,REP,84,191,5,280
Pct. 4,Lieutenant Governor,,,Mike Collier,DEM,9,24,2,35
Pct. 4,Lieutenant Governor,,,Shanna Steele,LIB,3,4,0,7
Pct. 4,Attorney General,,,Ken Paxton,REP,86,187,5,278
Pct. 4,Attorney General,,,Rochelle Mercedes Garza,DEM,7,23,2,32
Pct. 4,Attorney General,,,Mark Ash,LIB,2,7,0,9
Pct. 4,Comptroller of Public Accounts,,,Glenn Hegar,REP,85,186,5,276
Pct. 4,Comptroller of Public Accounts,,,Janet T. Dudding,DEM,5,23,2,30
Pct. 4,Comptroller of Public Accounts,,,V. Alonzo Echevarria-Garza,,1,3,0,4
Pct. 4,"Commissioner, General Land Office",,,Dawn Buckingham,REP,87,190,5,282
Pct. 4,"Commissioner, General Land Office",,,Jaay Kleberg,DEM,5,22,2,29
Pct. 4,"Commissioner, General Land Office",,,"Alfred Molison, Jr.",GRE,0,2,0,2
Pct. 4,Commissioner of Agriculture,,,Sid Miller,REP,87,194,5,286
Pct. 4,Commissioner of Agriculture,,,Susan Hays,DEM,7,24,2,33
Pct. 4,Railroad Commissioner,,,Wayne Christian,REP,83,181,5,269
Pct. 4,Railroad Commissioner,,,Luke Warford,DEM,4,21,2,27
Pct. 4,Railroad Commissioner,,,Jaime Andres Diez,LIB,3,7,0,10
Pct. 4,Railroad Commissioner,,,Hunter Wayne Crow,GRE,2,4,0,6
Pct. 4,"Justice, Supreme Court, Pl 3",,,Debra Lehrmann,REP,86,186,5,277
Pct. 4,"Justice, Supreme Court, Pl 3",,,Erin A. Nowell,DEM,7,22,2,31
Pct. 4,"Justice, Supreme Court, Pl 3",,,Thomas Edward Oxford,LIB,1,4,0,5
Pct. 4,"Justice, Supreme Court, Pl 5",,,Rebeca Huddle,REP,86,187,5,278
Pct. 4,"Justice, Supreme Court, Pl 5",,,Amanda Reichek,DEM,7,22,2,31
Pct. 4,"Justice, Supreme Court, Pl 9",,,Evan Young,REP,86,189,5,280
Pct. 4,"Justice, Supreme Court, Pl 9",,,Julia Maldonado,DEM,6,23,2,31
Pct. 4,"Judge, CCA, Place 5",,,Scott Walker,REP,87,187,5,279
Pct. 4,"Judge, CCA, Place 5",,,Dana Huffman,DEM,6,24,2,32
Pct. 4,"Judge, CCA, Place 6",,,"Jesse F. McClure, III",REP,88,187,5,280
Pct. 4,"Judge, CCA, Place 6",,,Robert Johnson,DEM,5,24,2,31
Pct. 4,State Representative,69,,James B. Frank,REP,88,188,2,278
Pct. 4,State Representative,69,,Walter Coppage,DEM,3,22,2,27
Pct. 4,State Representative,69,,Michael Neumann,LIB,3,3,0,6
Pct. 4,"County Commissioner, Pct 4",,,Jim Stout,REP,71,165,6,242
Pct. 4,"County Commissioner, Pct 4",,,Charles Piatt,DEM,25,54,1,80
