county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day,provisional,late_mail
Bowie,1A,Registered Voters,,,,1279,,,,,
Bowie,1A,Ballots Cast,,,,259,27,151,80,0,1
Bowie,1A,Ballots Cast - Blank,,,,0,0,0,0,0,0
Bowie,1A,U.S. House,,REP,Nathaniel Moran,48,4,27,17,0,0
Bowie,1A,U.S. House,,DEM,Jrmar (JJ) Jefferson,204,23,121,59,0,1
Bowie,1A,U.S. House,,,Over Votes,0,0,0,0,0,0
Bowie,1A,U.S. House,,,Under Votes,7,0,3,4,0,0
Bowie,1A,Governor,,REP,Greg Abbott,55,5,28,22,0,0
Bowie,1A,Governor,,DEM,Beto O'Rourke,193,20,118,54,0,1
Bowie,1A,Governor,,LIB,Mark Tippetts,1,0,1,0,0,0
Bowie,1A,Governor,,GRN,Delilah Barrios,4,1,2,1,0,0
Bowie,1A,Governor,,,Write-ins,1,1,0,0,0,0
Bowie,1A,Governor,,,Over Votes,0,0,0,0,0,0
Bowie,1A,Governor,,,Under Votes,5,0,2,3,0,0
Bowie,1A,Lieutenant Governor,,REP,Dan Patrick,51,5,25,21,0,0
Bowie,1A,Lieutenant Governor,,DEM,Mike Collier,189,22,113,53,0,1
Bowie,1A,Lieutenant Governor,,LIB,Shanna Steele,12,0,8,4,0,0
Bowie,1A,Lieutenant Governor,,,Over Votes,0,0,0,0,0,0
Bowie,1A,Lieutenant Governor,,,Under Votes,7,0,5,2,0,0
Bowie,1A,Attorney General,,REP,Ken Paxton,49,4,25,20,0,0
Bowie,1A,Attorney General,,DEM,Rochelle Mercedes Garza,196,22,119,54,0,1
Bowie,1A,Attorney General,,LIB,Mark Ash,4,1,0,3,0,0
Bowie,1A,Attorney General,,,Over Votes,0,0,0,0,0,0
Bowie,1A,Attorney General,,,Under Votes,10,0,7,3,0,0
Bowie,1A,Comptroller of Public Accounts,,REP,Glenn Hegar,55,5,29,21,0,0
Bowie,1A,Comptroller of Public Accounts,,DEM,Janet T. Dudding,183,22,108,52,0,1
Bowie,1A,Comptroller of Public Accounts,,LIB,V. Alonzo Echevarria-Garza,10,0,6,4,0,0
Bowie,1A,Comptroller of Public Accounts,,,Over Votes,0,0,0,0,0,0
Bowie,1A,Comptroller of Public Accounts,,,Under Votes,11,0,8,3,0,0
Bowie,1A,Comm. General Land Office,,REP,Dawn Buckingham,53,4,28,21,0,0
Bowie,1A,Comm. General Land Office,,DEM,Jay Kleberg,189,23,113,52,0,1
Bowie,1A,Comm. General Land Office,,GRN,"Alfred Molison, Jr.",8,0,3,5,0,0
Bowie,1A,Comm. General Land Office,,,Write-ins,0,0,0,0,0,0
Bowie,1A,Comm. General Land Office,,,Over Votes,0,0,0,0,0,0
Bowie,1A,Comm. General Land Office,,,Under Votes,9,0,7,2,0,0
Bowie,1A,Commissioner of Agriculture,,REP,Sid Miller,52,5,27,19,0,1
Bowie,1A,Commissioner of Agriculture,,DEM,Susan Hays,196,22,117,57,0,0
Bowie,1A,Commissioner of Agriculture,,,Over Votes,0,0,0,0,0,0
Bowie,1A,Commissioner of Agriculture,,,Under Votes,11,0,7,4,0,0
Bowie,1A,Railroad Commissioner,,REP,Wayne Christian,51,5,27,18,0,1
Bowie,1A,Railroad Commissioner,,DEM,Luke Warford,186,22,110,54,0,0
Bowie,1A,Railroad Commissioner,,LIB,Jaime Andres Diez,8,0,6,2,0,0
