county,precinct,office,district,party,candidate,votes,early_voting,election_day,mail
Nacogdoches,12,U.S. House,17,REP,Pete Sessions,1040,406,597,37
Nacogdoches,12,U.S. House,17,DEM,Mary Jo Woods,161,76,74,11
Nacogdoches,12,Governor,,REP,Greg Abbott,1041,405,599,37
Nacogdoches,12,Governor,,DEM,Beto O'Rourke,163,75,77,11
Nacogdoches,12,Governor,,LIB,Mark Tippetts,10,5,4,1
Nacogdoches,12,Governor,,GRN,Delilah Barrios,1,0,1,0
Nacogdoches,12,Governor,,Write-In,Jacqueline Abernathy,1,0,0,1
Nacogdoches,12,Governor,,Write-In,Mark V Goloby,0,0,0,0
Nacogdoches,12,Governor,,Write-In,Rejected write-ins,0,0,0,0
Nacogdoches,12,Governor,,Write-In,Unassigned write-ins,0,0,0,0
Nacogdoches,12,Lieutenant Governor,,REP,Dan Patrick,1025,398,590,37
Nacogdoches,12,Lieutenant Governor,,DEM,Mike Collier,165,78,74,13
Nacogdoches,12,Lieutenant Governor,,LIB,Shanna Steele,17,7,10,0
Nacogdoches,12,Attorney General,,REP,Ken Paxton,1017,394,585,38
Nacogdoches,12,Attorney General,,DEM,Rochelle Mercedes Garza,162,75,75,12
Nacogdoches,12,Attorney General,,LIB,Mark Ash,27,16,11,0
Nacogdoches,12,Comptroller of Public Accounts,,REP,Glenn Hegar,1027,403,586,38
Nacogdoches,12,Comptroller of Public Accounts,,DEM,Janet T. Dudding,150,70,69,11
Nacogdoches,12,Comptroller of Public Accounts,,LIB,V. Alonzo Echevarria-Garza,22,10,12,0
Nacogdoches,12,Commissioner of the General Land Office,,REP,Dawn Buckingham,1023,396,590,37
Nacogdoches,12,Commissioner of the General Land Office,,DEM,Jay Kleberg,167,78,77,12
Nacogdoches,12,Commissioner of the General Land Office,,GRN,"Alfred Molison, Jr.",8,4,4,0
Nacogdoches,12,Commissioner of the General Land Office,,Write-In,Carrie Evelyn Menger,0,0,0,0
Nacogdoches,12,Commissioner of the General Land Office,,Write-In,Rejected write-ins,0,0,0,0
Nacogdoches,12,Commissioner of the General Land Office,,Write-In,Unassigned write-ins,0,0,0,0
Nacogdoches,12,Commissioner of Agriculture,,REP,Sid Miller,1044,408,599,37
