county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Coleman,1,Registered Voters,,,,1558,0,0,0
Coleman,2,Registered Voters,,,,1155,0,0,0
Coleman,2E,Registered Voters,,,,415,0,0,0
Coleman,3,Registered Voters,,,,1352,0,0,0
Coleman,4,Registered Voters,,,,1511,0,0,0
Coleman,1,Ballots Cast,,,,820,209,572,39
Coleman,2,Ballots Cast,,,,643,247,370,26
Coleman,2E,Ballots Cast,,,,229,67,148,14
Coleman,3,Ballots Cast,,,,670,197,453,20
Coleman,4,Ballots Cast,,,,880,202,642,36
Coleman,1,U.S. House,11,REP,August Pfluger,755,193,536,26
Coleman,2,U.S. House,11,REP,August Pfluger,568,215,341,12
Coleman,2E,U.S. House,11,REP,August Pfluger,201,59,131,11
Coleman,3,U.S. House,11,REP,August Pfluger,602,172,414,16
Coleman,4,U.S. House,11,REP,August Pfluger,784,185,573,26
Coleman,1,U.S. House,11,,OVER VOTES,0,0,0,0
Coleman,2,U.S. House,11,,OVER VOTES,0,0,0,0
Coleman,2E,U.S. House,11,,OVER VOTES,0,0,0,0
Coleman,3,U.S. House,11,,OVER VOTES,0,0,0,0
Coleman,4,U.S. House,11,,OVER VOTES,0,0,0,0
Coleman,1,U.S. House,11,,UNDER VOTES,65,16,36,13
Coleman,2,U.S. House,11,,UNDER VOTES,75,32,29,14
Coleman,2E,U.S. House,11,,UNDER VOTES,28,8,17,3
Coleman,3,U.S. House,11,,UNDER VOTES,68,25,39,4
Coleman,4,U.S. House,11,,UNDER VOTES,96,17,69,10
Coleman,1,Governor,,REP,Greg Abbott,763,189,542,32
Coleman,2,Governor,,REP,Greg Abbott,570,208,343,19
Coleman,2E,Governor,,REP,Greg Abbott,207,59,137,11
Coleman,3,Governor,,REP,Greg Abbott,601,166,418,17
Coleman,4,Governor,,REP,Greg Abbott,801,189,581,31
Coleman,1,Governor,,DEM,Beto O'Rourke,49,16,26,7
Coleman,2,Governor,,DEM,Beto O'Rourke,66,34,25,7
Coleman,2E,Governor,,DEM,Beto O'Rourke,20,8,9,3
Coleman,3,Governor,,DEM,Beto O'Rourke,58,26,29,3
Coleman,4,Governor,,DEM,Beto O'Rourke,76,12,59,5
Coleman,1,Governor,,LIB,Mark Tippetts,4,2,2,0
Coleman,2,Governor,,LIB,Mark Tippetts,4,3,1,0
Coleman,2E,Governor,,LIB,Mark Tippetts,1,0,1,0
Coleman,3,Governor,,LIB,Mark Tippetts,6,1,5,0
Coleman,4,Governor,,LIB,Mark Tippetts,3,1,2,0
Coleman,1,Governor,,GRN,Delilah Barrios,3,2,1,0
Coleman,2,Governor,,GRN,Delilah Barrios,2,2,0,0
Coleman,2E,Governor,,GRN,Delilah Barrios,0,0,0,0
Coleman,3,Governor,,GRN,Delilah Barrios,5,4,1,0
Coleman,4,Governor,,GRN,Delilah Barrios,0,0,0,0
Coleman,1,Governor,,NON,Write-in,0,0,0,0
Coleman,2,Governor,,NON,Write-in,0,0,0,0
Coleman,2E,Governor,,NON,Write-in,1,0,1,0
Coleman,3,Governor,,NON,Write-in,0,0,0,0
Coleman,4,Governor,,NON,Write-in,0,0,0,0
Coleman,1,Governor,,,OVER VOTES,0,0,0,0
Coleman,2,Governor,,,OVER VOTES,0,0,0,0
Coleman,2E,Governor,,,OVER VOTES,0,0,0,0
Coleman,3,Governor,,,OVER VOTES,0,0,0,0
Coleman,4,Governor,,,OVER VOTES,0,0,0,0
Coleman,1,Governor,,,UNDER VOTES,1,0,1,0
Coleman,2,Governor,,,UNDER VOTES,1,0,1,0
Coleman,2E,Governor,,,UNDER VOTES,0,0,0,0
Coleman,3,Governor,,,UNDER VOTES,0,0,0,0
