county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Sabine,1,U.S. House,1,REP,Nathaniel Moran,965,46,648,271
Sabine,1,U.S. House,1,DEM,Jrmar (JJ) Jefferson,64,12,35,17
Sabine,1,Governor,,REP,Greg Abbott,971,45,655,271
Sabine,1,Governor,,DEM,Beto O'Rourke,68,11,39,18
Sabine,1,Governor,,LIB,Mark Tippetts,5,0,2,3
Sabine,1,Governor,,GRN,Delilah Barrios,1,0,0,1
Sabine,1,Governor,,,Jacqueline Abernathy,0,0,0,0
Sabine,1,Governor,,,Mark V Goloby,0,0,0,0
Sabine,1,Governor,,,Rejected write-ins,0,0,0,0
Sabine,1,Governor,,,Unassigned write-ins,0,0,0,0
Sabine,1,Lieutenant Governor,,REP,Dan Patrick,970,45,655,270
Sabine,1,Lieutenant Governor,,DEM,Mike Collier,69,13,38,18
Sabine,1,Lieutenant Governor,,LIB,Shanna Steele,10,0,6,4
Sabine,1,Attorney General,,REP,Ken Paxton,965,46,652,267
Sabine,1,Attorney General,,DEM,Rochelle Mercedes Garza,71,11,41,19
Sabine,1,Attorney General,,LIB,Mark Ash,13,1,5,7
Sabine,1,Comptroller of Public Accounts,,REP,Glenn Hegar,977,45,658,274
Sabine,1,Comptroller of Public Accounts,,DEM,Janet T. Dudding,69,13,39,17
Sabine,1,Comptroller of Public Accounts,,LIB,V. Alonzo Echevarria-Garza,4,0,2,2
Sabine,1,Commissioner of the General Land Office,,REP,Dawn Buckingham,965,45,652,268
Sabine,1,Commissioner of the General Land Office,,DEM,Jay Kleberg,76,13,44,19
Sabine,1,Commissioner of the General Land Office,,GRN,"Alfred Molison, Jr.",7,0,2,5
Sabine,1,Commissioner of the General Land Office,,,Carrie Evelyn Menger,0,0,0,0
Sabine,1,Commissioner of the General Land Office,,,Rejected write-ins,0,0,0,0
Sabine,1,Commissioner of the General Land Office,,,Unassigned write-ins,0,0,0,0
Sabine,1,Commissioner of Agriculture,,REP,Sid Miller,975,46,657,272
Sabine,1,Commissioner of Agriculture,,DEM,Susan Hays,72,12,41,19
Sabine,1,Railroad Commissioner,,REP,Wayne Christian,963,46,654,263
Sabine,1,Railroad Commissioner,,DEM,Luke Warford,65,12,36,17
Sabine,1,Railroad Commissioner,,LIB,Jaime Andres Diez,17,0,8,9
Sabine,1,Railroad Commissioner,,GRN,Hunter Wayne Crow,1,0,1,0
Sabine,1,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,971,46,655,270
Sabine,1,"Justice, Supreme Court, Place 3",,DEM,Erin A. Nowell,66,12,38,16
Sabine,1,"Justice, Supreme Court, Place 3",,LIB,Thomas Edward Oxford,9,0,3,6
Sabine,1,"Justice, Supreme Court, Place 5",,REP,Rebeca Huddle,979,46,661,272
Sabine,1,"Justice, Supreme Court, Place 5",,DEM,Amanda Reichek,67,12,38,17
Sabine,1,"Justice, Supreme Court, Place 9",,REP,Evan Young,966,45,650,271
Sabine,1,"Justice, Supreme Court, Place 9",,DEM,Julia Maldonado,71,13,41,17
Sabine,1,"Judge, Court of Criminal Appeals, Place 5",,REP,Scott Walker,976,46,654,276
Sabine,1,"Judge, Court of Criminal Appeals, Place 5",,DEM,Dana Huffman,69,12,40,17
Sabine,1,"Judge, Court of Criminal Appeals, Place 6",,REP,Jesse F. McClure III,976,44,656,276
Sabine,1,"Judge, Court of Criminal Appeals, Place 6",,DEM,Robert Johnson,67,14,38,15
Sabine,1,State Senate,3,REP,Robert Nichols,965,46,650,269
Sabine,1,State Senate,3,DEM,Steve Russell,63,12,36,15
Sabine,1,State Senate,3,LIB,Desarae Lindsey,13,0,6,7
Sabine,2,U.S. House,1,REP,Nathaniel Moran,876,28,557,291
Sabine,2,U.S. House,1,DEM,Jrmar (JJ) Jefferson,65,12,32,21
Sabine,2,Governor,,REP,Greg Abbott,876,28,558,290
Sabine,2,Governor,,DEM,Beto O'Rourke,69,12,38,19
Sabine,2,Governor,,LIB,Mark Tippetts,5,0,3,2
Sabine,2,Governor,,GRN,Delilah Barrios,1,0,0,1
Sabine,2,Governor,,,Jacqueline Abernathy,0,0,0,0
Sabine,2,Governor,,,Mark V Goloby,0,0,0,0
Sabine,2,Governor,,,Rejected write-ins,0,0,0,0
Sabine,2,Governor,,,Unassigned write-ins,0,0,0,0
Sabine,2,Lieutenant Governor,,REP,Dan Patrick,876,28,558,290
Sabine,2,Lieutenant Governor,,DEM,Mike Collier,72,12,40,20
Sabine,2,Lieutenant Governor,,LIB,Shanna Steele,7,0,4,3
Sabine,2,Attorney General,,REP,Ken Paxton,872,26,555,291
Sabine,2,Attorney General,,DEM,Rochelle Mercedes Garza,73,12,42,19
Sabine,2,Attorney General,,LIB,Mark Ash,6,0,5,1
Sabine,2,Comptroller of Public Accounts,,REP,Glenn Hegar,880,28,560,292
Sabine,2,Comptroller of Public Accounts,,DEM,Janet T. Dudding,65,12,34,19
Sabine,2,Comptroller of Public Accounts,,LIB,V. Alonzo Echevarria-Garza,5,0,4,1
Sabine,2,Commissioner of the General Land Office,,REP,Dawn Buckingham,875,28,558,289
Sabine,2,Commissioner of the General Land Office,,DEM,Jay Kleberg,72,12,38,22
Sabine,2,Commissioner of the General Land Office,,GRN,"Alfred Molison, Jr.",5,0,3,2
Sabine,2,Commissioner of the General Land Office,,,Carrie Evelyn Menger,0,0,0,0
Sabine,2,Commissioner of the General Land Office,,,Rejected write-ins,0,0,0,0
Sabine,2,Commissioner of the General Land Office,,,Unassigned write-ins,0,0,0,0
Sabine,2,Commissioner of Agriculture,,REP,Sid Miller,883,28,563,292
Sabine,2,Commissioner of Agriculture,,DEM,Susan Hays,70,12,37,21
Sabine,2,Railroad Commissioner,,REP,Wayne Christian,876,27,559,290
Sabine,2,Railroad Commissioner,,DEM,Luke Warford,67,12,35,20
Sabine,2,Railroad Commissioner,,LIB,Jaime Andres Diez,6,0,5,1
Sabine,2,Railroad Commissioner,,GRN,Hunter Wayne Crow,3,0,1,2
Sabine,2,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,874,28,560,286
Sabine,2,"Justice, Supreme Court, Place 3",,DEM,Erin A. Nowell,66,12,34,20
Sabine,2,"Justice, Supreme Court, Place 3",,LIB,Thomas Edward Oxford,13,0,6,7
Sabine,2,"Justice, Supreme Court, Place 5",,REP,Rebeca Huddle,883,28,564,291
Sabine,2,"Justice, Supreme Court, Place 5",,DEM,Amanda Reichek,67,12,34,21
Sabine,2,"Justice, Supreme Court, Place 9",,REP,Evan Young,873,28,558,287
Sabine,2,"Justice, Supreme Court, Place 9",,DEM,Julia Maldonado,69,12,36,21
Sabine,2,"Judge, Court of Criminal Appeals, Place 5",,REP,Scott Walker,880,28,561,291
Sabine,2,"Judge, Court of Criminal Appeals, Place 5",,DEM,Dana Huffman,70,12,37,21
Sabine,2,"Judge, Court of Criminal Appeals, Place 6",,REP,Jesse F. McClure III,879,28,561,290
Sabine,2,"Judge, Court of Criminal Appeals, Place 6",,DEM,Robert Johnson,71,12,38,21
Sabine,2,State Senate,3,REP,Robert Nichols,881,28,561,292
Sabine,2,State Senate,3,DEM,Steve Russell,65,11,34,20
Sabine,2,State Senate,3,LIB,Desarae Lindsey,6,1,5,0
Sabine,3,U.S. House,1,REP,Nathaniel Moran,167,3,61,103
Sabine,3,U.S. House,1,DEM,Jrmar (JJ) Jefferson,59,2,16,41
Sabine,3,Governor,,REP,Greg Abbott,168,3,61,104
Sabine,3,Governor,,DEM,Beto O'Rourke,56,2,15,39
Sabine,3,Governor,,LIB,Mark Tippetts,1,0,1,0
Sabine,3,Governor,,GRN,Delilah Barrios,2,0,0,2
Sabine,3,Governor,,,Jacqueline Abernathy,0,0,0,0
Sabine,3,Governor,,,Mark V Goloby,0,0,0,0
Sabine,3,Governor,,,Rejected write-ins,0,0,0,0
Sabine,3,Governor,,,Unassigned write-ins,0,0,0,0
Sabine,3,Lieutenant Governor,,REP,Dan Patrick,162,3,59,100
Sabine,3,Lieutenant Governor,,DEM,Mike Collier,62,2,17,43
Sabine,3,Lieutenant Governor,,LIB,Shanna Steele,3,0,1,2
Sabine,3,Attorney General,,REP,Ken Paxton,162,3,59,100
Sabine,3,Attorney General,,DEM,Rochelle Mercedes Garza,61,2,16,43
Sabine,3,Attorney General,,LIB,Mark Ash,3,0,1,2
Sabine,3,Comptroller of Public Accounts,,REP,Glenn Hegar,165,3,60,102
Sabine,3,Comptroller of Public Accounts,,DEM,Janet T. Dudding,59,2,14,43
Sabine,3,Comptroller of Public Accounts,,LIB,V. Alonzo Echevarria-Garza,2,0,2,0
Sabine,3,Commissioner of the General Land Office,,REP,Dawn Buckingham,160,3,58,99
Sabine,3,Commissioner of the General Land Office,,DEM,Jay Kleberg,63,2,18,43
Sabine,3,Commissioner of the General Land Office,,GRN,"Alfred Molison, Jr.",2,0,1,1
Sabine,3,Commissioner of the General Land Office,,,Carrie Evelyn Menger,0,0,0,0
Sabine,3,Commissioner of the General Land Office,,,Rejected write-ins,0,0,0,0
Sabine,3,Commissioner of the General Land Office,,,Unassigned write-ins,0,0,0,0
Sabine,3,Commissioner of Agriculture,,REP,Sid Miller,163,3,61,99
Sabine,3,Commissioner of Agriculture,,DEM,Susan Hays,61,2,16,43
Sabine,3,Railroad Commissioner,,REP,Wayne Christian,165,3,61,101
Sabine,3,Railroad Commissioner,,DEM,Luke Warford,59,2,15,42
Sabine,3,Railroad Commissioner,,LIB,Jaime Andres Diez,1,0,0,1
Sabine,3,Railroad Commissioner,,GRN,Hunter Wayne Crow,2,0,1,1
Sabine,3,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,162,3,59,100
Sabine,3,"Justice, Supreme Court, Place 3",,DEM,Erin A. Nowell,61,2,17,42
Sabine,3,"Justice, Supreme Court, Place 3",,LIB,Thomas Edward Oxford,3,0,0,3
Sabine,3,"Justice, Supreme Court, Place 5",,REP,Rebeca Huddle,166,3,61,102
Sabine,3,"Justice, Supreme Court, Place 5",,DEM,Amanda Reichek,59,2,15,42
Sabine,3,"Justice, Supreme Court, Place 9",,REP,Evan Young,162,3,58,101
Sabine,3,"Justice, Supreme Court, Place 9",,DEM,Julia Maldonado,59,2,16,41
Sabine,3,"Judge, Court of Criminal Appeals, Place 5",,REP,Scott Walker,168,3,61,104
Sabine,3,"Judge, Court of Criminal Appeals, Place 5",,DEM,Dana Huffman,59,2,16,41
Sabine,3,"Judge, Court of Criminal Appeals, Place 6",,REP,Jesse F. McClure III,167,3,61,103
Sabine,3,"Judge, Court of Criminal Appeals, Place 6",,DEM,Robert Johnson,60,2,16,42
Sabine,3,State Senate,3,REP,Robert Nichols,168,3,61,104
Sabine,3,State Senate,3,DEM,Steve Russell,58,2,16,40
Sabine,3,State Senate,3,LIB,Desarae Lindsey,1,0,0,1
Sabine,4,U.S. House,1,REP,Nathaniel Moran,154,9,63,82
Sabine,4,U.S. House,1,DEM,Jrmar (JJ) Jefferson,5,1,2,2
Sabine,4,Governor,,REP,Greg Abbott,157,9,64,84
Sabine,4,Governor,,DEM,Beto O'Rourke,4,1,1,2
Sabine,4,Governor,,LIB,Mark Tippetts,2,0,0,2
Sabine,4,Governor,,GRN,Delilah Barrios,1,0,1,0
Sabine,4,Governor,,,Jacqueline Abernathy,0,0,0,0
Sabine,4,Governor,,,Mark V Goloby,0,0,0,0
Sabine,4,Governor,,,Rejected write-ins,0,0,0,0
Sabine,4,Governor,,,Unassigned write-ins,0,0,0,0
Sabine,4,Lieutenant Governor,,REP,Dan Patrick,159,9,64,86
Sabine,4,Lieutenant Governor,,DEM,Mike Collier,5,1,2,2
Sabine,4,Lieutenant Governor,,LIB,Shanna Steele,0,0,0,0
Sabine,4,Attorney General,,REP,Ken Paxton,156,9,64,83
Sabine,4,Attorney General,,DEM,Rochelle Mercedes Garza,5,1,2,2
Sabine,4,Attorney General,,LIB,Mark Ash,2,0,0,2
Sabine,4,Comptroller of Public Accounts,,REP,Glenn Hegar,154,9,63,82
Sabine,4,Comptroller of Public Accounts,,DEM,Janet T. Dudding,6,1,2,3
Sabine,4,Comptroller of Public Accounts,,LIB,V. Alonzo Echevarria-Garza,1,0,1,0
Sabine,4,Commissioner of the General Land Office,,REP,Dawn Buckingham,155,9,63,83
Sabine,4,Commissioner of the General Land Office,,DEM,Jay Kleberg,7,1,3,3
Sabine,4,Commissioner of the General Land Office,,GRN,"Alfred Molison, Jr.",0,0,0,0
Sabine,4,Commissioner of the General Land Office,,,Carrie Evelyn Menger,0,0,0,0
Sabine,4,Commissioner of the General Land Office,,,Rejected write-ins,0,0,0,0
Sabine,4,Commissioner of the General Land Office,,,Unassigned write-ins,0,0,0,0
Sabine,4,Commissioner of Agriculture,,REP,Sid Miller,158,9,64,85
Sabine,4,Commissioner of Agriculture,,DEM,Susan Hays,5,1,2,2
Sabine,4,Railroad Commissioner,,REP,Wayne Christian,156,9,63,84
Sabine,4,Railroad Commissioner,,DEM,Luke Warford,5,1,2,2
Sabine,4,Railroad Commissioner,,LIB,Jaime Andres Diez,1,0,1,0
Sabine,4,Railroad Commissioner,,GRN,Hunter Wayne Crow,0,0,0,0
Sabine,4,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,156,9,65,82
Sabine,4,"Justice, Supreme Court, Place 3",,DEM,Erin A. Nowell,5,1,1,3
Sabine,4,"Justice, Supreme Court, Place 3",,LIB,Thomas Edward Oxford,1,0,0,1
Sabine,4,"Justice, Supreme Court, Place 5",,REP,Rebeca Huddle,155,9,63,83
Sabine,4,"Justice, Supreme Court, Place 5",,DEM,Amanda Reichek,7,1,3,3
Sabine,4,"Justice, Supreme Court, Place 9",,REP,Evan Young,155,9,63,83
Sabine,4,"Justice, Supreme Court, Place 9",,DEM,Julia Maldonado,7,1,3,3
Sabine,4,"Judge, Court of Criminal Appeals, Place 5",,REP,Scott Walker,156,9,64,83
Sabine,4,"Judge, Court of Criminal Appeals, Place 5",,DEM,Dana Huffman,6,1,2,3
Sabine,4,"Judge, Court of Criminal Appeals, Place 6",,REP,Jesse F. McClure III,154,9,63,82
Sabine,4,"Judge, Court of Criminal Appeals, Place 6",,DEM,Robert Johnson,8,1,3,4
Sabine,4,State Senate,3,REP,Robert Nichols,157,9,64,84
Sabine,4,State Senate,3,DEM,Steve Russell,5,1,1,3
Sabine,4,State Senate,3,LIB,Desarae Lindsey,2,0,1,1
Sabine,5,U.S. House,1,REP,Nathaniel Moran,536,12,247,277
Sabine,5,U.S. House,1,DEM,Jrmar (JJ) Jefferson,42,1,26,15
Sabine,5,Governor,,REP,Greg Abbott,543,13,251,279
Sabine,5,Governor,,DEM,Beto O'Rourke,40,1,25,14
Sabine,5,Governor,,LIB,Mark Tippetts,2,0,0,2
