county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Briscoe,1,Registered Voters,,,,152,0,0,0
Briscoe,2,Registered Voters,,,,237,0,0,0
Briscoe,3,Registered Voters,,,,255,0,0,0
Briscoe,4,Registered Voters,,,,290,0,0,0
Briscoe,6,Registered Voters,,,,63,0,0,0
Briscoe,1,Ballots Cast,,,,80,37,32,11
Briscoe,2,Ballots Cast,,,,133,80,42,11
Briscoe,3,Ballots Cast,,,,162,83,62,17
Briscoe,4,Ballots Cast,,,,184,94,64,26
Briscoe,6,Ballots Cast,,,,37,31,6,0
Briscoe,1,Ballots Cast - Blank,,,,0,0,0,0
Briscoe,2,Ballots Cast - Blank,,,,0,0,0,0
Briscoe,3,Ballots Cast - Blank,,,,0,0,0,0
Briscoe,4,Ballots Cast - Blank,,,,0,0,0,0
Briscoe,6,Ballots Cast - Blank,,,,0,0,0,0
Briscoe,1,U.S. House,13,REP,Ronny Jackson,72,33,28,11
Briscoe,2,U.S. House,13,REP,Ronny Jackson,117,77,34,6
Briscoe,3,U.S. House,13,REP,Ronny Jackson,146,75,58,13
Briscoe,4,U.S. House,13,REP,Ronny Jackson,160,86,59,15
Briscoe,6,U.S. House,13,REP,Ronny Jackson,36,30,6,0
Briscoe,1,U.S. House,13,DEM,Kathleen Brown,6,2,4,0
Briscoe,2,U.S. House,13,DEM,Kathleen Brown,14,3,7,4
Briscoe,3,U.S. House,13,DEM,Kathleen Brown,14,8,3,3
Briscoe,4,U.S. House,13,DEM,Kathleen Brown,19,7,5,7
Briscoe,6,U.S. House,13,DEM,Kathleen Brown,1,1,0,0
Briscoe,1,Governor,,REP,Greg Abbott,72,34,28,10
Briscoe,2,Governor,,REP,Greg Abbott,119,78,34,7
Briscoe,3,Governor,,REP,Greg Abbott,146,74,59,13
Briscoe,4,Governor,,REP,Greg Abbott,165,87,60,18
Briscoe,6,Governor,,REP,Greg Abbott,37,31,6,0
Briscoe,1,Governor,,DEM,Beto O'Rourke,6,2,4,0
Briscoe,2,Governor,,DEM,Beto O'Rourke,11,1,7,3
Briscoe,3,Governor,,DEM,Beto O'Rourke,14,8,2,4
Briscoe,4,Governor,,DEM,Beto O'Rourke,18,6,4,8
Briscoe,6,Governor,,DEM,Beto O'Rourke,0,0,0,0
Briscoe,1,Governor,,LIB,Mark Tippetts,1,1,0,0
Briscoe,2,Governor,,LIB,Mark Tippetts,1,0,1,0
Briscoe,3,Governor,,LIB,Mark Tippetts,0,0,0,0
Briscoe,4,Governor,,LIB,Mark Tippetts,0,0,0,0
Briscoe,6,Governor,,LIB,Mark Tippetts,0,0,0,0
Briscoe,1,Governor,,GRN,Delilah Barrios,0,0,0,0
