county,precinct,office,district,candidate,party,absentee,early_voting,election_day,votes
Aransas,1,Registered Voters,,,,,,,2569
Aransas,1,Ballots Cast,,,,,,,1325
Aransas,1,U.S. House,27,Michael Cloud,REP,18,744,338,1100
Aransas,1,U.S. House,27,Maclovio Perez Jr.,DEM,21,138,55,214
Aransas,1,U.S. House,27,Under Votes,,7,3,1,11
Aransas,1,U.S. House,27,Over Votes,,0,0,0,0
Aransas,1,Governor,,Greg Abbott,REP,22,736,334,1092
Aransas,1,Governor,,Beto O'Rourke,DEM,24,135,50,209
Aransas,1,Governor,,Mark Tippetts,LIB,0,5,7,12
Aransas,1,Governor,,Delilah Barrios,GRN,0,3,1,4
Aransas,1,Governor,,Jacqueline Abernathy (W),,0,1,0,1
Aransas,1,Governor,,Mark V Goloby (W),,0,0,0,0
Aransas,1,Governor,,Under Votes,,0,5,2,7
Aransas,1,Governor,,Over Votes,,0,0,0,0
Aransas,1,Lieutenant Governor,,Dan Patrick,REP,22,728,332,1082
Aransas,1,Lieutenant Governor,,Mike Collier,DEM,24,141,51,216
Aransas,1,Lieutenant Governor,,Shanna Steele,LIB,0,13,10,23
Aransas,1,Lieutenant Governor,,Under Votes,,0,3,1,4
Aransas,1,Lieutenant Governor,,Over Votes,,0,0,0,0
Aransas,1,Attorney General,,Ken Paxton,REP,22,719,330,1071
Aransas,1,Attorney General,,Rochelle Mercedes Garza,DEM,24,143,49,216
Aransas,1,Attorney General,,Mark Ash,LIB,0,18,12,30
Aransas,1,Attorney General,,Under Votes,,0,5,3,8
Aransas,1,Attorney General,,Over Votes,,0,0,0,0
Aransas,1,Comptroller of Public Accounts,,Glenn Hegar,REP,24,730,331,1085
Aransas,1,Comptroller of Public Accounts,,Janet T. Dudding,DEM,22,132,45,199
Aransas,1,Comptroller of Public Accounts,,V. Alonzo Echevarria-Garza,LIB,0,17,12,29
Aransas,1,Comptroller of Public Accounts,,Under Votes,,0,6,6,12
Aransas,1,Comptroller of Public Accounts,,Over Votes,,0,0,0,0
Aransas,1,Commissioner of the General Land Office,,Dawn Buckingham,REP,23,710,323,1056
Aransas,1,Commissioner of the General Land Office,,Jay Kleberg,DEM,23,164,61,248
Aransas,1,Commissioner of the General Land Office,,Alfred Molison Jr,GRN,0,5,4,9
Aransas,1,Commissioner of the General Land Office,,Carrie Evelyn Menger (W),,0,0,0,0
Aransas,1,Commissioner of the General Land Office,,Under Votes,,0,6,6,12
Aransas,1,Commissioner of the General Land Office,,Over Votes,,0,0,0,0
Aransas,1,Commissioner of Agriculture,,Sid Miller,REP,22,741,328,1091
Aransas,1,Commissioner of Agriculture,,Susan Hays,DEM,24,140,60,224
Aransas,1,Commissioner of Agriculture,,Under Votes,,0,4,6,10
Aransas,1,Commissioner of Agriculture,,Over Votes,,0,0,0,0
Aransas,1,Railroad Commissioner,,Wayne Christian,REP,22,731,328,1081
Aransas,1,Railroad Commissioner,,Luke Warford,DEM,23,126,44,193
Aransas,1,Railroad Commissioner,,Jaime Andres Diez,LIB,1,13,8,22
Aransas,1,Railroad Commissioner,,Hunter Wayne Crow,GRN,0,6,8,14
Aransas,1,Railroad Commissioner,,Under Votes,,0,9,6,15
Aransas,1,Railroad Commissioner,,Over Votes,,0,0,0,0
Aransas,1,Justice Supreme Court Place 3,,Debra Lehrmann,REP,23,731,331,1085
Aransas,1,Justice Supreme Court Place 3,,Erin A. Nowell,DEM,23,130,46,199
Aransas,1,Justice Supreme Court Place 3,,Thomas Edward Oxford,LIB,0,15,13,28
Aransas,1,Justice Supreme Court Place 3,,Under Votes,,0,9,4,13
Aransas,1,Justice Supreme Court Place 3,,Over Votes,,0,0,0,0
Aransas,1,Justice Supreme Court Place 5,,Rebeca Huddle,REP,23,743,337,1103
Aransas,1,Justice Supreme Court Place 5,,Amanda Reichek,DEM,23,131,49,203
Aransas,1,Justice Supreme Court Place 5,,Under Votes,,0,11,8,19
Aransas,1,Justice Supreme Court Place 5,,Over Votes,,0,0,0,0
Aransas,1,Justice Supreme Court Place 9,,Evan Young,REP,22,740,333,1095
Aransas,1,Justice Supreme Court Place 9,,Julia Maldonado,DEM,24,137,53,214
Aransas,1,Justice Supreme Court Place 9,,Under Votes,,0,8,8,16
Aransas,1,Justice Supreme Court Place 9,,Over Votes,,0,0,0,0
Aransas,1,Judge Court of Criminal Appeals Place 5,,Scott Walker,REP,23,739,334,1096
Aransas,1,Judge Court of Criminal Appeals Place 5,,Dana Huffman,DEM,23,135,53,211
Aransas,1,Judge Court of Criminal Appeals Place 5,,Under Votes,,0,11,7,18
Aransas,1,Judge Court of Criminal Appeals Place 5,,Over Votes,,0,0,0,0
Aransas,1,Judge Court of Criminal Appeals Place 6,,Jesse F. McClure III,REP,22,742,335,1099
Aransas,1,Judge Court of Criminal Appeals Place 6,,Robert Johnson,DEM,24,134,53,211
Aransas,1,Judge Court of Criminal Appeals Place 6,,Under Votes,,0,9,6,15
Aransas,1,Judge Court of Criminal Appeals Place 6,,Over Votes,,0,0,0,0
Aransas,1,Member State Board of Education,2,LJ Francis,REP,19,739,333,1091
Aransas,1,Member State Board of Education,2,Victor Perez,DEM,20,137,55,212
Aransas,1,Member State Board of Education,2,Under Votes,,7,9,6,22
Aransas,1,Member State Board of Education,2,Over Votes,,0,0,0,0
Aransas,1,State Senate,18,Lois W. Kolkhorst,REP,21,739,339,1099
Aransas,1,State Senate,18,Josh Tutt,DEM,18,136,50,204
Aransas,1,State Senate,18,Under Votes,,7,10,5,22
Aransas,1,State Senate,18,Over Votes,,0,0,0,0
Aransas,1,Justice 13th Court of Appeals District Place 3,,Aaron Peña,REP,17,736,330,1083
Aransas,1,Justice 13th Court of Appeals District Place 3,,Leticia Hinojosa,DEM,22,137,54,213
Aransas,1,Justice 13th Court of Appeals District Place 3,,Under Votes,,7,12,10,29
Aransas,1,Justice 13th Court of Appeals District Place 3,,Over Votes,,0,0,0,0
Aransas,1A,Registered Voters,,,,,,,2018
Aransas,1A,Ballots Cast,,,,,,,723
Aransas,1A,U.S. House,27,Michael Cloud,REP,17,372,200,589
Aransas,1A,U.S. House,27,Maclovio Perez Jr.,DEM,13,65,52,130
Aransas,1A,U.S. House,27,Under Votes,,1,0,3,4
Aransas,1A,U.S. House,27,Over Votes,,0,0,0,0
Aransas,1A,Governor,,Greg Abbott,REP,18,374,203,595
Aransas,1A,Governor,,Beto O'Rourke,DEM,13,60,49,122
Aransas,1A,Governor,,Mark Tippetts,LIB,0,2,3,5
Aransas,1A,Governor,,Delilah Barrios,GRN,0,1,0,1
