county,precinct,office,district,party,candidate,votes,early_voting,election_day
Roberts,1 - MISD,U.S. House,13,REP,Ronny Jackson,99,55,44
Roberts,1 - MISD,U.S. House,13,DEM,Kathleen Brown,1,1,0
Roberts,1 - MISD,Governor,,REP,Greg Abbott,97,53,44
Roberts,1 - MISD,Governor,,DEM,Beto O'Rourke,0,0,0
Roberts,1 - MISD,Governor,,LIB,Mark Tippetts,1,1,0
Roberts,1 - MISD,Governor,,GRN,Delilah Barrios,0,0,0
Roberts,1 - MISD,Governor,,,Jacqueline Abernathy,1,1,0
Roberts,1 - MISD,Governor,,,Mark V Goloby,0,0,0
Roberts,1 - MISD,Governor,,,Rejected write-ins,0,0,0
Roberts,1 - MISD,Governor,,,Unassigned write-ins,0,0,0
Roberts,1 - MISD,Lieutenant Governor,,REP,Dan Patrick,92,50,42
Roberts,1 - MISD,Lieutenant Governor,,DEM,Mike Collier,5,4,1
Roberts,1 - MISD,Lieutenant Governor,,LIB,Shanna Steele,2,1,1
Roberts,1 - MISD,Attorney General,,REP,Ken Paxton,99,55,44
Roberts,1 - MISD,Attorney General,,DEM,Rochelle Mercedes Garza,0,0,0
Roberts,1 - MISD,Attorney General,,LIB,Mark Ash,1,1,0
Roberts,1 - MISD,Comptroller of Public Accounts,,REP,Glenn Hegar,96,53,43
Roberts,1 - MISD,Comptroller of Public Accounts,,DEM,Janet T. Dudding,2,2,0
Roberts,1 - MISD,Comptroller of Public Accounts,,LIB,V. Alonzo Echevarria-Garza,1,0,1
Roberts,1 - MISD,Commissioner of the General Land Office,,REP,Dawn Buckingham,96,52,44
Roberts,1 - MISD,Commissioner of the General Land Office,,DEM,Jay Kleberg,1,1,0
Roberts,1 - MISD,Commissioner of the General Land Office,,GRN,"Alfred Molison, Jr.",0,0,0
Roberts,1 - MISD,Commissioner of the General Land Office,,,Carrie Evelyn Menger,1,1,0
Roberts,1 - MISD,Commissioner of the General Land Office,,,Rejected write-ins,0,0,0
Roberts,1 - MISD,Commissioner of the General Land Office,,,Unassigned write-ins,0,0,0
Roberts,1 - MISD,Commissioner of Agriculture,,REP,Sid Miller,98,54,44
Roberts,1 - MISD,Commissioner of Agriculture,,DEM,Susan Hays,1,1,0
Roberts,1 - MISD,Railroad Commissioner,,REP,Wayne Christian,95,52,43
Roberts,1 - MISD,Railroad Commissioner,,DEM,Luke Warford,2,2,0
Roberts,1 - MISD,Railroad Commissioner,,LIB,Jaime Andres Diez,1,0,1
Roberts,1 - MISD,Railroad Commissioner,,GRN,Hunter Wayne Crow,0,0,0
Roberts,1 - MISD,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,95,52,43
Roberts,1 - MISD,"Justice, Supreme Court, Place 3",,DEM,Erin A. Nowell,1,1,0
Roberts,1 - MISD,"Justice, Supreme Court, Place 3",,LIB,Thomas Edward Oxford,1,0,1
Roberts,1 - MISD,"Justice, Supreme Court, Place 5",,REP,Rebeca Huddle,96,52,44
Roberts,1 - MISD,"Justice, Supreme Court, Place 5",,DEM,Amanda Reichek,1,1,0
Roberts,1 - MISD,"Justice, Supreme Court, Place 9",,REP,Evan Young,95,51,44
Roberts,1 - MISD,"Justice, Supreme Court, Place 9",,DEM,Julia Maldonado,2,2,0
Roberts,1 - MISD,"Judge, Court of Criminal Appeals, Place 5",,REP,Scott Walker,98,54,44
Roberts,1 - MISD,"Judge, Court of Criminal Appeals, Place 5",,DEM,Dana Huffman,1,1,0
Roberts,1 - MISD,"Judge, Court of Criminal Appeals, Place 6",,REP,Jesse F. McClure III,96,52,44
Roberts,1 - MISD,"Judge, Court of Criminal Appeals, Place 6",,DEM,Robert Johnson,1,1,0
Roberts,1 - MISD,Miami Independent School District Trustees,,,Zach McDowell,22,13,9
Roberts,1 - MISD,Miami Independent School District Trustees,,,Rusty Early,15,12,3
Roberts,1 - MISD,Miami Independent School District Trustees,,,Tyler Rankin,63,34,29
Roberts,1 - MISD,Miami Independent School District Trustees,,,Robert C. La Deau,31,16,15
Roberts,1 - MISD,Miami Independent School District Trustees,,,Chad Brooks,58,29,29
Roberts,2 - MISD,U.S. House,13,REP,Ronny Jackson,105,66,39
Roberts,2 - MISD,U.S. House,13,DEM,Kathleen Brown,3,2,1
Roberts,2 - MISD,Governor,,REP,Greg Abbott,107,68,39
Roberts,2 - MISD,Governor,,DEM,Beto O'Rourke,2,1,1
Roberts,2 - MISD,Governor,,LIB,Mark Tippetts,0,0,0
Roberts,2 - MISD,Governor,,GRN,Delilah Barrios,0,0,0
Roberts,2 - MISD,Governor,,,Jacqueline Abernathy,0,0,0
Roberts,2 - MISD,Governor,,,Mark V Goloby,0,0,0
Roberts,2 - MISD,Governor,,,Rejected write-ins,0,0,0
Roberts,2 - MISD,Governor,,,Unassigned write-ins,0,0,0
Roberts,2 - MISD,Lieutenant Governor,,REP,Dan Patrick,99,60,39
Roberts,2 - MISD,Lieutenant Governor,,DEM,Mike Collier,7,6,1
Roberts,2 - MISD,Lieutenant Governor,,LIB,Shanna Steele,3,3,0
Roberts,2 - MISD,Attorney General,,REP,Ken Paxton,105,66,39
Roberts,2 - MISD,Attorney General,,DEM,Rochelle Mercedes Garza,1,0,1
Roberts,2 - MISD,Attorney General,,LIB,Mark Ash,2,2,0
Roberts,2 - MISD,Comptroller of Public Accounts,,REP,Glenn Hegar,105,67,38
Roberts,2 - MISD,Comptroller of Public Accounts,,DEM,Janet T. Dudding,2,1,1
Roberts,2 - MISD,Comptroller of Public Accounts,,LIB,V. Alonzo Echevarria-Garza,0,0,0
Roberts,2 - MISD,Commissioner of the General Land Office,,REP,Dawn Buckingham,104,68,36
Roberts,2 - MISD,Commissioner of the General Land Office,,DEM,Jay Kleberg,1,0,1
Roberts,2 - MISD,Commissioner of the General Land Office,,GRN,"Alfred Molison, Jr.",1,0,1
Roberts,2 - MISD,Commissioner of the General Land Office,,,Carrie Evelyn Menger,0,0,0
Roberts,2 - MISD,Commissioner of the General Land Office,,,Rejected write-ins,0,0,0
Roberts,2 - MISD,Commissioner of the General Land Office,,,Unassigned write-ins,0,0,0
Roberts,2 - MISD,Commissioner of Agriculture,,REP,Sid Miller,103,66,37
Roberts,2 - MISD,Commissioner of Agriculture,,DEM,Susan Hays,3,2,1
Roberts,2 - MISD,Railroad Commissioner,,REP,Wayne Christian,102,64,38
Roberts,2 - MISD,Railroad Commissioner,,DEM,Luke Warford,4,3,1
Roberts,2 - MISD,Railroad Commissioner,,LIB,Jaime Andres Diez,1,1,0
Roberts,2 - MISD,Railroad Commissioner,,GRN,Hunter Wayne Crow,0,0,0
