county,precinct,office,district,party,candidate,votes,early_voting,election_day,mail,provisional
Cochran,101,U.S. House,19,REP,JODEY C. ARRINGTON,144,62,67,15,1
Cochran,202,U.S. House,19,REP,JODEY C. ARRINGTON,176,49,123,4,1
Cochran,303,U.S. House,19,REP,JODEY C. ARRINGTON,39,14,19,6,0
Cochran,306,U.S. House,19,REP,JODEY C. ARRINGTON,111,52,46,13,1
Cochran,404,U.S. House,19,REP,JODEY C. ARRINGTON,48,21,24,3,0
Cochran,101,U.S. House,19,DEM,"NATHAN LEWIS",13,5,4,4,1
Cochran,202,U.S. House,19,DEM,"NATHAN LEWIS",22,5,14,3,1
Cochran,303,U.S. House,19,DEM,"NATHAN LEWIS",1,0,0,1,0
Cochran,306,U.S. House,19,DEM,"NATHAN LEWIS",17,9,8,0,1
Cochran,404,U.S. House,19,DEM,"NATHAN LEWIS",25,14,9,2,0
Cochran,101,Governor,,REP,GREG ABBOTT,137,60,63,14,0
Cochran,202,Governor,,REP,GREG ABBOTT,176,50,122,4,2
Cochran,303,Governor,,REP,GREG ABBOTT,39,14,18,7,1
Cochran,306,Governor,,REP,GREG ABBOTT,107,51,43,13,0
Cochran,404,Governor,,REP,GREG ABBOTT,47,21,23,3,0
Cochran,101,Governor,,DEM,BETO O'ROURKE,21,6,11,4,0
Cochran,202,Governor,,DEM,BETO O'ROURKE,26,7,16,3,2
Cochran,303,Governor,,DEM,BETO O'ROURKE,1,0,0,1,1
Cochran,306,Governor,,DEM,BETO O'ROURKE,20,10,10,0,0
Cochran,404,Governor,,DEM,BETO O'ROURKE,27,14,11,2,0
Cochran,101,Governor,,LIB,MARK TIPPETTS,5,0,2,3,0
Cochran,202,Governor,,LIB,MARK TIPPETTS,3,0,3,0,2
Cochran,303,Governor,,LIB,MARK TIPPETTS,0,0,0,0,1
Cochran,306,Governor,,LIB,MARK TIPPETTS,2,1,1,0,0
Cochran,404,Governor,,LIB,MARK TIPPETTS,0,0,0,0,0
Cochran,101,Governor,,GRN,DELILAH BARRIOS,0,0,0,0,0
Cochran,202,Governor,,GRN,DELILAH BARRIOS,0,0,0,0,2
Cochran,303,Governor,,GRN,DELILAH BARRIOS,0,0,0,0,1
Cochran,306,Governor,,GRN,DELILAH BARRIOS,1,0,1,0,0
Cochran,404,Governor,,GRN,DELILAH BARRIOS,1,0,1,0,0
Cochran,101,Governor/Write-In,,ASP,JACQUELINE ABERNATHY,1,1,0,0,0
Cochran,202,Governor/Write-In,,ASP,JACQUELINE ABERNATHY,0,0,0,0,2
Cochran,303,Governor/Write-In,,ASP,JACQUELINE ABERNATHY,1,0,1,0,1
Cochran,306,Governor/Write-In,,ASP,JACQUELINE ABERNATHY,0,0,0,0,0
Cochran,404,Governor/Write-In,,ASP,JACQUELINE ABERNATHY,1,0,1,0,0
Cochran,101,Lieutenant Governor,,REP,DAN PATRICK,134,56,62,16,0
Cochran,202,Lieutenant Governor,,REP,DAN PATRICK,174,50,121,3,2
Cochran,303,Lieutenant Governor,,REP,DAN PATRICK,38,14,17,7,1
Cochran,306,Lieutenant Governor,,REP,DAN PATRICK,104,47,44,13,0
Cochran,404,Lieutenant Governor,,REP,DAN PATRICK,46,20,23,3,0
Cochran,101,Lieutenant Governor,,DEM,MIKE COLLIER,20,9,6,5,0
Cochran,202,Lieutenant Governor,,DEM,MIKE COLLIER,23,5,15,3,2
Cochran,303,Lieutenant Governor,,DEM,MIKE COLLIER,2,0,1,1,1
Cochran,306,Lieutenant Governor,,DEM,MIKE COLLIER,18,10,8,0,0
Cochran,404,Lieutenant Governor,,DEM,MIKE COLLIER,28,14,12,2,0
Cochran,101,Lieutenant Governor,,LIB,SHANNA STEELE,7,2,5,0,0
Cochran,202,Lieutenant Governor,,LIB,SHANNA STEELE,4,1,2,1,2
Cochran,303,Lieutenant Governor,,LIB,SHANNA STEELE,0,0,0,0,1
Cochran,306,Lieutenant Governor,,LIB,SHANNA STEELE,6,4,2,0,0
Cochran,404,Lieutenant Governor,,LIB,SHANNA STEELE,2,1,1,0,0
Cochran,101,Attorney General,,REP,KEN PAXTON,135,56,65,14,0
Cochran,202,Attorney General,,REP,KEN PAXTON,172,49,120,3,0
