county,precinct,office,district,party,candidate,early_voting,election_day,votes
Culberson,1,Judge Court Of Criminal Appeals Place 6,,,Jesse F. Mcclure Iii,41,31,72
Culberson,1,Judge Court Of Criminal Appeals Place 6,,,Robert Johnson,37,30,67
Culberson,2,Judge Court Of Criminal Appeals Place 6,,,Jesse F. Mcclure Iii,52,41,93
Culberson,2,Judge Court Of Criminal Appeals Place 6,,,Robert Johnson,42,27,69
Culberson,3~3,Judge Court Of Criminal Appeals Place 6,,,Jesse F. Mcclure Iii,7,14,21
Culberson,3~3,Judge Court Of Criminal Appeals Place 6,,,Robert Johnson,2,6,8
Culberson,3~5,Judge Court Of Criminal Appeals Place 6,,,Jesse F. Mcclure Iii,44,46,90
Culberson,3~5,Judge Court Of Criminal Appeals Place 6,,,Robert Johnson,42,26,68
Culberson,4,Judge Court Of Criminal Appeals Place 6,,,Jesse F. Mcclure Iii,23,27,50
Culberson,4,Judge Court Of Criminal Appeals Place 6,,,Robert Johnson,42,32,74
Culberson,1,County Judge,,,Carlos G. Urias,41,34,75
Culberson,1,County Judge,,,Tim Head,8,11,19
Culberson,1,County Judge,,,Tj Shipp,48,32,80
Culberson,2,County Judge,,,Carlos G. Urias,65,44,109
Culberson,2,County Judge,,,Tim Head,9,14,23
Culberson,2,County Judge,,,Tj Shipp,33,30,63
Culberson,3~3,County Judge,,,Carlos G. Urias,2,6,8
Culberson,3~3,County Judge,,,Tim Head,3,8,11
Culberson,3~3,County Judge,,,Tj Shipp,4,6,10
Culberson,3~5,County Judge,,,Carlos G. Urias,55,41,96
Culberson,3~5,County Judge,,,Tim Head,12,11,23
Culberson,3~5,County Judge,,,Tj Shipp,36,41,77
Culberson,4,County Judge,,,Carlos G. Urias,50,34,84
Culberson,4,County Judge,,,Tim Head,5,15,20
Culberson,4,County Judge,,,Tj Shipp,25,22,47
Culberson,1,Justice Supreme Court Place 5,,,Amanda Reichek,40,30,70
Culberson,1,Justice Supreme Court Place 5,,,Rebeca Huddle,38,30,68
Culberson,2,Justice Supreme Court Place 5,,,Amanda Reichek,45,25,70
Culberson,2,Justice Supreme Court Place 5,,,Rebeca Huddle,52,39,91
Culberson,3~3,Justice Supreme Court Place 5,,,Amanda Reichek,2,4,6
Culberson,3~3,Justice Supreme Court Place 5,,,Rebeca Huddle,7,15,22
Culberson,3~5,Justice Supreme Court Place 5,,,Amanda Reichek,47,25,72
Culberson,3~5,Justice Supreme Court Place 5,,,Rebeca Huddle,43,50,93
Culberson,4,Justice Supreme Court Place 5,,,Amanda Reichek,44,32,76
Culberson,4,Justice Supreme Court Place 5,,,Rebeca Huddle,22,27,49
Culberson,1,Judge Court Of Criminal Appeals Place 5,,,Dana Huffman,38,32,70
Culberson,1,Judge Court Of Criminal Appeals Place 5,,,Scott Walker,39,30,69
Culberson,2,Judge Court Of Criminal Appeals Place 5,,,Dana Huffman,47,31,78
Culberson,2,Judge Court Of Criminal Appeals Place 5,,,Scott Walker,50,39,89
Culberson,3~3,Judge Court Of Criminal Appeals Place 5,,,Dana Huffman,2,5,7
Culberson,3~3,Judge Court Of Criminal Appeals Place 5,,,Scott Walker,7,15,22
Culberson,3~5,Judge Court Of Criminal Appeals Place 5,,,Dana Huffman,44,28,72
Culberson,3~5,Judge Court Of Criminal Appeals Place 5,,,Scott Walker,47,50,97
Culberson,4,Judge Court Of Criminal Appeals Place 5,,,Dana Huffman,42,36,78
Culberson,4,Judge Court Of Criminal Appeals Place 5,,,Scott Walker,24,25,49
Culberson,1,State Representative,74,,Eddie Morales,41,38,79
Culberson,1,State Representative,74,,Katherine Parker,39,27,66
Culberson,2,State Representative,74,,Eddie Morales,53,36,89
Culberson,2,State Representative,74,,Katherine Parker,48,36,84
Culberson,3~3,State Representative,74,,Eddie Morales,2,5,7
Culberson,3~3,State Representative,74,,Katherine Parker,7,15,22
Culberson,3~5,State Representative,74,,Eddie Morales,50,29,79
Culberson,3~5,State Representative,74,,Katherine Parker,44,49,93
Culberson,4,State Representative,74,,Eddie Morales,47,34,81
Culberson,4,State Representative,74,,Katherine Parker,20,28,48
Culberson,1,Railroad Commissioner,,,Hunter Wayne Crow,3,1,4
Culberson,1,Railroad Commissioner,,,Jaime Andres Diez,7,8,15
Culberson,1,Railroad Commissioner,,,Luke Warford,33,28,61
Culberson,1,Railroad Commissioner,,,Wayne Christian,35,26,61
Culberson,2,Railroad Commissioner,,,Hunter Wayne Crow,0,0,0
Culberson,2,Railroad Commissioner,,,Jaime Andres Diez,6,3,9
Culberson,2,Railroad Commissioner,,,Luke Warford,42,23,65
Culberson,2,Railroad Commissioner,,,Wayne Christian,52,38,90
Culberson,3~3,Railroad Commissioner,,,Hunter Wayne Crow,0,2,2
Culberson,3~3,Railroad Commissioner,,,Jaime Andres Diez,1,,1
Culberson,3~3,Railroad Commissioner,,,Luke Warford,2,4,6
Culberson,3~3,Railroad Commissioner,,,Wayne Christian,7,13,20
Culberson,3~5,Railroad Commissioner,,,Hunter Wayne Crow,0,1,1
Culberson,3~5,Railroad Commissioner,,,Jaime Andres Diez,6,8,14
Culberson,3~5,Railroad Commissioner,,,Luke Warford,42,24,66
Culberson,3~5,Railroad Commissioner,,,Wayne Christian,41,44,85
Culberson,4,Railroad Commissioner,,,Hunter Wayne Crow,3,3,6
Culberson,4,Railroad Commissioner,,,Jaime Andres Diez,4,5,9
Culberson,4,Railroad Commissioner,,,Luke Warford,38,27,65
Culberson,4,Railroad Commissioner,,,Wayne Christian,20,23,43
Culberson,1,Justice Supreme Court Place 9,,,Evan Young,39,28,67
Culberson,1,Justice Supreme Court Place 9,,,Julia Maldonado,40,35,75
Culberson,2,Justice Supreme Court Place 9,,,Evan Young,49,38,87
Culberson,2,Justice Supreme Court Place 9,,,Julia Maldonado,49,30,79
Culberson,3~3,Justice Supreme Court Place 9,,,Evan Young,7,14,21
Culberson,3~3,Justice Supreme Court Place 9,,,Julia Maldonado,2,6,8
Culberson,3~5,Justice Supreme Court Place 9,,,Evan Young,41,44,85
Culberson,3~5,Justice Supreme Court Place 9,,,Julia Maldonado,48,31,79
Culberson,4,Justice Supreme Court Place 9,,,Evan Young,22,27,49
Culberson,4,Justice Supreme Court Place 9,,,Julia Maldonado,46,32,78
Culberson,1,State Senate,29,,César J. Blanco,44,36,80
Culberson,1,State Senate,29,,Derek L. Zubeldia,38,28,66
Culberson,2,State Senate,29,,César J. Blanco,53,36,89
Culberson,2,State Senate,29,,Derek L. Zubeldia,52,39,91
Culberson,3~3,State Senate,29,,César J. Blanco,2,5,7
Culberson,3~3,State Senate,29,,Derek L. Zubeldia,7,15,22
Culberson,3~5,State Senate,29,,César J. Blanco,50,33,83
Culberson,3~5,State Senate,29,,Derek L. Zubeldia,40,43,83
Culberson,4,State Senate,29,,César J. Blanco,49,39,88
Culberson,4,State Senate,29,,Derek L. Zubeldia,18,25,43
Culberson,1,Attorney General,,,Ken Paxton,36,31,67
Culberson,1,Attorney General,,,Mark Ash,2,1,3
Culberson,1,Attorney General,,,Rochelle Mercedes Garza,42,35,77
Culberson,2,Attorney General,,,Ken Paxton,53,39,92
Culberson,2,Attorney General,,,Mark Ash,2,2,4
Culberson,2,Attorney General,,,Rochelle Mercedes Garza,45,28,73
Culberson,3~3,Attorney General,,,Ken Paxton,7,14,21
Culberson,3~3,Attorney General,,,Mark Ash,0,2,2
Culberson,3~3,Attorney General,,,Rochelle Mercedes Garza,2,4,6
Culberson,3~5,Attorney General,,,Ken Paxton,46,50,96
Culberson,3~5,Attorney General,,,Mark Ash,3,3,6
Culberson,3~5,Attorney General,,,Rochelle Mercedes Garza,47,27,74
Culberson,4,Attorney General,,,Ken Paxton,21,26,47
Culberson,4,Attorney General,,,Mark Ash,0,5,5
Culberson,4,Attorney General,,,Rochelle Mercedes Garza,44,29,73
Culberson,1,Member State Board Of Education District 1,,,Melissa N. Ortega,41,37,78
Culberson,1,Member State Board Of Education District 1,,,"Michael """"Travis"""" Stevens",39,29,68
Culberson,2,Member State Board Of Education District 1,,,Melissa N. Ortega,49,33,82
Culberson,2,Member State Board Of Education District 1,,,"Michael """"Travis"""" Stevens",50,37,87
Culberson,3~3,Member State Board Of Education District 1,,,Melissa N. Ortega,2,7,9
Culberson,3~3,Member State Board Of Education District 1,,,"Michael """"Travis"""" Stevens",7,13,20
Culberson,3~5,Member State Board Of Education District 1,,,Melissa N. Ortega,50,29,79
Culberson,3~5,Member State Board Of Education District 1,,,"Michael """"Travis"""" Stevens",43,49,92
Culberson,4,Member State Board Of Education District 1,,,Melissa N. Ortega,45,35,80
Culberson,4,Member State Board Of Education District 1,,,"Michael """"Travis"""" Stevens",21,25,46
Culberson,1,Governor,,,Beto O'rourke,42,38,80
Culberson,1,Governor,,,Delilah Barrios,2,4,6
Culberson,1,Governor,,,Greg Abbott,49,37,86
Culberson,1,Governor,,,Jacqueline Abernathy,0,0,0
Culberson,1,Governor,,,Mark Tippetts,1,1,2
Culberson,2,Governor,,,Beto O'rourke,53,29,82
Culberson,2,Governor,,,Delilah Barrios,0,0,0
Culberson,2,Governor,,,Greg Abbott,55,50,105
Culberson,2,Governor,,,Jacqueline Abernathy,0,0,0
Culberson,2,Governor,,,Mark Tippetts,1,0,1
Culberson,2,Governor,,,Mark V Goloby,0,0,0
Culberson,3~3,Governor,,,Beto O'rourke,1,4,5
Culberson,3~3,Governor,,,Delilah Barrios,0,1,1
Culberson,3~3,Governor,,,Greg Abbott,7,15,22
Culberson,3~3,Governor,,,Jacqueline Abernathy,0,0,0
Culberson,3~3,Governor,,,Mark Tippetts,0,0,0
Culberson,3~3,Governor,,,Mark V Goloby,0,0,0
Culberson,3~5,Governor,,,Beto O'rourke,53,26,79
Culberson,3~5,Governor,,,Delilah Barrios,1,0,1
Culberson,3~5,Governor,,,Greg Abbott,51,62,113
Culberson,3~5,Governor,,,Jacqueline Abernathy,0,0,0
Culberson,3~5,Governor,,,Mark Tippetts,0,2,2
Culberson,3~5,Governor,,,Mark V Goloby,0,0,0
Culberson,4,Governor,,,Beto O'rourke,49,33,82
Culberson,4,Governor,,,Delilah Barrios,2,0,2
Culberson,4,Governor,,,Greg Abbott,30,35,65
Culberson,4,Governor,,,Jacqueline Abernathy,0,0,0
Culberson,4,Governor,,,Mark Tippetts,0,1,1
Culberson,4,Governor,,,Mark V Goloby,0,0,0
Culberson,1,Commissioner Of The General Land Office,,,Alfred Molison Jr,4,4,8
Culberson,1,Commissioner Of The General Land Office,,,Carrie Evelyn Menger,0,1,1
Culberson,1,Commissioner Of The General Land Office,,,Dawn Buckingham,37,29,66
Culberson,1,Commissioner Of The General Land Office,,,Jay Kleberg,33,27,60
Culberson,2,Commissioner Of The General Land Office,,,Alfred Molison Jr,3,3,6
Culberson,2,Commissioner Of The General Land Office,,,Carrie Evelyn Menger,0,0,0
Culberson,2,Commissioner Of The General Land Office,,,Dawn Buckingham,52,38,90
Culberson,2,Commissioner Of The General Land Office,,,Jay Kleberg,43,26,69
Culberson,3~3,Commissioner Of The General Land Office,,,Alfred Molison Jr,0,1,1
Culberson,3~3,Commissioner Of The General Land Office,,,Carrie Evelyn Menger,0,0,0
Culberson,3~3,Commissioner Of The General Land Office,,,Dawn Buckingham,7,15,22
Culberson,3~3,Commissioner Of The General Land Office,,,Jay Kleberg,2,4,6
Culberson,3~5,Commissioner Of The General Land Office,,,Alfred Molison Jr,3,2,5
Culberson,3~5,Commissioner Of The General Land Office,,,Carrie Evelyn Menger,1,0,1
Culberson,3~5,Commissioner Of The General Land Office,,,Dawn Buckingham,44,45,89
Culberson,3~5,Commissioner Of The General Land Office,,,Jay Kleberg,45,24,69
Culberson,4,Commissioner Of The General Land Office,,,Alfred Molison Jr,2,5,7
Culberson,4,Commissioner Of The General Land Office,,,Carrie Evelyn Menger,0,0,0
Culberson,4,Commissioner Of The General Land Office,,,Dawn Buckingham,20,24,44
Culberson,4,Commissioner Of The General Land Office,,,Jay Kleberg,43,27,70
Culberson,1,Justice Supreme Court Place 3,,,Debra Lehrmann,41,26,67
Culberson,1,Justice Supreme Court Place 3,,,Erin A. Nowell,36,32,68
Culberson,1,Justice Supreme Court Place 3,,,Thomas Edward Oxford,0,4,4
Culberson,2,Justice Supreme Court Place 3,,,Debra Lehrmann,55,39,94
Culberson,2,Justice Supreme Court Place 3,,,Erin A. Nowell,42,23,65
Culberson,2,Justice Supreme Court Place 3,,,Thomas Edward Oxford,2,3,5
Culberson,3~3,Justice Supreme Court Place 3,,,Debra Lehrmann,7,14,21
Culberson,3~3,Justice Supreme Court Place 3,,,Erin A. Nowell,2,4,6
Culberson,3~3,Justice Supreme Court Place 3,,,Thomas Edward Oxford,0,2,2
Culberson,3~5,Justice Supreme Court Place 3,,,Debra Lehrmann,42,48,90
Culberson,3~5,Justice Supreme Court Place 3,,,Erin A. Nowell,47,25,72
Culberson,3~5,Justice Supreme Court Place 3,,,Thomas Edward Oxford,1,3,4
Culberson,4,Justice Supreme Court Place 3,,,Debra Lehrmann,21,25,46
Culberson,4,Justice Supreme Court Place 3,,,Erin A. Nowell,42,29,71
Culberson,4,Justice Supreme Court Place 3,,,Thomas Edward Oxford,3,5,8
Culberson,1,Commissioner Of Agriculture,,,Sid Miller,41,29,70
Culberson,1,Commissioner Of Agriculture,,,Susan Hays,39,33,72
Culberson,2,Commissioner Of Agriculture,,,Sid Miller,52,40,92
Culberson,2,Commissioner Of Agriculture,,,Susan Hays,47,26,73
Culberson,3~3,Commissioner Of Agriculture,,,Sid Miller,6,14,20
Culberson,3~3,Commissioner Of Agriculture,,,Susan Hays,2,6,8
Culberson,3~5,Commissioner Of Agriculture,,,Sid Miller,45,51,96
Culberson,3~5,Commissioner Of Agriculture,,,Susan Hays,45,26,71
Culberson,4,Commissioner Of Agriculture,,,Sid Miller,22,26,48
Culberson,4,Commissioner Of Agriculture,,,Susan Hays,43,33,76
Culberson,1,U.S. House,23,,Frank Lopez Jr,6,6,12
Culberson,1,U.S. House,23,,John Lira,29,24,53
Culberson,1,U.S. House,23,,Tony Gonzales,48,34,82
Culberson,2,U.S. House,23,,Frank Lopez Jr,5,3,8
Culberson,2,U.S. House,23,,John Lira,32,23,55
Culberson,2,U.S. House,23,,Tony Gonzales,62,47,109
Culberson,3~3,U.S. House,23,,Frank Lopez Jr,0,1,1
Culberson,3~3,U.S. House,23,,John Lira,2,3,5
Culberson,3~3,U.S. House,23,,Tony Gonzales,7,16,23
Culberson,3~5,U.S. House,23,,Frank Lopez Jr,7,4,11
Culberson,3~5,U.S. House,23,,John Lira,38,21,59
Culberson,3~5,U.S. House,23,,Tony Gonzales,50,56,106
Culberson,4,U.S. House,23,,Frank Lopez Jr,2,1,3
Culberson,4,U.S. House,23,,John Lira,37,29,66
Culberson,4,U.S. House,23,,Tony Gonzales,31,35,66
Culberson,1,Lieutenant Governor,,,Dan Patrick,41,33,74
Culberson,1,Lieutenant Governor,,,Mike Collier,38,27,65
Culberson,1,Lieutenant Governor,,,Shanna Steele,1,8,9
Culberson,2,Lieutenant Governor,,,Dan Patrick,57,39,96
Culberson,2,Lieutenant Governor,,,Mike Collier,42,24,66
Culberson,2,Lieutenant Governor,,,Shanna Steele,2,4,6
Culberson,3~3,Lieutenant Governor,,,Dan Patrick,7,15,22
Culberson,3~3,Lieutenant Governor,,,Mike Collier,2,4,6
Culberson,3~3,Lieutenant Governor,,,Shanna Steele,0,1,1
Culberson,3~5,Lieutenant Governor,,,Dan Patrick,46,54,100
Culberson,3~5,Lieutenant Governor,,,Mike Collier,42,23,65
Culberson,3~5,Lieutenant Governor,,,Shanna Steele,5,5,10
Culberson,4,Lieutenant Governor,,,Dan Patrick,22,25,47
Culberson,4,Lieutenant Governor,,,Mike Collier,38,30,68
Culberson,4,Lieutenant Governor,,,Shanna Steele,5,5,10
Culberson,1,Comptroller Of Public Accounts,,,Glenn Hegar,36,28,64
Culberson,1,Comptroller Of Public Accounts,,,Janet T. Dudding,34,30,64
