county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day,provisional
ATASCOSA,1,Ballots Cast Total,NA,"NA",,253,4,141,108,0
ATASCOSA,1,Ballots Cast,NA,REP,,226,3,130,93,0
ATASCOSA,1,Ballots Cast,NA,DEM,,27,1,11,15,0
ATASCOSA,1,Ballots Cast,NA,NON,,0,0,0,0,0
ATASCOSA,1,Ballots Cast Blank,NA,"NA",,1,0,1,0,0
ATASCOSA,1,U.S. House,28,REP,Sandra Whitten,81,2,49,30,0
ATASCOSA,1,U.S. House,28,REP,Eric Hohman,23,0,14,9,0
ATASCOSA,1,U.S. House,28,REP,Cassy Garcia,38,0,20,18,0
ATASCOSA,1,U.S. House,28,REP,Ed Cabrera,25,1,15,9,0
ATASCOSA,1,U.S. House,28,REP,Steven Fowler,29,0,18,11,0
ATASCOSA,1,U.S. House,28,REP,Willie Vasquez Ng,9,0,6,3,0
ATASCOSA,1,U.S. House,28,REP,Rolando Rodriguez,4,0,0,4,0
ATASCOSA,1,U.S. House,28,REP,OVER VOTES,0,0,0,0,0
ATASCOSA,1,U.S. House,28,REP,UNDER VOTES,17,0,8,9,0
ATASCOSA,1,Governor,NA,REP,Greg Abbott,148,3,91,54,0
ATASCOSA,1,Governor,NA,REP,Paul Belew,1,0,1,0,0
ATASCOSA,1,Governor,NA,REP,Danny Harrison,1,0,0,1,0
ATASCOSA,1,Governor,NA,REP,Allen B. West,29,0,17,12,0
ATASCOSA,1,Governor,NA,REP,Kandy Kaye Horn,2,0,1,1,0
ATASCOSA,1,Governor,NA,REP,Don Huffines,17,0,8,9,0
ATASCOSA,1,Governor,NA,REP,Chad Prather,15,0,6,9,0
ATASCOSA,1,Governor,NA,REP,Rick Perry,10,0,4,6,0
ATASCOSA,1,Governor,NA,REP,OVER VOTES,0,0,0,0,0
ATASCOSA,1,Governor,NA,REP,UNDER VOTES,3,0,2,1,0
ATASCOSA,1,Lieutenant Governor,NA,REP,Zach Vance,9,0,5,4,0
ATASCOSA,1,Lieutenant Governor,NA,REP,Aaron Sorrells,5,0,4,1,0
