county,precinct,office,district,party,candidate,votes,early_voting,election_day,mail,provisional,limited
Collin,1,Ballots Cast Total,NA,"NA",,1491,1052,376,62,1,0
Collin,1,U.S. House,3,REP,Keith Self,831,560,237,34,0,0
Collin,1,U.S. House,3,DEM,Sandeep Srivastava,593,447,119,26,1,0
Collin,1,U.S. House,3,LIB,Christopher Claytor,40,26,13,1,0,0
Collin,1,U.S. House,3,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,U.S. House,3,NON,UNDER VOTES,27,19,7,1,0,0
Collin,1,U.S. House,4,REP,Pat Fallon,0,0,0,0,0,0
Collin,1,U.S. House,4,DEM,Iro Omere,0,0,0,0,0,0
Collin,1,U.S. House,4,LIB,John Simmons,0,0,0,0,0,0
Collin,1,U.S. House,4,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,U.S. House,4,NON,UNDER VOTES,0,0,0,0,0,0
Collin,1,U.S. House,32,REP,Antonio Swad,0,0,0,0,0,0
Collin,1,U.S. House,32,DEM,Colin Allred,0,0,0,0,0,0
Collin,1,U.S. House,32,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,U.S. House,32,NON,UNDER VOTES,0,0,0,0,0,0
Collin,1,Governor,NA,REP,Greg Abbott,824,561,229,34,0,0
Collin,1,Governor,NA,DEM,Beto O'Rourke,638,471,139,27,1,0
Collin,1,Governor,NA,LIB,Mark Tippetts,21,14,6,1,0,0
Collin,1,Governor,NA,GRN,Delilah Barrios,4,3,1,0,0,0
Collin,1,Governor,NA,NON,Write-in,0,0,0,0,0,0
Collin,1,Governor,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,Governor,NA,NON,UNDER VOTES,4,3,1,0,0,0
Collin,1,Lieutenant Governor,NA,REP,Dan Patrick,789,526,229,34,0,0
Collin,1,Lieutenant Governor,NA,DEM,Mike Collier,638,481,128,28,1,0
Collin,1,Lieutenant Governor,NA,LIB,Shanna Steele,44,33,11,0,0,0
Collin,1,Lieutenant Governor,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,Lieutenant Governor,NA,NON,UNDER VOTES,20,12,8,0,0,0
Collin,1,Attorney General,NA,REP,Ken Paxton,761,512,218,31,0,0
Collin,1,Attorney General,NA,DEM,Rochelle Mercedes Garza,643,481,131,30,1,0
Collin,1,Attorney General,NA,LIB,Mark Ash,63,43,19,1,0,0
Collin,1,Attorney General,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,Attorney General,NA,NON,UNDER VOTES,24,16,8,0,0,0
Collin,1,Comptroller of Public Accounts,NA,REP,Glenn Hegar,838,573,232,33,0,0
Collin,1,Comptroller of Public Accounts,NA,DEM,Janet T. Dudding,580,433,119,27,1,0
Collin,1,Comptroller of Public Accounts,NA,LIB,V. Alonzo Echevarria-Garza,39,29,10,0,0,0
Collin,1,Comptroller of Public Accounts,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,Comptroller of Public Accounts,NA,NON,UNDER VOTES,34,17,15,2,0,0
Collin,1,Commissioner of the General Land Office,NA,REP,Dawn Buckingham,838,569,236,33,0,0
Collin,1,Commissioner of the General Land Office,NA,DEM,Jay Kleberg,590,447,116,26,1,0
Collin,1,Commissioner of the General Land Office,NA,GRN,"Alfred Molison, Jr",18,13,5,0,0,0
Collin,1,Commissioner of the General Land Office,NA,NON,Write-in,2,0,1,1,0,0
Collin,1,Commissioner of the General Land Office,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,Commissioner of the General Land Office,NA,NON,UNDER VOTES,43,23,18,2,0,0
Collin,1,Commissioner of Agriculture,NA,REP,Sid Miller,839,572,237,30,0,0
Collin,1,Commissioner of Agriculture,NA,DEM,Susan Hays,610,458,120,31,1,0
Collin,1,Commissioner of Agriculture,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,Commissioner of Agriculture,NA,NON,UNDER VOTES,42,22,19,1,0,0
Collin,1,Railroad Commissioner,NA,REP,Wayne Christian,825,564,228,33,0,0
Collin,1,Railroad Commissioner,NA,DEM,Luke Warford,577,434,117,25,1,0
Collin,1,Railroad Commissioner,NA,LIB,Jaime Andres Diez,32,23,7,2,0,0
Collin,1,Railroad Commissioner,NA,GRN,Hunter Wayne Crow,17,10,7,0,0,0
Collin,1,Railroad Commissioner,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,Railroad Commissioner,NA,NON,UNDER VOTES,40,21,17,2,0,0
Collin,1,"Justice, Supreme Court, Place 3",NA,REP,Debra Lehrmann,836,566,236,34,0,0
Collin,1,"Justice, Supreme Court, Place 3",NA,DEM,Erin A. Nowell,588,442,120,25,1,0
Collin,1,"Justice, Supreme Court, Place 3",NA,LIB,Thomas Edward Oxford,26,17,8,1,0,0
Collin,1,"Justice, Supreme Court, Place 3",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,"Justice, Supreme Court, Place 3",NA,NON,UNDER VOTES,41,27,12,2,0,0
Collin,1,"Justice, Supreme Court, Place 5",NA,REP,Rebeca Huddle,854,570,250,34,0,0
Collin,1,"Justice, Supreme Court, Place 5",NA,DEM,Amanda Reichek,590,451,113,25,1,0
Collin,1,"Justice, Supreme Court, Place 5",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,"Justice, Supreme Court, Place 5",NA,NON,UNDER VOTES,47,31,13,3,0,0
Collin,1,"Justice, Supreme Court, Place 9",NA,REP,Evan Young,839,564,241,34,0,0
Collin,1,"Justice, Supreme Court, Place 9",NA,DEM,Julia Maldonado,606,458,122,25,1,0
Collin,1,"Justice, Supreme Court, Place 9",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,"Justice, Supreme Court, Place 9",NA,NON,UNDER VOTES,46,30,13,3,0,0
Collin,1,"Judge, Court of Criminal Appeals, Place 5",NA,REP,Scott Walker,842,575,233,34,0,0
Collin,1,"Judge, Court of Criminal Appeals, Place 5",NA,DEM,Dana Huffman,601,448,126,26,1,0
Collin,1,"Judge, Court of Criminal Appeals, Place 5",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,"Judge, Court of Criminal Appeals, Place 5",NA,NON,UNDER VOTES,48,29,17,2,0,0
Collin,1,"Judge, Court of Criminal Appeals, Place 6",NA,REP,"Jesse F. McClure, III",846,572,241,33,0,0
Collin,1,"Judge, Court of Criminal Appeals, Place 6",NA,DEM,Robert Johnson,592,446,119,26,1,0
Collin,1,"Judge, Court of Criminal Appeals, Place 6",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,"Judge, Court of Criminal Appeals, Place 6",NA,NON,UNDER VOTES,53,34,16,3,0,0
Collin,1,"Member, State Board of Education, District 12 Ccd",NA,REP,Pam Little,824,564,226,34,0,0
Collin,1,"Member, State Board of Education, District 12 Ccd",NA,DEM,Alex Cornwallis,580,433,121,25,1,0
Collin,1,"Member, State Board of Education, District 12 Ccd",NA,LIB,Christy Mowrey,40,26,13,1,0,0
Collin,1,"Member, State Board of Education, District 12 Ccd",NA,NON,Write-in,0,0,0,0,0,0
Collin,1,"Member, State Board of Education, District 12 Ccd",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,"Member, State Board of Education, District 12 Ccd",NA,NON,UNDER VOTES,47,29,16,2,0,0
Collin,1,State Senate,2,REP,Bob Hall,0,0,0,0,0,0
Collin,1,State Senate,2,DEM,Prince S. Giadolor,0,0,0,0,0,0
Collin,1,State Senate,2,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,State Senate,2,NON,UNDER VOTES,0,0,0,0,0,0
Collin,1,State Senate,8,REP,Angela Paxton,776,520,225,31,0,0
Collin,1,State Senate,8,DEM,Jonathan Cocks,619,463,127,28,1,0
Collin,1,State Senate,8,LIB,Edward Kless,50,39,10,1,0,0
Collin,1,State Senate,8,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,State Senate,8,NON,UNDER VOTES,46,30,14,2,0,0
Collin,1,State House,33,REP,Justin Holland,0,0,0,0,0,0
Collin,1,State House,33,DEM,Graeson Lynskey,0,0,0,0,0,0
Collin,1,State House,33,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,State House,33,NON,UNDER VOTES,0,0,0,0,0,0
Collin,1,State House,61,REP,Frederick Frazier,0,0,0,0,0,0
Collin,1,State House,61,DEM,Sheena King,0,0,0,0,0,0
Collin,1,State House,61,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,State House,61,NON,UNDER VOTES,0,0,0,0,0,0
Collin,1,State House,66,REP,Matt Shaheen,0,0,0,0,0,0
Collin,1,State House,66,DEM,Jesse Ringness,0,0,0,0,0,0
Collin,1,State House,66,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,State House,66,NON,UNDER VOTES,0,0,0,0,0,0
Collin,1,State House,67,REP,Jeff Leach,846,571,241,34,0,0
Collin,1,State House,67,DEM,Kevin Morris,596,450,119,26,1,0
Collin,1,State House,67,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,State House,67,NON,UNDER VOTES,49,31,16,2,0,0
Collin,1,State House,70,REP,Jamee Jolly,0,0,0,0,0,0
Collin,1,State House,70,DEM,Mihaela Elizabeth Plesa,0,0,0,0,0,0
Collin,1,State House,70,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,State House,70,NON,UNDER VOTES,0,0,0,0,0,0
Collin,1,"Justice, 5th Court of Appeals District, Place 4",NA,REP,Emily A. Miskel,850,578,238,34,0,0
Collin,1,"Justice, 5th Court of Appeals District, Place 4",NA,DEM,Maricela Moore,582,437,118,26,1,0
Collin,1,"Justice, 5th Court of Appeals District, Place 4",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,"Justice, 5th Court of Appeals District, Place 4",NA,NON,UNDER VOTES,59,37,20,2,0,0
Collin,1,"Justice, 5th Court of Appeals District, Place 7",NA,REP,Kristina Williams,846,572,240,34,0,0
Collin,1,"Justice, 5th Court of Appeals District, Place 7",NA,DEM,Nancy Kennedy,589,443,119,26,1,0
Collin,1,"Justice, 5th Court of Appeals District, Place 7",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,"Justice, 5th Court of Appeals District, Place 7",NA,NON,UNDER VOTES,56,37,17,2,0,0
Collin,1,County Judge Ccd,NA,REP,Chris Hill,850,575,241,34,0,0
Collin,1,County Judge Ccd,NA,DEM,Joshua Murray,605,453,123,28,1,0
Collin,1,County Judge Ccd,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,County Judge Ccd,NA,NON,UNDER VOTES,36,24,12,0,0,0
Collin,1,District Clerk Ccd,NA,REP,Mike Gould,860,582,244,34,0,0
Collin,1,District Clerk Ccd,NA,DEM,David Brignac,582,438,117,26,1,0
Collin,1,District Clerk Ccd,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,District Clerk Ccd,NA,NON,UNDER VOTES,49,32,15,2,0,0
Collin,1,"County Commissioner, Precinct 4",NA,REP,Duncan Webb,0,0,0,0,0,0
Collin,1,"County Commissioner, Precinct 4",NA,DEM,Jeffrey Williams,0,0,0,0,0,0
Collin,1,"County Commissioner, Precinct 4",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,"County Commissioner, Precinct 4",NA,NON,UNDER VOTES,0,0,0,0,0,0
Collin,1,"Justice of the Peace, Precinct 2",NA,REP,Ellen Skinner,0,0,0,0,0,0
Collin,1,"Justice of the Peace, Precinct 2",NA,DEM,Jennifer McKenzie,0,0,0,0,0,0
Collin,1,"Justice of the Peace, Precinct 2",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,"Justice of the Peace, Precinct 2",NA,NON,UNDER VOTES,0,0,0,0,0,0
Collin,1,"Justice of the Peace, Precinct 3",NA,REP,Mike Missildine,0,0,0,0,0,0
Collin,1,"Justice of the Peace, Precinct 3",NA,DEM,Irvin Lynn Barrett,0,0,0,0,0,0
Collin,1,"Justice of the Peace, Precinct 3",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,1,"Justice of the Peace, Precinct 3",NA,NON,UNDER VOTES,0,0,0,0,0,0
Collin,2,Ballots Cast Total,NA,"NA",,2084,1406,599,78,1,0
Collin,2,U.S. House,3,REP,Keith Self,1039,687,318,34,0,0
Collin,2,U.S. House,3,DEM,Sandeep Srivastava,961,669,250,41,1,0
Collin,2,U.S. House,3,LIB,Christopher Claytor,53,34,19,0,0,0
Collin,2,U.S. House,3,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,U.S. House,3,NON,UNDER VOTES,31,16,12,3,0,0
Collin,2,U.S. House,4,REP,Pat Fallon,0,0,0,0,0,0
Collin,2,U.S. House,4,DEM,Iro Omere,0,0,0,0,0,0
Collin,2,U.S. House,4,LIB,John Simmons,0,0,0,0,0,0
Collin,2,U.S. House,4,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,U.S. House,4,NON,UNDER VOTES,0,0,0,0,0,0
Collin,2,U.S. House,32,REP,Antonio Swad,0,0,0,0,0,0
