county,precinct,office,district,party,candidate,votes,mail,early_voting,election_day,provisional
Kleberg,0001 Pct 11 / 12,REGISTERED VOTERS,,,,2742,,,,
Kleberg,0001 Pct 11 / 12,BALLOTS CAST,,,,1241,79,738,419,5
Kleberg,0001 Pct 11 / 12,U.S. House,34,REP,Mayra Flores,760,30,448,280,2
Kleberg,0001 Pct 11 / 12,U.S. House,34,DEM,Vicente Gonzalez,439,46,262,129,2
Kleberg,0001 Pct 11 / 12,U.S. House,34,IND,Chris Royal,25,2,12,10,1
Kleberg,0001 Pct 11 / 12,Governor,,REP,Greg Abbott,769,33,453,281,2
Kleberg,0001 Pct 11 / 12,Governor,,DEM,Beto O-Rourke,448,43,274,128,3
Kleberg,0001 Pct 11 / 12,Governor,,LIB,Mark Tippetts,8,0,4,4,0
Kleberg,0001 Pct 11 / 12,Governor,,GRN,Delilah Barrios,5,0,1,4,0
Kleberg,0001 Pct 11 / 12,Governor,,,WRITE-IN,1,1,0,0,0
Kleberg,0001 Pct 11 / 12,Lieutenant Governor,,REP,Dan Patrick,763,34,444,283,2
Kleberg,0001 Pct 11 / 12,Lieutenant Governor,,DEM,Mike Collier,437,43,266,125,3
Kleberg,0001 Pct 11 / 12,Lieutenant Governor,,LIB,Shanna Steele,22,1,11,10,0
Kleberg,0001 Pct 11 / 12,Attorney General,,REP,Ken Paxton,753,31,436,284,2
Kleberg,0001 Pct 11 / 12,Attorney General,,DEM,Rochelle Mercedes Garza,447,46,271,127,3
Kleberg,0001 Pct 11 / 12,Attorney General,,LIB,Mark Ash,22,1,15,6,0
Kleberg,0001 Pct 11 / 12,Comptroller of Public Accounts,,REP,Glenn Hegar,755,32,436,285,2
Kleberg,0001 Pct 11 / 12,Comptroller of Public Accounts,,DEM,Janet T Dudding,414,45,247,121,1
Kleberg,0001 Pct 11 / 12,Comptroller of Public Accounts,,LIB,V Alonzo Echevarria-Garza,40,2,26,10,2
Kleberg,0001 Pct 11 / 12,Comm General Land Office,,REP,Dawn Buckingham,639,28,364,245,2
Kleberg,0001 Pct 11 / 12,Comm General Land Office,,DEM,Jay Kleberg,585,50,361,171,3
Kleberg,0001 Pct 11 / 12,Comm General Land Office,,GRN,"Alfredo Molison, Jr",9,1,5,3,0
Kleberg,0001 Pct 11 / 12,Comm General Land Office,,,WRITE-IN,0,0,0,0,0
Kleberg,0001 Pct 11 / 12,Commissioner of Agriculture,,REP,Sid Miller,771,34,446,289,2
Kleberg,0001 Pct 11 / 12,Commissioner of Agriculture,,DEM,Susan Hays,446,45,270,128,3
Kleberg,0001 Pct 11 / 12,Railroad Commissioner,,REP,Wayne Christian,743,32,427,282,2
Kleberg,0001 Pct 11 / 12,Railroad Commissioner,,DEM,Luke Warford,421,44,260,115,2
Kleberg,0001 Pct 11 / 12,Railroad Commissioner,,LIB,Jaime Andres Diez,39,1,23,14,1
Kleberg,0001 Pct 11 / 12,Railroad Commissioner,,GRN,Hunter Wayne Crow,12,2,5,5,0
Kleberg,0001 Pct 11 / 12,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,758,33,438,285,2
Kleberg,0001 Pct 11 / 12,"Justice, Supreme Court, Place 3",,DEM,Erin A Nowell,431,45,263,120,3
Kleberg,0001 Pct 11 / 12,"Justice, Supreme Court, Place 3",,LIB,Thomas Edward Oxford,23,1,12,10,0
Kleberg,0001 Pct 11 / 12,"Justice, Supreme Court, Place 5",,REP,Rebeca Huddle,754,34,435,283,2
Kleberg,0001 Pct 11 / 12,"Justice, Supreme Court, Place 5",,DEM,Amanda Reichek,456,45,277,131,3
Kleberg,0001 Pct 11 / 12,"Justice, Supreme Court, Place 9",,REP,Evan Young,738,32,427,277,2
Kleberg,0001 Pct 11 / 12,"Justice, Supreme Court, Place 9",,DEM,Julia Maldonado,475,47,286,139,3
Kleberg,0001 Pct 11 / 12,"Judge, Court of Criminal Appeals, Place 5",,REP,Scott Walker,757,33,438,284,2
Kleberg,0001 Pct 11 / 12,"Judge, Court of Criminal Appeals, Place 5",,DEM,Dana Huffman,450,45,272,130,3
Kleberg,0001 Pct 11 / 12,"Judge, Court of Criminal Appeals, Place 6",,REP,"Jesse F McClure, III",756,34,435,285,2
Kleberg,0001 Pct 11 / 12,"Judge, Court of Criminal Appeals, Place 6",,DEM,Robert Johnson,448,45,270,130,3
Kleberg,0001 Pct 11 / 12,"Member, State Board of Education",2,REP,LJ Francis,725,32,420,271,2
Kleberg,0001 Pct 11 / 12,"Member, State Board of Education",2,DEM,Victor Perez,478,45,286,144,3
Kleberg,0001 Pct 11 / 12,State Senate,27,REP,Adam Hinojosa,799,35,461,301,2
Kleberg,0001 Pct 11 / 12,State Senate,27,DEM,Moragan LaMantia,415,41,257,114,3
Kleberg,0001 Pct 11 / 12,"Justice, 13th Court of Appeals District, Place 3",,REP,Aaron Pena,731,31,419,279,2
Kleberg,0001 Pct 11 / 12,"Justice, 13th Court of Appeals District, Place 3",,DEM,Leticia Hinojosa,466,46,281,136,3
Kleberg,0001 Pct 11 / 12,County Judge,,REP,Rudy Madrid,882,48,525,305,4
Kleberg,0001 Pct 11 / 12,County Judge,,DEM,Al Garcia,330,24,196,109,1
Kleberg,0001 Pct 11 / 12,"Judge, County Court at Law",,REP,J Dean Craig,704,28,415,259,2
Kleberg,0001 Pct 11 / 12,"Judge, County Court at Law",,DEM,Jaime E Carrillo,516,49,307,157,3
Kleberg,0001 Pct 11 / 12,County Clerk,,REP,"Salvador ""Sonny"" Barrera, III",806,38,474,291,3
Kleberg,0001 Pct 11 / 12,County Clerk,,DEM,Andre Ortiz,408,40,242,124,2
Kleberg,0001 Pct 11 / 12,"Justice of the Peace, Pct 1",,REP,"Ventura ""Sonny"" Gonzalez, III",672,27,373,268,4
Kleberg,0001 Pct 11 / 12,"Justice of the Peace, Pct 1",,DEM,Andy Gonzalez,550,51,350,148,1
Kleberg,0001 Pct 11 / 12,Kleberg County Special Election,,,FOR,248,14,150,82,2
Kleberg,0001 Pct 11 / 12,Kleberg County Special Election,,,AGAINST,432,16,278,135,3
Kleberg,0002 Pct 13,REGISTERED VOTERS,,,,741,,,,
Kleberg,0002 Pct 13,BALLOTS CAST,,,,251,30,136,85,0
Kleberg,0002 Pct 13,U.S. House,34,REP,Mayra Flores,102,3,63,36,0
Kleberg,0002 Pct 13,U.S. House,34,DEM,Vicente Gonzalez,137,26,65,46,0
Kleberg,0002 Pct 13,U.S. House,34,IND,Chris Royal,8,1,4,3,0
Kleberg,0002 Pct 13,Governor,,REP,Greg Abbott,107,3,65,39,0
Kleberg,0002 Pct 13,Governor,,DEM,Beto O-Rourke,138,27,67,44,0
Kleberg,0002 Pct 13,Governor,,LIB,Mark Tippetts,2,0,1,1,0
Kleberg,0002 Pct 13,Governor,,GRN,Delilah Barrios,2,0,1,1,0
Kleberg,0002 Pct 13,Governor,,,WRITE-IN,0,0,0,0,0
Kleberg,0002 Pct 13,Lieutenant Governor,,REP,Dan Patrick,99,3,62,34,0
Kleberg,0002 Pct 13,Lieutenant Governor,,DEM,Mike Collier,142,27,66,49,0
Kleberg,0002 Pct 13,Lieutenant Governor,,LIB,Shanna Steele,5,0,3,2,0
Kleberg,0002 Pct 13,Attorney General,,REP,Ken Paxton,98,3,58,37,0
Kleberg,0002 Pct 13,Attorney General,,DEM,Rochelle Mercedes Garza,144,26,70,48,0
Kleberg,0002 Pct 13,Attorney General,,LIB,Mark Ash,5,1,4,0,0
Kleberg,0002 Pct 13,Comptroller of Public Accounts,,REP,Glenn Hegar,91,3,54,34,0
