county,precinct,office,district,candidate,early_voting,election_day,votes
Hockley,Prec 11,PRESIDENT,,MITT ROMNEY,325,72,397
Hockley,Prec 11,PRESIDENT,,BARACK OBAMA,33,28,61
Hockley,Prec 11,PRESIDENT,,GARY JOHNSON,2,2,4
Hockley,Prec 11,PRESIDENT,,JILL STEIN,0,0,0
Hockley,Prec 11,PRESIDENT,,WRITE IN:,0,1,1
Hockley,Prec 11,U.S. Senate,,TED CRUZ,308,72,380
Hockley,Prec 11,U.S. Senate,,PAUL SADLER,35,23,58
Hockley,Prec 11,U.S. Senate,,JOHN JAY MYERS,4,6,10
Hockley,Prec 11,U.S. Senate,,DAVID B. COLLINS,2,1,3
Hockley,Prec 11,U.S. House,19,RANDY NEUGEBAUER,312,80,392
Hockley,Prec 11,U.S. House,19,RICHARD (CHIP) PETERSON,32,17,49
Hockley,Prec 11,RAILROAD COMMISSIONER,,CHRISTI CRADDICK,301,68,369
Hockley,Prec 11,RAILROAD COMMISSIONER,,DALE HENRY,37,24,61
Hockley,Prec 11,RAILROAD COMMISSIONER,,VIVEKANANDA (VIK) WALL,2,4,6
Hockley,Prec 11,RAILROAD COMMISSIONER,,CHRIS KENNEDY,10,4,14
Hockley,Prec 11,RAILROAD COMMISSIONER,UNEXPIRED,BARRY SMITHERMAN,311,65,376
Hockley,Prec 11,RAILROAD COMMISSIONER,UNEXPIRED,JAIME O PEREZ,19,21,40
Hockley,Prec 11,RAILROAD COMMISSIONER,UNEXPIRED,JOSH WENDEL,7,4,11
Hockley,Prec 11,STATE SENATE,28,ROBERT DUNCAN,315,76,391
Hockley,Prec 11,STATE SENATE,28,M J  (SMITTY) SMITH,24,23,47
Hockley,Prec 11,STATE HOUSE,88,KEN KING,315,89,404
Hockley,Prec 14,PRESIDENT,,MITT ROMNEY,225,153,378
Hockley,Prec 14,PRESIDENT,,BARACK OBAMA,33,37,70
Hockley,Prec 14,PRESIDENT,,GARY JOHNSON,1,3,4
Hockley,Prec 14,PRESIDENT,,JILL STEIN,0,1,1
Hockley,Prec 14,PRESIDENT,,WRITE IN:,0,2,2
Hockley,Prec 14,U.S. Senate,,TED CRUZ,213,151,364
Hockley,Prec 14,U.S. Senate,,PAUL SADLER,38,30,68
Hockley,Prec 14,U.S. Senate,,JOHN JAY MYERS,1,8,9
Hockley,Prec 14,U.S. Senate,,DAVID B. COLLINS,2,1,3
Hockley,Prec 14,U.S. House,19,RANDY NEUGEBAUER,211,160,371
Hockley,Prec 14,U.S. House,19,RICHARD (CHIP) PETERSON,34,25,59
Hockley,Prec 14,RAILROAD COMMISSIONER,,CHRISTI CRADDICK,201,141,342
Hockley,Prec 14,RAILROAD COMMISSIONER,,DALE HENRY,35,34,69
Hockley,Prec 14,RAILROAD COMMISSIONER,,VIVEKANANDA (VIK) WALL,2,6,8
Hockley,Prec 14,RAILROAD COMMISSIONER,,CHRIS KENNEDY,3,4,7
Hockley,Prec 14,RAILROAD COMMISSIONER,UNEXPIRED,BARRY SMITHERMAN,203,141,344
Hockley,Prec 14,RAILROAD COMMISSIONER,UNEXPIRED,JAIME O PEREZ,24,27,51
Hockley,Prec 14,RAILROAD COMMISSIONER,UNEXPIRED,JOSH WENDEL,6,8,14
Hockley,Prec 14,STATE SENATE,28,ROBERT DUNCAN,207,155,362
Hockley,Prec 14,STATE SENATE,28,M J  (SMITTY) SMITH,30,28,58
Hockley,Prec 14,STATE HOUSE,88,KEN KING,211,162,373
Hockley,Prec 15,PRESIDENT,,MITT ROMNEY,93,121,214
Hockley,Prec 15,PRESIDENT,,BARACK OBAMA,16,26,42
Hockley,Prec 15,PRESIDENT,,GARY JOHNSON,1,4,5
Hockley,Prec 15,PRESIDENT,,JILL STEIN,0,2,2
Hockley,Prec 15,PRESIDENT,,WRITE IN:,0,1,3
Hockley,Prec 15,U.S. Senate,,TED CRUZ,96,111,207
Hockley,Prec 15,U.S. Senate,,PAUL SADLER,18,30,48
Hockley,Prec 15,U.S. Senate,,JOHN JAY MYERS,0,7,7
Hockley,Prec 15,U.S. Senate,,DAVID B. COLLINS,1,4,5
Hockley,Prec 15,U.S. House,19,RANDY NEUGEBAUER,103,126,229
Hockley,Prec 15,U.S. House,19,RICHARD (CHIP) PETERSON,10,23,33
Hockley,Prec 15,RAILROAD COMMISSIONER,,CHRISTI CRADDICK,92,120,212
Hockley,Prec 15,RAILROAD COMMISSIONER,,DALE HENRY,16,26,42
Hockley,Prec 15,RAILROAD COMMISSIONER,,VIVEKANANDA (VIK) WALL,2,2,4
Hockley,Prec 15,RAILROAD COMMISSIONER,,CHRIS KENNEDY,1,5,6
Hockley,Prec 15,RAILROAD COMMISSIONER,UNEXPIRED,BARRY SMITHERMAN,94,118,212
Hockley,Prec 15,RAILROAD COMMISSIONER,UNEXPIRED,JAIME O PEREZ,7,19,26
Hockley,Prec 15,RAILROAD COMMISSIONER,UNEXPIRED,JOSH WENDEL,7,7,14
Hockley,Prec 15,STATE SENATE,28,ROBERT DUNCAN,96,121,217
Hockley,Prec 15,STATE SENATE,28,M J  (SMITTY) SMITH,15,26,41
Hockley,Prec 15,STATE HOUSE,88,KEN KING,97,137,234
Hockley,Prec 16,PRESIDENT,,MITT ROMNEY,735,291,   *1026
Hockley,Prec 16,PRESIDENT,,BARACK OBAMA,94,58,     *153
Hockley,Prec 16,PRESIDENT,,GARY JOHNSON,11,3,14
Hockley,Prec 16,PRESIDENT,,JILL STEIN,0,1,1
Hockley,Prec 16,PRESIDENT,,WRITE IN:,2,4,6
Hockley,Prec 16,U.S. Senate,,TED CRUZ,717,274,      *991
Hockley,Prec 16,U.S. Senate,,PAUL SADLER,92,67,     *160
Hockley,Prec 16,U.S. Senate,,JOHN JAY MYERS,18,8,26
Hockley,Prec 16,U.S. Senate,,DAVID B. COLLINS,7,3,10
Hockley,Prec 16,U.S. House,19,RANDY NEUGEBAUER,719,287,   *1006
Hockley,Prec 16,U.S. House,19,RICHARD (CHIP) PETERSON,89,50,140
Hockley,Prec 16,RAILROAD COMMISSIONER,,CHRISTI CRADDICK,693,262,    *955
Hockley,Prec 16,RAILROAD COMMISSIONER,,DALE HENRY,94,60,154
Hockley,Prec 16,RAILROAD COMMISSIONER,,VIVEKANANDA (VIK) WALL,13,10,23
