county,precint,office,district,candidate,party,votes
Crane,Precinct 1,President,,Mitt Romney / Paul Ryan,REP,384
Crane,Precinct 2,President,,Mitt Romney / Paul Ryan,REP,285
Crane,Precinct 3,President,,Mitt Romney / Paul Ryan,REP,144
Crane,Precinct 4,President,,Mitt Romney / Paul Ryan,REP,172
Crane,Precinct 1,President,,Barack Obama / Joe Biden,DEM,51
Crane,Precinct 2,President,,Barack Obama / Joe Biden,DEM,75
Crane,Precinct 3,President,,Barack Obama / Joe Biden,DEM,103
Crane,Precinct 4,President,,Barack Obama / Joe Biden,DEM,46
Crane,Precinct 1,President,,Gary Johnson / Jim Gray,LIB,5
Crane,Precinct 2,President,,Gary Johnson / Jim Gray,LIB,3
Crane,Precinct 3,President,,Gary Johnson / Jim Gray,LIB,4
Crane,Precinct 4,President,,Gary Johnson / Jim Gray,LIB,6
Crane,Precinct 1,President,,Jill Stein / Cheri Honkala,GRN,0
Crane,Precinct 2,President,,Jill Stein / Cheri Honkala,GRN,1
Crane,Precinct 3,President,,Jill Stein / Cheri Honkala,GRN,2
Crane,Precinct 4,President,,Jill Stein / Cheri Honkala,GRN,2
Crane,Precinct 1,President,,WRITE-IN,NON,0
Crane,Precinct 2,President,,WRITE-IN,NON,0
Crane,Precinct 3,President,,WRITE-IN,NON,0
Crane,Precinct 4,President,,WRITE-IN,NON,1
Crane,Precinct 1,President,,OVER VOTES,,0
Crane,Precinct 2,President,,OVER VOTES,,0
Crane,Precinct 3,President,,OVER VOTES,,0
Crane,Precinct 4,President,,OVER VOTES,,0
Crane,Precinct 1,President,,UNDER VOTES,,3
Crane,Precinct 2,President,,UNDER VOTES,,3
Crane,Precinct 3,President,,UNDER VOTES,,4
Crane,Precinct 4,President,,UNDER VOTES,,6
Crane,Precinct 1,United States Senator,,Ted Cruz,REP,350
Crane,Precinct 2,United States Senator,,Ted Cruz,REP,278
Crane,Precinct 3,United States Senator,,Ted Cruz,REP,144
Crane,Precinct 4,United States Senator,,Ted Cruz,REP,168
Crane,Precinct 1,United States Senator,,Paul Sadler,DEM,55
Crane,Precinct 2,United States Senator,,Paul Sadler,DEM,61
Crane,Precinct 3,United States Senator,,Paul Sadler,DEM,94
Crane,Precinct 4,United States Senator,,Paul Sadler,DEM,43
Crane,Precinct 1,United States Senator,,John Jay Myers,LIB,7
Crane,Precinct 2,United States Senator,,John Jay Myers,LIB,4
Crane,Precinct 3,United States Senator,,John Jay Myers,LIB,5
Crane,Precinct 4,United States Senator,,John Jay Myers,LIB,10
Crane,Precinct 1,United States Senator,,David B. Collins,GRN,3
Crane,Precinct 2,United States Senator,,David B. Collins,GRN,3
Crane,Precinct 3,United States Senator,,David B. Collins,GRN,1
Crane,Precinct 4,United States Senator,,David B. Collins,GRN,1
Crane,Precinct 1,United States Senator,,OVER VOTES,,0
Crane,Precinct 2,United States Senator,,OVER VOTES,,0
Crane,Precinct 3,United States Senator,,OVER VOTES,,0
Crane,Precinct 4,United States Senator,,OVER VOTES,,0
Crane,Precinct 1,United States Senator,,UNDER VOTES,,28
Crane,Precinct 2,United States Senator,,UNDER VOTES,,21
Crane,Precinct 3,United States Senator,,UNDER VOTES,,13
Crane,Precinct 4,United States Senator,,UNDER VOTES,,11
Crane,Precinct 1,United States House,23,"Francisco ""Quico"" Canseco",REP,343
Crane,Precinct 2,United States House,23,"Francisco ""Quico"" Canseco",REP,264
Crane,Precinct 3,United States House,23,"Francisco ""Quico"" Canseco",REP,141
Crane,Precinct 4,United States House,23,"Francisco ""Quico"" Canseco",REP,159
Crane,Precinct 1,United States House,23,Pete P. Gallego,DEM,64
Crane,Precinct 2,United States House,23,Pete P. Gallego,DEM,75
Crane,Precinct 3,United States House,23,Pete P. Gallego,DEM,93
Crane,Precinct 4,United States House,23,Pete P. Gallego,DEM,54
Crane,Precinct 1,United States House,23,Jeffrey C. Blunt,LIB,6
Crane,Precinct 2,United States House,23,Jeffrey C. Blunt,LIB,8
Crane,Precinct 3,United States House,23,Jeffrey C. Blunt,LIB,7
Crane,Precinct 4,United States House,23,Jeffrey C. Blunt,LIB,8
Crane,Precinct 1,United States House,23,Ed Scharf,GRN,3
Crane,Precinct 2,United States House,23,Ed Scharf,GRN,1
Crane,Precinct 3,United States House,23,Ed Scharf,GRN,2
Crane,Precinct 4,United States House,23,Ed Scharf,GRN,2
Crane,Precinct 1,United States House,23,OVER VOTES,,2
Crane,Precinct 2,United States House,23,OVER VOTES,,2
Crane,Precinct 3,United States House,23,OVER VOTES,,2
Crane,Precinct 4,United States House,23,OVER VOTES,,0
Crane,Precinct 1,United States House,23,UNDER VOTES,,26
Crane,Precinct 2,United States House,23,UNDER VOTES,,18
Crane,Precinct 3,United States House,23,UNDER VOTES,,13
Crane,Precinct 4,United States House,23,UNDER VOTES,,10
Crane,Precinct 1,Railroad Commissioner,,Christi Craddick,REP,346
Crane,Precinct 2,Railroad Commissioner,,Christi Craddick,REP,280
Crane,Precinct 3,Railroad Commissioner,,Christi Craddick,REP,132
Crane,Precinct 4,Railroad Commissioner,,Christi Craddick,REP,167
Crane,Precinct 1,Railroad Commissioner,,Dale Henry,DEM,53
Crane,Precinct 2,Railroad Commissioner,,Dale Henry,DEM,58
Crane,Precinct 3,Railroad Commissioner,,Dale Henry,DEM,100
Crane,Precinct 4,Railroad Commissioner,,Dale Henry,DEM,42
Crane,Precinct 1,Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,6
Crane,Precinct 2,Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,5
Crane,Precinct 3,Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,3
Crane,Precinct 4,Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,6
Crane,Precinct 1,Railroad Commissioner,,Chris Kennedy,GRN,5
Crane,Precinct 2,Railroad Commissioner,,Chris Kennedy,GRN,6
Crane,Precinct 3,Railroad Commissioner,,Chris Kennedy,GRN,5
Crane,Precinct 4,Railroad Commissioner,,Chris Kennedy,GRN,3
Crane,Precinct 1,Railroad Commissioner,,OVER VOTES,,0
Crane,Precinct 2,Railroad Commissioner,,OVER VOTES,,2
Crane,Precinct 3,Railroad Commissioner,,OVER VOTES,,2
Crane,Precinct 4,Railroad Commissioner,,OVER VOTES,,0
Crane,Precinct 1,Railroad Commissioner,,UNDER VOTES,,33
Crane,Precinct 2,Railroad Commissioner,,UNDER VOTES,,17
Crane,Precinct 3,Railroad Commissioner,,UNDER VOTES,,16
Crane,Precinct 4,Railroad Commissioner,,UNDER VOTES,,15
Crane,Precinct 1,Railroad Commissioner,unexpired,Barry Smitherman,REP,349
Crane,Precinct 2,Railroad Commissioner,unexpired,Barry Smitherman,REP,275
Crane,Precinct 3,Railroad Commissioner,unexpired,Barry Smitherman,REP,136
Crane,Precinct 4,Railroad Commissioner,unexpired,Barry Smitherman,REP,169
Crane,Precinct 1,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,29
Crane,Precinct 2,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,32
Crane,Precinct 3,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,44
Crane,Precinct 4,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,20
Crane,Precinct 1,Railroad Commissioner,unexpired,Josh Wendel,GRN,8
Crane,Precinct 2,Railroad Commissioner,unexpired,Josh Wendel,GRN,7
Crane,Precinct 3,Railroad Commissioner,unexpired,Josh Wendel,GRN,11
Crane,Precinct 4,Railroad Commissioner,unexpired,Josh Wendel,GRN,4
Crane,Precinct 1,Railroad Commissioner,unexpired,OVER VOTES,,0
Crane,Precinct 2,Railroad Commissioner,unexpired,OVER VOTES,,2
Crane,Precinct 3,Railroad Commissioner,unexpired,OVER VOTES,,2
Crane,Precinct 4,Railroad Commissioner,unexpired,OVER VOTES,,0
Crane,Precinct 1,Railroad Commissioner,unexpired,UNDER VOTES,,57
Crane,Precinct 2,Railroad Commissioner,unexpired,UNDER VOTES,,52
Crane,Precinct 3,Railroad Commissioner,unexpired,UNDER VOTES,,65
Crane,Precinct 4,Railroad Commissioner,unexpired,UNDER VOTES,,40
Crane,Precinct 1,State Senator,28,Robert Duncan,REP,351
Crane,Precinct 2,State Senator,28,Robert Duncan,REP,276
Crane,Precinct 3,State Senator,28,Robert Duncan,REP,147
Crane,Precinct 4,State Senator,28,Robert Duncan,REP,166
Crane,Precinct 1,State Senator,28,"M.J. ""Smitty"" Smith",LIB,32
Crane,Precinct 2,State Senator,28,"M.J. ""Smitty"" Smith",LIB,30
Crane,Precinct 3,State Senator,28,"M.J. ""Smitty"" Smith",LIB,32
Crane,Precinct 4,State Senator,28,"M.J. ""Smitty"" Smith",LIB,18
Crane,Precinct 1,State Senator,28,OVER VOTES,,2
Crane,Precinct 2,State Senator,28,OVER VOTES,,4
