county,precinct,office,district,candidate,party,election_day,early_voting,votes
McMullen,Pct 1,Registered Voters,,,,153,153,306
McMullen,Pct 1,Ballots Cast,,,,70,35,105
McMullen,Pct 1,President,,Mitt Romney/Paul Ryan,Rep,43,31,74
McMullen,Pct 1,President,,Barack Obama/Joe Biden,Dem,17,2,19
McMullen,Pct 1,President,,Gary Johnson/Jim Gray ,Lib,3,1,4
McMullen,Pct 1,President,,Jill Stein/Cheri Honkala,Grn,,,0
McMullen,Pct 1,U.S. Senate,,Ted Cruz,Rep,35,24,59
McMullen,Pct 1,U.S. Senate,,Paul Sadler ,Dem,13,3,16
McMullen,Pct 1,U.S. Senate,,John Jay Myers ,Lib,3,1,4
McMullen,Pct 1,U.S. Senate,,David B. Collins ,Grn,0,2,2
McMullen,Pct 1,U.S. House,28,William R. Hayward ,Rep,16,18,34
McMullen,Pct 1,U.S. House,28,Henry Cuellar ,Dem,35,12,47
McMullen,Pct 1,U.S. House,28,Patrick Hisel ,Lib,3,0,3
McMullen,Pct 1,U.S. House,28,Michael D. Cary,Grn,,,0
McMullen,Pct 1,Railroad Commissioner,,Christi Craddick ,Rep,23,23,46
McMullen,Pct 1,Railroad Commissioner,,Dale Henry ,Dem,16,3,19
McMullen,Pct 1,Railroad Commissioner,,Vivekananda (Vik) Wall ,Lib,3,,3
McMullen,Pct 1,Railroad Commissioner,,Chris Kennedy,Grn,1,1,2
McMullen,Pct 1,Railroad Commissioner,unexpired,Barry Smitherman ,Rep,23,23,46
McMullen,Pct 1,Railroad Commissioner,unexpired,Jaime O. Perez,Lib,19,1,20
McMullen,Pct 1,Railroad Commissioner,unexpired,Josh Wendel,Grn,1,0,1
McMullen,Pct 1,State Senate,21,Grant Rosig ,Rep ,11,12,23
McMullen,Pct 1,State Senate,21,Judith Zaffirini ,Dem ,34,16,50
McMullen,Pct 1,State Senate,21,Joseph Morse ,Lib ,3,0,3
McMullen,Pct 1,State House,31,Ann Matthews ,Rep,29,26,55
McMullen,Pct 1,State House,31,Ryan Guillen ,Dem ,14,5,19
McMullen,Pct 2,Registered Voters,,,,177,177,354
McMullen,Pct 2,Ballots Cast,,,,64,72,136
McMullen,Pct 2,President,,Mitt Romney/Paul Ryan,Rep,49,66,115
McMullen,Pct 2,President,,Barack Obama/Joe Biden,Dem,11,5,16
McMullen,Pct 2,President,,Gary Johnson/Jim Gray ,Lib,0,0,0
McMullen,Pct 2,President,,Jill Stein/Cheri Honkala,Grn,,,0
McMullen,Pct 2,U.S. Senate,,Ted Cruz,Rep,38,62,100
McMullen,Pct 2,U.S. Senate,,Paul Sadler ,Dem,7,5,12
McMullen,Pct 2,U.S. Senate,,John Jay Myers ,Lib,1,2,3
McMullen,Pct 2,U.S. Senate,,David B. Collins ,Grn,0,0,0
McMullen,Pct 2,U.S. House,28,William R. Hayward ,Rep,22,36,58
McMullen,Pct 2,U.S. House,28,Henry Cuellar ,Dem,30,27,57
McMullen,Pct 2,U.S. House,28,Patrick Hisel ,Lib,0,1,1
McMullen,Pct 2,U.S. House,28,Michael D. Cary,Grn,,,0
McMullen,Pct 2,Railroad Commissioner,,Christi Craddick ,Rep,33,55,88
McMullen,Pct 2,Railroad Commissioner,,Dale Henry ,Dem,7,8,15
McMullen,Pct 2,Railroad Commissioner,,Vivekananda (Vik) Wall ,Lib,1,,1
McMullen,Pct 2,Railroad Commissioner,,Chris Kennedy,Grn,2,1,3
McMullen,Pct 2,Railroad Commissioner,unexpired,Barry Smitherman ,Rep,31,56,87
McMullen,Pct 2,Railroad Commissioner,unexpired,Jaime O. Perez,Lib,6,3,9
McMullen,Pct 2,Railroad Commissioner,unexpired,Josh Wendel,Grn,3,2,5
McMullen,Pct 2,State Senate,21,Grant Rosig ,Rep ,19,27,46
McMullen,Pct 2,State Senate,21,Judith Zaffirini ,Dem ,35,37,72
McMullen,Pct 2,State Senate,21,Joseph Morse ,Lib ,0,1,1
McMullen,Pct 2,State House,31,Ann Matthews ,Rep,30,51,81
McMullen,Pct 2,State House,31,Ryan Guillen ,Dem ,14,12,26
McMullen,Pct 3,Registered Voters,,,,206,206,412
McMullen,Pct 3,Ballots Cast,,,,90,57,147
McMullen,Pct 3,President,,Mitt Romney/Paul Ryan,Rep,67,53,120
McMullen,Pct 3,President,,Barack Obama/Joe Biden,Dem,17,2,19
McMullen,Pct 3,President,,Gary Johnson/Jim Gray ,Lib,0,1,1
McMullen,Pct 3,President,,Jill Stein/Cheri Honkala,Grn,,,0
McMullen,Pct 3,U.S. Senate,,Ted Cruz,Rep,60,42,102
McMullen,Pct 3,U.S. Senate,,Paul Sadler ,Dem,15,6,21
McMullen,Pct 3,U.S. Senate,,John Jay Myers ,Lib,1,0,1
McMullen,Pct 3,U.S. Senate,,David B. Collins ,Grn,0,0,0
McMullen,Pct 3,U.S. House,28,William R. Hayward ,Rep,49,31,80
