office,district,candidate,incumbent,party,votes,pct
President/VicePresident,,Bob Ely,FALSE,DEM,14445,2.45
President/VicePresident,,Barack Obama,TRUE,DEM,520410,88.18
President/VicePresident,,Darcy G. Richardson,FALSE,DEM,25430,4.31
President/VicePresident,,John Wolfe,FALSE,DEM,29879,5.06
President/VicePresident,,Total,,,590164,
U. S. Senator,,Addie Dainell Allen,FALSE,DEM,113935,22.9
U. S. Senator,,Sean Hubbard,FALSE,DEM,80034,16.09
U. S. Senator,,Paul Sadler,FALSE,DEM,174772,35.13
U. S. Senator,,Grady Yarbrough,FALSE,DEM,128746,25.88
U. S. Senator,,Total,,,497487,
U. S. Representative,1,Shirley J. McKellar,FALSE,DEM,8207,100
U. S. Representative,1,Total,,,8207,
U. S. Representative,2,Jim Dougherty,FALSE,DEM,6676,100
U. S. Representative,2,Total,,,6676,
U. S. Representative,4,VaLinda Hathcox,FALSE,DEM,7389,100
U. S. Representative,4,Total,,,7389,
U. S. Representative,5,Tom Berry,FALSE,DEM,2219,31.28
U. S. Representative,5,Linda S. Mrosko,FALSE,DEM,2778,39.16
U. S. Representative,5,Pat Wallace,FALSE,DEM,2097,29.56
U. S. Representative,5,Total,,,7094,
U. S. Representative,6,Brianna HinojosaFlores,FALSE,DEM,3483,32.28
U. S. Representative,6,Don Jaquess,FALSE,DEM,698,6.47
U. S. Representative,6,Kenneth Sanders,FALSE,DEM,6609,61.25
U. S. Representative,6,Total,,,10790,
U. S. Representative,7,Phillip Andrews,FALSE,DEM,1876,26.3
U. S. Representative,7,James Cargas,FALSE,DEM,2410,33.78
U. S. Representative,7,Lissa Squiers,FALSE,DEM,2848,39.92
U. S. Representative,7,Total,,,7134,
U. S. Representative,8,Neil Burns,FALSE,DEM,5789,100
U. S. Representative,8,Total,,,5789,
U. S. Representative,9,Al Green,TRUE,DEM,20917,100
U. S. Representative,9,Total,,,20917,
U. S. Representative,10,Tawana W. Cadien,FALSE,DEM,8061,56.65
U. S. Representative,10,"William E. Miller, Jr.",FALSE,DEM,6169,43.35
U. S. Representative,10,Total,,,14230,
U. S. Representative,11,Jim Riley,FALSE,DEM,4322,100
U. S. Representative,11,Total,,,4322,
U. S. Representative,12,Dave Robinson,FALSE,DEM,6530,100
U. S. Representative,12,Total,,,6530,
U. S. Representative,14,Linda Dailey,FALSE,DEM,3724,16.76
U. S. Representative,14,Nick Lampson,FALSE,DEM,18500,83.24
U. S. Representative,14,Total,,,22224,
U. S. Representative,15,David Cantu,FALSE,DEM,5008,12.12
U. S. Representative,15,Jane Cross,FALSE,DEM,4208,10.19
U. S. Representative,15,Rub̩n Hinojosa,TRUE,DEM,29397,71.16
U. S. Representative,15,"Johnny ""JP"" Partain",FALSE,DEM,687,1.66
U. S. Representative,15,Ruben Ramon Ramirez,FALSE,DEM,2012,4.87
U. S. Representative,15,Total,,,41312,
U. S. Representative,16,"Paul Johnson, Jr",FALSE,DEM,419,0.91
U. S. Representative,16,Ben E. (Buddy) Mendoza,FALSE,DEM,701,1.52
U. S. Representative,16,Beto O'Rourke,FALSE,DEM,23261,50.47
U. S. Representative,16,Silvestre Reyes,TRUE,DEM,20440,44.35
U. S. Representative,16,Jerome Tilghman,FALSE,DEM,1270,2.76
U. S. Representative,16,Total,,,46091,
U. S. Representative,18,Sheila Jackson Lee,TRUE,DEM,21171,100
U. S. Representative,18,Total,,,21171,
U. S. Representative,20,Joaquin Castro,FALSE,DEM,16562,100
U. S. Representative,20,Total,,,16562,
U. S. Representative,21,Daniel Boone,FALSE,DEM,6070,38.93
U. S. Representative,21,Candace E. Duval,FALSE,DEM,9522,61.07
U. S. Representative,21,Total,,,15592,
U. S. Representative,22,KP George,FALSE,DEM,3563,49.29
U. S. Representative,22,Kesha Rogers,FALSE,DEM,3666,50.71
U. S. Representative,22,Total,,,7229,
U. S. Representative,23,John M. Bustamante,FALSE,DEM,5240,13.21
U. S. Representative,23,Pete P. Gallego,FALSE,DEM,16202,40.83
U. S. Representative,23,Ciro D. Rodriguez,FALSE,DEM,18237,45.96
U. S. Representative,23,Total,,,39679,
U. S. Representative,24,Tim Rusk,FALSE,DEM,5267,100
U. S. Representative,24,Total,,,5267,
U. S. Representative,25,Elaine M. Henderson,FALSE,DEM,13465,100
U. S. Representative,25,Total,,,13465,
U. S. Representative,26,David Sanchez,FALSE,DEM,3682,100
U. S. Representative,26,Total,,,3682,
U. S. Representative,27,Rose Meza Harrison,FALSE,DEM,6354,30.7
U. S. Representative,27,Murphy Alade Junaid,FALSE,DEM,432,2.09
U. S. Representative,27,Ronnie C. McDonald,FALSE,DEM,5682,27.45
U. S. Representative,27,Jerry J. Trevino,FALSE,DEM,8231,39.77
U. S. Representative,27,Total,,,20699,
U. S. Representative,28,Henry Cuellar,TRUE,DEM,35350,100
U. S. Representative,28,Total,,,35350,
U. S. Representative,29,Gene Green,TRUE,DEM,10667,100
U. S. Representative,29,Total,,,10667,
U. S. Representative,30,Barbara Mallory Caraway,FALSE,DEM,5996,17.99
U. S. Representative,30,Taj Clayton,FALSE,DEM,3981,11.95
U. S. Representative,30,Eddie Bernice Johnson,TRUE,DEM,23346,70.06
U. S. Representative,30,Total,,,33323,
U. S. Representative,31,Stephen M. Wyman,FALSE,DEM,5864,100
U. S. Representative,31,Total,,,5864,
U. S. Representative,32,Walter Hofheinz,FALSE,DEM,1370,15.8
U. S. Representative,32,Katherine Savers McGovern,FALSE,DEM,7301,84.2
U. S. Representative,32,Total,,,8671,
U. S. Representative,33,David Alameel,FALSE,DEM,2064,10.94
U. S. Representative,33,Chrysta  Castaneda,FALSE,DEM,395,2.09
U. S. Representative,33,Domingo Garcia,FALSE,DEM,4715,24.99
U. S. Representative,33,Kathleen Hicks,FALSE,DEM,2372,12.57
U. S. Representative,33,J. R. Molina,FALSE,DEM,189,1
U. S. Representative,33,Carlos Quintanilla,FALSE,DEM,286,1.52
U. S. Representative,33,Jason E. Roberts,FALSE,DEM,342,1.81
U. S. Representative,33,Steve Salazar,FALSE,DEM,482,2.55
U. S. Representative,33,"Kyev P. Tatum, Sr.",FALSE,DEM,201,1.07
U. S. Representative,33,Manuel Valdez,FALSE,DEM,884,4.69
U. S. Representative,33,Marc Veasey,FALSE,DEM,6938,36.77
U. S. Representative,33,Total,,,18868,
U. S. Representative,34,Elmo M. Aycock,FALSE,DEM,935,2.07
U. S. Representative,34,Denise Saenz Blanchard,FALSE,DEM,5810,12.89
U. S. Representative,34,Ramiro Garza Jr.,FALSE,DEM,5575,12.37
U. S. Representative,34,Juan Angel Guerra,FALSE,DEM,2200,4.88
U. S. Representative,34,Salomon Torres,FALSE,DEM,4745,10.53
U. S. Representative,34,Anthony P. Troiani,FALSE,DEM,3638,8.07
U. S. Representative,34,Filemon Vela,FALSE,DEM,18233,40.46
U. S. Representative,34,Armando Villalobos,FALSE,DEM,3926,8.71
U. S. Representative,34,Total,,,45062,
U. S. Representative,35,Maria Luisa Alvarado,FALSE,DEM,1105,5.56
U. S. Representative,35,Lloyd Doggett,TRUE,DEM,14559,73.25
U. S. Representative,35,Sylvia Romo,FALSE,DEM,4212,21.19
U. S. Representative,35,Total,,,19876,
U. S. Representative,36,Max Martin,FALSE,DEM,9869,100
U. S. Representative,36,Total,,,9869,
Railroad Commissioner,,Dale Henry,FALSE,DEM,446160,100
Railroad Commissioner,,Total,,,446160,
Justice Supreme Court,6,Michele Petty,FALSE,DEM,439302,100
Justice Supreme Court,6,Total,,,439302,
"Presiding Judge, Court of Criminal Appeals",,Keith Hampton,FALSE,DEM,432111,100
"Presiding Judge, Court of Criminal Appeals",,Total,,,432111,
Member State Board of Education,1,Martha M. Domingu̩z,FALSE,DEM,49386,56.11
Member State Board of Education,1,Sergio Mora,FALSE,DEM,26434,30.03
Member State Board of Education,1,Andres Muro,FALSE,DEM,12201,13.86
Member State Board of Education,1,Total,,,88021,
Member State Board of Education,2,"Ruben Cortez, Jr.",FALSE,DEM,24420,35.15
Member State Board of Education,2,Larry E. Garza,FALSE,DEM,14099,20.29
Member State Board of Education,2,Celeste Zepeda Sanchez,FALSE,DEM,30955,44.56
Member State Board of Education,2,Total,,,69474,
Member State Board of Education,3,Marisa B. Perez,FALSE,DEM,36728,65.95
