office,district,candidate,incumbent,party,votes,pct
President/VicePresident,,Mitt Romney/ Paul Ryan,False,REP,4569843,57.17
President/VicePresident,,Barack Obama/ Joe Biden,True,DEM,3308124,41.38
President/VicePresident,,Gary Johnson/ Jim Gray,False,LIB,88580,1.11
President/VicePresident,,Jill Stein/ Cheri Honkala,False,GRN,24657,0.31
President/VicePresident,,Avery Ayers/ Alejandrina Cabrera,False,WI,209,0.00
President/VicePresident,,Stewart Alexander/ Alex Mendoza,False,WI,162,0.00
President/VicePresident,,Thaddaus Hill/ Gordon F. Bailey,False,WI,102,0.00
President/VicePresident,,Virgil Goode/ Jim Clymer,False,WI,1287,0.02
President/VicePresident,,Tom Hoefling/ Jonathan D. Ellis,False,WI,374,0.00
President/VicePresident,,Andre N. Barnett/ Kenneth R. Cross,False,WI,87,0.00
President/VicePresident,,Rocky Anderson/ Luis J. Rodriguez,False,WI,426,0.01
President/VicePresident,,Total,,,7993851,
U. S. Senator,,Ted Cruz,False,REP,4440137,56.46
U. S. Senator,,Paul Sadler,False,DEM,3194927,40.62
U. S. Senator,,John Jay  Myers,False,LIB,162354,2.06
U. S. Senator,,David B.  Collins,False,GRN,67404,0.86
U. S. Senator,,Total,,,7864822,
U. S. Representative,1,Louie  Gohmert,True,REP,178322,71.43
U. S. Representative,1,Shirley J. McKellar,False,DEM,67222,26.93
U. S. Representative,1,Clark  Patterson,False,LIB,4114,1.65
U. S. Representative,1,Total,,,249658,
U. S. Representative,2,Ted Poe,True,REP,159664,64.82
U. S. Representative,2,Jim Dougherty,False,DEM,80512,32.68
U. S. Representative,2,Kenneth  Duncan,False,LIB,4140,1.68
U. S. Representative,2,Mark A.  Roberts,False,GRN,2012,0.82
U. S. Representative,2,Total,,,246328,
U. S. Representative,3,Sam Johnson,True,REP,187180,100.00
U. S. Representative,3,Total,,,187180,
U. S. Representative,4,Ralph M.  Hall,True,REP,182679,72.97
U. S. Representative,4,VaLinda Hathcox,False,DEM,60214,24.05
U. S. Representative,4,Thomas  Griffing,False,LIB,7262,2.90
U. S. Representative,4,Fred Rostek,False,WI,188,0.08
U. S. Representative,4,Total,,,250343,
U. S. Representative,5,Jeb Hensarling,True,REP,134091,64.40
U. S. Representative,5,Linda S. Mrosko,False,DEM,69178,33.22
U. S. Representative,5,Ken  Ashby,False,LIB,4961,2.38
U. S. Representative,5,Total,,,208230,
U. S. Representative,6,Joe L.  Barton,True,REP,145019,58.02
U. S. Representative,6,Kenneth Sanders,False,DEM,98053,39.23
U. S. Representative,6,Hugh  Chauvin,False,LIB,4847,1.94
U. S. Representative,6,Brandon  Parmer,False,GRN,2017,0.81
U. S. Representative,6,Total,,,249936,
U. S. Representative,7,John Culberson,True,REP,142793,60.81
U. S. Representative,7,James Cargas,False,DEM,85553,36.43
U. S. Representative,7,Drew  Parks,False,LIB,4669,1.99
U. S. Representative,7,Lance  Findley,False,GRN,1822,0.78
U. S. Representative,7,Total,,,234837,
U. S. Representative,8,Kevin Brady,True,REP,194043,77.29
U. S. Representative,8,Neil Burns,False,DEM,51051,20.33
U. S. Representative,8,Roy  Hall,False,LIB,5958,2.37
U. S. Representative,8,Total,,,251052,
U. S. Representative,9,Steve  Mueller,False,REP,36139,19.69
U. S. Representative,9,Al Green,True,DEM,144075,78.49
U. S. Representative,9,John  Wieder,False,LIB,1609,0.88
U. S. Representative,9,Vanessa  Foster,False,GRN,1743,0.95
U. S. Representative,9,Total,,,183566,
U. S. Representative,10,Michael  McCaul,True,REP,159783,60.52
U. S. Representative,10,Tawana W. Cadien,False,DEM,95710,36.25
U. S. Representative,10,Richard  Priest,False,LIB,8526,3.23
U. S. Representative,10,Total,,,264019,
U. S. Representative,11,Mike  Conaway,True,REP,177742,78.64
U. S. Representative,11,Jim Riley,False,DEM,41970,18.57
U. S. Representative,11,Scott J.  Ballard,False,LIB,6311,2.79
U. S. Representative,11,Total,,,226023,
U. S. Representative,12,Kay  Granger,True,REP,175649,70.91
U. S. Representative,12,Dave Robinson,False,DEM,66080,26.68
U. S. Representative,12,Matthew  Solodow,False,LIB,5983,2.42
U. S. Representative,12,Total,,,247712,
U. S. Representative,13,Mac Thornberry,True,REP,187775,90.98
U. S. Representative,13,John Robert  Deek,False,LIB,12701,6.15
U. S. Representative,13,Keith F.  Houston,False,GRN,5912,2.86
U. S. Representative,13,Total,,,206388,
U. S. Representative,14,Randy  Weber,False,REP,131460,53.47
U. S. Representative,14,Nick Lampson,False,DEM,109697,44.62
U. S. Representative,14,Zach  Grady,False,LIB,3619,1.47
U. S. Representative,14,Rhett Rosenquest  Smith,False,GRN,1063,0.43
U. S. Representative,14,Total,,,245839,
U. S. Representative,15,Dale A.  Brueggemann,False,REP,54056,36.86
U. S. Representative,15,Rubén Hinojosa,True,DEM,89296,60.89
U. S. Representative,15,Ron  Finch,False,LIB,3309,2.26
U. S. Representative,15,Total,,,146661,
U. S. Representative,16,Barbara Carrasco,False,REP,51043,32.93
U. S. Representative,16,Beto O'Rourke,False,DEM,101403,65.42
U. S. Representative,16,Junart  Sodoy,False,LIB,2559,1.65
U. S. Representative,16,Total,,,155005,
U. S. Representative,17,Bill  Flores,True,REP,143284,79.93
U. S. Representative,17,Ben  Easton,False,LIB,35978,20.07
U. S. Representative,17,Total,,,179262,
U. S. Representative,18,Sean Seibert,False,REP,44015,22.58
U. S. Representative,18,Sheila Jackson Lee,True,DEM,146223,75.01
U. S. Representative,18,Christopher  Barber,False,LIB,4694,2.41
U. S. Representative,18,Total,,,194932,
U. S. Representative,19,Randy Neugebauer,True,REP,163239,84.99
U. S. Representative,19,Richard (Chip)  Peterson,False,LIB,28824,15.01
U. S. Representative,19,Total,,,192063,
U. S. Representative,20,David Rosa,False,REP,62376,33.50
