county,precinct,office,district,candidate,party,votes,early_voting,election_day,mail
EDWARDS,PRECINCT 1,REGISTERED VOTERS - TOTAL,,,,303,0,0,0
EDWARDS,PRECINCT 2,REGISTERED VOTERS - TOTAL,,,,495,0,0,0
EDWARDS,PRECINCT 3,REGISTERED VOTERS - TOTAL,,,,405,0,0,0
EDWARDS,PRECINCT 4,REGISTERED VOTERS - TOTAL,,,,375,0,0,0
EDWARDS,PRECINCT 1,BALLOTS CAST - TOTAL,,,,153,63,77,13
EDWARDS,PRECINCT 2,BALLOTS CAST - TOTAL,,,,312,167,119,25
EDWARDS,PRECINCT 3,BALLOTS CAST - TOTAL,,,,249,87,149,13
EDWARDS,PRECINCT 4,BALLOTS CAST - TOTAL,,,,171,66,88,16
EDWARDS,PRECINCT 1,STRAIGHT PARTY,,REPUBLICAN PARTY,,19,8,10,1
EDWARDS,PRECINCT 2,STRAIGHT PARTY,,REPUBLICAN PARTY,,125,61,51,13
EDWARDS,PRECINCT 3,STRAIGHT PARTY,,REPUBLICAN PARTY,,71,17,46,8
EDWARDS,PRECINCT 4,STRAIGHT PARTY,,REPUBLICAN PARTY,,62,18,34,9
EDWARDS,PRECINCT 1,STRAIGHT PARTY,,DEMOCRATIC PARTY,,27,15,8,4
EDWARDS,PRECINCT 2,STRAIGHT PARTY,,DEMOCRATIC PARTY,,22,15,7,0
EDWARDS,PRECINCT 3,STRAIGHT PARTY,,DEMOCRATIC PARTY,,12,8,4,0
EDWARDS,PRECINCT 4,STRAIGHT PARTY,,DEMOCRATIC PARTY,,19,11,8,0
EDWARDS,PRECINCT 1,STRAIGHT PARTY,,LIBERTARIAN PARTY,,1,0,1,0
EDWARDS,PRECINCT 2,STRAIGHT PARTY,,LIBERTARIAN PARTY,,0,0,0,0
EDWARDS,PRECINCT 3,STRAIGHT PARTY,,LIBERTARIAN PARTY,,3,2,1,0
EDWARDS,PRECINCT 4,STRAIGHT PARTY,,LIBERTARIAN PARTY,,0,0,0,0
EDWARDS,PRECINCT 1,STRAIGHT PARTY,,GREEN PARTY,,0,0,0,0
EDWARDS,PRECINCT 2,STRAIGHT PARTY,,GREEN PARTY,,1,0,1,0
EDWARDS,PRECINCT 3,STRAIGHT PARTY,,GREEN PARTY,,0,0,0,0
EDWARDS,PRECINCT 4,STRAIGHT PARTY,,GREEN PARTY,,0,0,0,0
EDWARDS,PRECINCT 1,STRAIGHT PARTY,,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 2,STRAIGHT PARTY,,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 3,STRAIGHT PARTY,,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 4,STRAIGHT PARTY,,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 1,STRAIGHT PARTY,,UNDER VOTES,,106,40,58,8
EDWARDS,PRECINCT 2,STRAIGHT PARTY,,UNDER VOTES,,164,91,60,12
EDWARDS,PRECINCT 3,STRAIGHT PARTY,,UNDER VOTES,,163,60,98,5
EDWARDS,PRECINCT 4,STRAIGHT PARTY,,UNDER VOTES,,90,37,46,7
EDWARDS,PRECINCT 1,President,,Mitt Romney ,REP,79,21,55,3
EDWARDS,PRECINCT 2,President,,Mitt Romney ,REP,262,133,104,24
EDWARDS,PRECINCT 3,President,,Mitt Romney ,REP,190,61,118,11
EDWARDS,PRECINCT 4,President,,Mitt Romney ,REP,111,34,65,11
EDWARDS,PRECINCT 1,President,,Barack Obama ,DEM,72,41,21,10
EDWARDS,PRECINCT 2,President,,Barack Obama ,DEM,48,34,13,1
EDWARDS,PRECINCT 3,President,,Barack Obama ,DEM,52,25,26,1
EDWARDS,PRECINCT 4,President,,Barack Obama ,DEM,60,32,23,5
EDWARDS,PRECINCT 1,President,,Gary Johnson ,LIB,0,0,0,0
EDWARDS,PRECINCT 2,President,,Gary Johnson ,LIB,2,0,2,0
EDWARDS,PRECINCT 3,President,,Gary Johnson ,LIB,5,1,3,1
EDWARDS,PRECINCT 4,President,,Gary Johnson ,LIB,0,0,0,0
EDWARDS,PRECINCT 1,President,,Jill Stein ,GRN,1,1,0,0
EDWARDS,PRECINCT 2,President,,Jill Stein ,GRN,0,0,0,0
EDWARDS,PRECINCT 3,President,,Jill Stein ,GRN,2,0,2,0
EDWARDS,PRECINCT 4,President,,Jill Stein ,GRN,0,0,0,0
EDWARDS,PRECINCT 1,President,,WRITE-IN,NON,0,0,0,0
EDWARDS,PRECINCT 2,President,,WRITE-IN,NON,0,0,0,0
EDWARDS,PRECINCT 3,President,,WRITE-IN,NON,0,0,0,0
EDWARDS,PRECINCT 4,President,,WRITE-IN,NON,0,0,0,0
EDWARDS,PRECINCT 1,President,,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 2,President,,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 3,President,,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 4,President,,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 1,President,,UNDER VOTES,,1,0,1,0
EDWARDS,PRECINCT 2,President,,UNDER VOTES,,0,0,0,0
EDWARDS,PRECINCT 3,President,,UNDER VOTES,,0,0,0,0
EDWARDS,PRECINCT 4,President,,UNDER VOTES,,0,0,0,0
EDWARDS,PRECINCT 1,United States Senator,,Ted Cruz,REP,86,24,56,6
EDWARDS,PRECINCT 2,United States Senator,,Ted Cruz,REP,251,127,101,22
EDWARDS,PRECINCT 3,United States Senator,,Ted Cruz,REP,178,56,112,10
EDWARDS,PRECINCT 4,United States Senator,,Ted Cruz,REP,109,35,59,14
EDWARDS,PRECINCT 1,United States Senator,,Paul Sadler,DEM,45,29,12,4
EDWARDS,PRECINCT 2,United States Senator,,Paul Sadler,DEM,46,34,11,1
EDWARDS,PRECINCT 3,United States Senator,,Paul Sadler,DEM,41,17,23,1
EDWARDS,PRECINCT 4,United States Senator,,Paul Sadler,DEM,40,18,20,2
EDWARDS,PRECINCT 1,United States Senator,,John Jay Myers,LIB,2,1,1,0
EDWARDS,PRECINCT 2,United States Senator,,John Jay Myers,LIB,4,2,2,0
EDWARDS,PRECINCT 3,United States Senator,,John Jay Myers,LIB,10,4,5,1
EDWARDS,PRECINCT 4,United States Senator,,John Jay Myers,LIB,1,0,1,0
EDWARDS,PRECINCT 1,United States Senator,,David B. Collins,GRN,1,1,0,0
EDWARDS,PRECINCT 2,United States Senator,,David B. Collins,GRN,2,0,1,1
EDWARDS,PRECINCT 3,United States Senator,,David B. Collins,GRN,3,0,3,0
EDWARDS,PRECINCT 4,United States Senator,,David B. Collins,GRN,1,1,0,0
EDWARDS,PRECINCT 1,United States Senator,,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 2,United States Senator,,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 3,United States Senator,,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 4,United States Senator,,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 1,United States Senator,,UNDER VOTES,,19,8,8,3
EDWARDS,PRECINCT 2,United States Senator,,UNDER VOTES,,9,4,4,1
EDWARDS,PRECINCT 3,United States Senator,,UNDER VOTES,,17,10,6,1
EDWARDS,PRECINCT 4,United States Senator,,UNDER VOTES,,20,12,8,0
EDWARDS,PRECINCT 1,United States House,Dist 23,"Francisco ""Quico"" Canseco",REP,81,23,55,3
EDWARDS,PRECINCT 2,United States House,Dist 23,"Francisco ""Quico"" Canseco",REP,225,113,91,20
EDWARDS,PRECINCT 3,United States House,Dist 23,"Francisco ""Quico"" Canseco",REP,158,44,106,8
EDWARDS,PRECINCT 4,United States House,Dist 23,"Francisco ""Quico"" Canseco",REP,94,28,55,11
EDWARDS,PRECINCT 1,United States House,Dist 23,Pete P. Gallego,DEM,63,34,19,10
EDWARDS,PRECINCT 2,United States House,Dist 23,Pete P. Gallego,DEM,54,38,15,1
EDWARDS,PRECINCT 3,United States House,Dist 23,Pete P. Gallego,DEM,60,30,27,3
EDWARDS,PRECINCT 4,United States House,Dist 23,Pete P. Gallego,DEM,53,27,22,4
EDWARDS,PRECINCT 1,United States House,Dist 23,Jeffrey C. Blunt,LIB,2,1,1,0
EDWARDS,PRECINCT 2,United States House,Dist 23,Jeffrey C. Blunt,LIB,15,10,3,2
EDWARDS,PRECINCT 3,United States House,Dist 23,Jeffrey C. Blunt,LIB,15,5,9,1
EDWARDS,PRECINCT 4,United States House,Dist 23,Jeffrey C. Blunt,LIB,4,2,2,0
EDWARDS,PRECINCT 1,United States House,Dist 23,Ed Scharf,GRN,1,1,0,0
EDWARDS,PRECINCT 2,United States House,Dist 23,Ed Scharf,GRN,1,0,1,0
EDWARDS,PRECINCT 3,United States House,Dist 23,Ed Scharf,GRN,2,0,2,0
EDWARDS,PRECINCT 4,United States House,Dist 23,Ed Scharf,GRN,1,1,0,0
EDWARDS,PRECINCT 1,United States House,Dist 23,OVER VOTES,,1,0,1,0
EDWARDS,PRECINCT 2,United States House,Dist 23,OVER VOTES,,1,0,1,0
EDWARDS,PRECINCT 3,United States House,Dist 23,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 4,United States House,Dist 23,OVER VOTES,,2,1,1,0
EDWARDS,PRECINCT 1,United States House,Dist 23,UNDER VOTES,,5,4,1,0
EDWARDS,PRECINCT 2,United States House,Dist 23,UNDER VOTES,,16,6,8,2
EDWARDS,PRECINCT 3,United States House,Dist 23,UNDER VOTES,,14,8,5,1
EDWARDS,PRECINCT 4,United States House,Dist 23,UNDER VOTES,,16,7,8,1
EDWARDS,PRECINCT 1,Railroad Commissioner,,Christi Craddick,REP,77,23,51,3
EDWARDS,PRECINCT 2,Railroad Commissioner,,Christi Craddick,REP,235,113,99,22
EDWARDS,PRECINCT 3,Railroad Commissioner,,Christi Craddick,REP,174,52,111,11
EDWARDS,PRECINCT 4,Railroad Commissioner,,Christi Craddick,REP,90,26,54,9
EDWARDS,PRECINCT 1,Railroad Commissioner,,Dale Henry,DEM,47,27,13,7
EDWARDS,PRECINCT 2,Railroad Commissioner,,Dale Henry,DEM,41,30,10,1
EDWARDS,PRECINCT 3,Railroad Commissioner,,Dale Henry,DEM,29,14,15,0
EDWARDS,PRECINCT 4,Railroad Commissioner,,Dale Henry,DEM,46,21,20,5
EDWARDS,PRECINCT 1,Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,1,0,1,0
EDWARDS,PRECINCT 2,Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,5,4,1,0
EDWARDS,PRECINCT 3,Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,7,3,3,1
EDWARDS,PRECINCT 4,Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,2,1,1,0
EDWARDS,PRECINCT 1,Railroad Commissioner,,Chris Kennedy,GRN,1,1,0,0
EDWARDS,PRECINCT 2,Railroad Commissioner,,Chris Kennedy,GRN,7,6,1,0
EDWARDS,PRECINCT 3,Railroad Commissioner,,Chris Kennedy,GRN,4,4,0,0
EDWARDS,PRECINCT 4,Railroad Commissioner,,Chris Kennedy,GRN,1,1,0,0
EDWARDS,PRECINCT 1,Railroad Commissioner,,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 2,Railroad Commissioner,,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 3,Railroad Commissioner,,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 4,Railroad Commissioner,,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 1,Railroad Commissioner,,UNDER VOTES,,27,12,12,3
EDWARDS,PRECINCT 2,Railroad Commissioner,,UNDER VOTES,,24,14,8,2
EDWARDS,PRECINCT 3,Railroad Commissioner,,UNDER VOTES,,35,14,20,1
EDWARDS,PRECINCT 4,Railroad Commissioner,,UNDER VOTES,,32,17,13,2
EDWARDS,PRECINCT 1,Railroad Commissioner,Unexpired Term,Barry Smitherman,REP,75,22,50,3
EDWARDS,PRECINCT 2,Railroad Commissioner,Unexpired Term,Barry Smitherman,REP,231,113,96,21
EDWARDS,PRECINCT 3,Railroad Commissioner,Unexpired Term,Barry Smitherman,REP,169,52,106,11
EDWARDS,PRECINCT 4,Railroad Commissioner,Unexpired Term,Barry Smitherman,REP,94,29,55,9
EDWARDS,PRECINCT 1,Railroad Commissioner,Unexpired Term,Jaime O. Perez,LIB,18,10,6,2
EDWARDS,PRECINCT 2,Railroad Commissioner,Unexpired Term,Jaime O. Perez,LIB,27,21,5,1
EDWARDS,PRECINCT 3,Railroad Commissioner,Unexpired Term,Jaime O. Perez,LIB,24,12,11,1
EDWARDS,PRECINCT 4,Railroad Commissioner,Unexpired Term,Jaime O. Perez,LIB,23,14,6,3
EDWARDS,PRECINCT 1,Railroad Commissioner,Unexpired Term,Josh Wendel,GRN,2,1,1,0
EDWARDS,PRECINCT 2,Railroad Commissioner,Unexpired Term,Josh Wendel,GRN,8,4,3,1
EDWARDS,PRECINCT 3,Railroad Commissioner,Unexpired Term,Josh Wendel,GRN,7,1,6,0
EDWARDS,PRECINCT 4,Railroad Commissioner,Unexpired Term,Josh Wendel,GRN,6,2,4,0
EDWARDS,PRECINCT 1,Railroad Commissioner,Unexpired Term,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 2,Railroad Commissioner,Unexpired Term,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 3,Railroad Commissioner,Unexpired Term,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 4,Railroad Commissioner,Unexpired Term,OVER VOTES,,0,0,0,0
