county,office,district,candidate,incumbent,party,votes,pct
BREWSTER,U. S. Representative,23,Pete P. Gallego,FALSE,DEM,1329,83.58
BREWSTER,U. S. Representative,23,Ciro D. Rodriguez,FALSE,DEM,261,16.42
BREWSTER,U. S. Representative,23,Total,,,1590,
BREWSTER,Justice 8th Court of Appeals District,2,Marcos Lizarraga,FALSE,DEM,380,30.65
BREWSTER,Justice 8th Court of Appeals District,2,Yvonne Rodriguez,FALSE,DEM,860,69.35
BREWSTER,Justice 8th Court of Appeals District,2,Total,,,1240,
BREWSTER,District Attorney, 83rd Judicial District,Frank Brown,FALSE,DEM,737,46.94
BREWSTER,District Attorney, 83rd Judicial District,Rod Ponton,FALSE,DEM,833,53.06
BREWSTER,District Attorney, 83rd Judicial District,Total,,,1570,
BRISCOE,U. S. Senator,,Paul Sadler,FALSE,DEM,4,57.14
BRISCOE,U. S. Senator,,Grady Yarbrough,FALSE,DEM,3,42.86
BRISCOE,U. S. Senator,,Total,,,7,
BROOKS,U. S. Senator,,Paul Sadler,FALSE,DEM,142,57.03
BROOKS,U. S. Senator,,Grady Yarbrough,FALSE,DEM,107,42.97
BROOKS,U. S. Senator,,Total,,,249,
BROWN,U. S. Senator,,Paul Sadler,FALSE,DEM,42,77.78
BROWN,U. S. Senator,,Grady Yarbrough,FALSE,DEM,12,22.22
BROWN,U. S. Senator,,Total,,,54,
BURLESON,U. S. Senator,,Paul Sadler,FALSE,DEM,82,71.3
BURLESON,U. S. Senator,,Grady Yarbrough,FALSE,DEM,33,28.7
BURLESON,U. S. Senator,,Total,,,115,
BURNET,U. S. Senator,,Paul Sadler,FALSE,DEM,153,83.15
BURNET,U. S. Senator,,Grady Yarbrough,FALSE,DEM,31,16.85
BURNET,U. S. Senator,,Total,,,184,
CALDWELL,U. S. Senator,,Paul Sadler,FALSE,DEM,267,70.08
CALDWELL,U. S. Senator,,Grady Yarbrough,FALSE,DEM,114,29.92
CALDWELL,U. S. Senator,,Total,,,381,
CALDWELL,U. S. Representative,27,Rose Meza Harrison,FALSE,DEM,177,80.09
CALDWELL,U. S. Representative,27,Jerry J. Trevino,FALSE,DEM,44,19.91
CALDWELL,U. S. Representative,27,Total,,,221,
CALHOUN,U. S. Senator,,Paul Sadler,FALSE,DEM,186,60.98
CALHOUN,U. S. Senator,,Grady Yarbrough,FALSE,DEM,119,39.02
CALHOUN,U. S. Senator,,Total,,,305,
CALHOUN,U. S. Representative,27,Rose Meza Harrison,FALSE,DEM,194,65.54
CALHOUN,U. S. Representative,27,Jerry J. Trevino,FALSE,DEM,102,34.46
CALHOUN,U. S. Representative,27,Total,,,296,
CALHOUN,Member State Board of Education,2,"Ruben Cortez, Jr.",FALSE,DEM,145,50.88
CALHOUN,Member State Board of Education,2,Celeste Zepeda Sanchez,FALSE,DEM,140,49.12
CALHOUN,Member State Board of Education,2,Total,,,285,
CALLAHAN,U. S. Senator,,Paul Sadler,FALSE,DEM,0,0
CALLAHAN,U. S. Senator,,Grady Yarbrough,FALSE,DEM,0,0
CALLAHAN,U. S. Senator,,Total,,,0,
CAMERON,U. S. Senator,,Paul Sadler,FALSE,DEM,7686,57.32
CAMERON,U. S. Senator,,Grady Yarbrough,FALSE,DEM,5724,42.68
CAMERON,U. S. Senator,,Total,,,13410,
CAMERON,U. S. Representative,34,Denise Saenz Blanchard,FALSE,DEM,5614,35.57
CAMERON,U. S. Representative,34,Filemon Vela,FALSE,DEM,10171,64.43
CAMERON,U. S. Representative,34,Total,,,15785,
CAMERON,Member State Board of Education,2,"Ruben Cortez, Jr.",FALSE,DEM,6924,46.47
CAMERON,Member State Board of Education,2,Celeste Zepeda Sanchez,FALSE,DEM,7977,53.53
CAMERON,Member State Board of Education,2,Total,,,14901,
CAMP,U. S. Senator,,Paul Sadler,FALSE,DEM,70,80.46
CAMP,U. S. Senator,,Grady Yarbrough,FALSE,DEM,17,19.54
CAMP,U. S. Senator,,Total,,,87,
CARSON,U. S. Senator,,Paul Sadler,FALSE,DEM,8,66.67
CARSON,U. S. Senator,,Grady Yarbrough,FALSE,DEM,4,33.33
CARSON,U. S. Senator,,Total,,,12,
CASS,U. S. Senator,,Paul Sadler,FALSE,DEM,242,78.83
CASS,U. S. Senator,,Grady Yarbrough,FALSE,DEM,65,21.17
CASS,U. S. Senator,,Total,,,307,
CASTRO,U. S. Senator,,Paul Sadler,FALSE,DEM,0,0
CASTRO,U. S. Senator,,Grady Yarbrough,FALSE,DEM,0,0
CASTRO,U. S. Senator,,Total,,,0,
CHAMBERS,U. S. Senator,,Paul Sadler,FALSE,DEM,85,73.28
CHAMBERS,U. S. Senator,,Grady Yarbrough,FALSE,DEM,31,26.72
CHAMBERS,U. S. Senator,,Total,,,116,
CHEROKEE,U. S. Senator,,Paul Sadler,FALSE,DEM,133,70
CHEROKEE,U. S. Senator,,Grady Yarbrough,FALSE,DEM,57,30
CHEROKEE,U. S. Senator,,Total,,,190,
CHEROKEE,U. S. Representative,5,Tom Berry,FALSE,DEM,77,41.18
CHEROKEE,U. S. Representative,5,Linda S. Mrosko,FALSE,DEM,110,58.82
CHEROKEE,U. S. Representative,5,Total,,,187,
CHILDRESS,U. S. Senator,,Paul Sadler,FALSE,DEM,6,40
CHILDRESS,U. S. Senator,,Grady Yarbrough,FALSE,DEM,9,60
CHILDRESS,U. S. Senator,,Total,,,15,
CLAY,U. S. Senator,,Paul Sadler,FALSE,DEM,22,73.33
CLAY,U. S. Senator,,Grady Yarbrough,FALSE,DEM,8,26.67
CLAY,U. S. Senator,,Total,,,30,
COCHRAN,U. S. Senator,,Paul Sadler,FALSE,DEM,0,0
COCHRAN,U. S. Senator,,Grady Yarbrough,FALSE,DEM,0,0
COCHRAN,U. S. Senator,,Total,,,0,
COKE,U. S. Senator,,Paul Sadler,FALSE,DEM,3,60
COKE,U. S. Senator,,Grady Yarbrough,FALSE,DEM,2,40
COKE,U. S. Senator,,Total,,,5,
COLEMAN,U. S. Senator,,Paul Sadler,FALSE,DEM,24,88.89
COLEMAN,U. S. Senator,,Grady Yarbrough,FALSE,DEM,3,11.11
COLEMAN,U. S. Senator,,Total,,,27,
COLLIN,U. S. Senator,,Paul Sadler,FALSE,DEM,1315,72.81
COLLIN,U. S. Senator,,Grady Yarbrough,FALSE,DEM,491,27.19
COLLIN,U. S. Senator,,Total,,,1806,
COLLINGSWORTH,U. S. Senator,,Paul Sadler,FALSE,DEM,8,66.67
COLLINGSWORTH,U. S. Senator,,Grady Yarbrough,FALSE,DEM,4,33.33
COLLINGSWORTH,U. S. Senator,,Total,,,12,
COLORADO,U. S. Senator,,Paul Sadler,FALSE,DEM,64,72.73
