county,precinct,office,district,candidate,party,votes,early_voting,election_day
Coke,Coke 1,Registered,,,,660,,
Coke,Coke 2,Registered,,,,550,,
Coke,Coke 3,Registered,,,,576,,
Coke,Coke 4,Registered,,,,522,,
Coke,Coke 1,Ballots Cast,,,,414,163,251
Coke,Coke 2,Ballots Cast,,,,355,149,206
Coke,Coke 3,Ballots Cast,,,,353,224,129
Coke,Coke 4,Ballots Cast,,,,331,135,196
Coke,Coke 1,Straight Party,,Republican,REP,172,108,64
Coke,Coke 2,Straight Party,,Republican,REP,133,55,78
Coke,Coke 3,Straight Party,,Republican,REP,161,110,51
Coke,Coke 4,Straight Party,,Republican,REP,118,44,74
Coke,Coke 1,Straight Party,,Democrat,DEM,22,9,13
Coke,Coke 2,Straight Party,,Democrat,DEM,10,6,4
Coke,Coke 3,Straight Party,,Democrat,DEM,21,8,13
Coke,Coke 4,Straight Party,,Democrat,DEM,27,9,18
Coke,Coke 1,Straight Party,,Libertarian,Lib,0,0,0
Coke,Coke 2,Straight Party,,Libertarian,Lib,1,0,1
Coke,Coke 3,Straight Party,,Libertarian,Lib,1,1,0
Coke,Coke 4,Straight Party,,Libertarian,Lib,2,0,2
Coke,Coke 1,Straight Party,,Green,Grn,1,0,1
Coke,Coke 2,Straight Party,,Green,Grn,0,0,0
Coke,Coke 3,Straight Party,,Green,Grn,1,0,1
Coke,Coke 4,Straight Party,,Green,Grn,0,0,0
Coke,Coke 1,Straight Party,,undervotes,,195,111,84
Coke,Coke 2,Straight Party,,undervotes,,190,67,123
Coke,Coke 3,Straight Party,,undervotes,,147,83,64
Coke,Coke 4,Straight Party,,undervotes,,158,56,102
Coke,Coke 1,President,,Mitt Romney,REP,361,226,135
Coke,Coke 2,President,,Mitt Romney,REP,302,125,177
Coke,Coke 3,President,,Mitt Romney,REP,283,188,95
Coke,Coke 4,President,,Mitt Romney,REP,272,109,163
Coke,Coke 1,President,,Barack Obama,DEM,39,14,25
Coke,Coke 2,President,,Barack Obama,DEM,41,21,20
Coke,Coke 3,President,,Barack Obama,DEM,50,25,25
Coke,Coke 4,President,,Barack Obama,DEM,49,22,27
Coke,Coke 1,President,,Gary Johnson,Lib,1,1,0
Coke,Coke 2,President,,Gary Johnson,Lib,2,0,2
Coke,Coke 3,President,,Gary Johnson,Lib,1,0,1
Coke,Coke 4,President,,Gary Johnson,Lib,5,1,4
Coke,Coke 1,President,,Jill Stein,Grn,1,0,1
Coke,Coke 2,President,,Jill Stein,Grn,1,0,1
Coke,Coke 3,President,,Jill Stein,Grn,0,0,0
Coke,Coke 4,President,,Jill Stein,Grn,0,0,0
Coke,Coke 1,President,,undervotes,,12,10,2
Coke,Coke 2,President,,undervotes,,9,3,6
Coke,Coke 3,President,,undervotes,,18,10,8
Coke,Coke 4,President,,undervotes,,5,3,2
Coke,Coke 1,US Senate,,Ted Cruz,Rep,337,209,128
Coke,Coke 2,US Senate,,Ted Cruz,Rep,285,122,163
Coke,Coke 3,US Senate,,Ted Cruz,Rep,274,180,94
Coke,Coke 4,US Senate,,Ted Cruz,Rep,249,100,149
Coke,Coke 1,US Senate,,Paul Sadler,Dem,46,21,25
Coke,Coke 2,US Senate,,Paul Sadler,Dem,47,21,26
Coke,Coke 3,US Senate,,Paul Sadler,Dem,51,30,21
Coke,Coke 4,US Senate,,Paul Sadler,Dem,60,27,33
Coke,Coke 1,US Senate,,John Myers,Lib,8,5,3
Coke,Coke 2,US Senate,,John Myers,Lib,2,0,2
Coke,Coke 3,US Senate,,John Myers,Lib,9,4,5
Coke,Coke 4,US Senate,,John Myers,Lib,8,1,7
Coke,Coke 1,US Senate,,David Collins,Grn,5,2,3
Coke,Coke 2,US Senate,,David Collins,Grn,2,0,2
Coke,Coke 3,US Senate,,David Collins,Grn,3,1,2
Coke,Coke 4,US Senate,,David Collins,Grn,1,0,1
Coke,Coke 1,US Senate,,undervotes,,17,13,4
Coke,Coke 2,US Senate,,undervotes,,16,3,13
Coke,Coke 3,US Senate,,undervotes,,16,9,7
Coke,Coke 4,US Senate,,undervotes,,11,5,6
Coke,Coke 1,US House,11,Mike Conaway,Rep,351,216,135
Coke,Coke 2,US House,11,Mike Conaway,Rep,301,119,182
Coke,Coke 3,US House,11,Mike Conaway,Rep,283,185,98
Coke,Coke 4,US House,11,Mike Conaway,Rep,256,103,153
Coke,Coke 1,US House,11,Jim Riley,Dem,38,18,20
Coke,Coke 2,US House,11,Jim Riley,Dem,32,19,13
Coke,Coke 3,US House,11,Jim Riley,Dem,41,23,18
Coke,Coke 4,US House,11,Jim Riley,Dem,53,23,30
Coke,Coke 1,US House,11,Scott J. Ballard,Lib,9,6,3
Coke,Coke 2,US House,11,Scott J. Ballard,Lib,10,5,5
Coke,Coke 3,US House,11,Scott J. Ballard,Lib,13,8,5
Coke,Coke 4,US House,11,Scott J. Ballard,Lib,11,3,8
Coke,Coke 1,US House,11,undervotes,,15,10,5
Coke,Coke 2,US House,11,undervotes,,9,3,6
Coke,Coke 3,US House,11,undervotes,,12,4,8
Coke,Coke 4,US House,11,undervotes,,9,4,5
Coke,Coke 1,Railroad Commissioner,,Christie Craddick,Rep,334,210,124
Coke,Coke 2,Railroad Commissioner,,Christie Craddick,Rep,272,107,165
Coke,Coke 3,Railroad Commissioner,,Christie Craddick,Rep,264,180,84
Coke,Coke 4,Railroad Commissioner,,Christie Craddick,Rep,250,100,150
Coke,Coke 1,Railroad Commissioner,,Dale Henry,Dem,38,17,21
Coke,Coke 2,Railroad Commissioner,,Dale Henry,Dem,40,23,17
Coke,Coke 3,Railroad Commissioner,,Dale Henry,Dem,45,22,23
Coke,Coke 4,Railroad Commissioner,,Dale Henry,Dem,55,24,31
Coke,Coke 1,Railroad Commissioner,,Vik Wall,Lib,5,1,4
Coke,Coke 2,Railroad Commissioner,,Vik Wall,Lib,6,2,4
Coke,Coke 3,Railroad Commissioner,,Vik Wall,Lib,6,4,2
Coke,Coke 4,Railroad Commissioner,,Vik Wall,Lib,7,1,6
Coke,Coke 1,Railroad Commissioner,,Chris Kennedy,Grn,3,1,2
Coke,Coke 2,Railroad Commissioner,,Chris Kennedy,Grn,4,1,3
Coke,Coke 3,Railroad Commissioner,,Chris Kennedy,Grn,9,4,5
Coke,Coke 4,Railroad Commissioner,,Chris Kennedy,Grn,2,1,1
Coke,Coke 1,Railroad Commissioner,,undervotes,,28,17,11
Coke,Coke 2,Railroad Commissioner,,undervotes,,38,14,24
Coke,Coke 3,Railroad Commissioner,,undervotes,,25,10,15
Coke,Coke 4,Railroad Commissioner,,undervotes,,14,6,8
Coke,Coke 1,Railroad Commissioner,unexpired,Barry Smitherman,Rep,336,208,128
Coke,Coke 2,Railroad Commissioner,unexpired,Barry Smitherman,Rep,285,113,172
Coke,Coke 3,Railroad Commissioner,unexpired,Barry Smitherman,Rep,270,181,89
Coke,Coke 4,Railroad Commissioner,unexpired,Barry Smitherman,Rep,255,105,150
Coke,Coke 1,Railroad Commissioner,unexpired,Jaime Perez,Lib,16,7,9
Coke,Coke 2,Railroad Commissioner,unexpired,Jaime Perez,Lib,13,9,4
Coke,Coke 3,Railroad Commissioner,unexpired,Jaime Perez,Lib,18,9,9
Coke,Coke 4,Railroad Commissioner,unexpired,Jaime Perez,Lib,25,9,16
Coke,Coke 1,Railroad Commissioner,unexpired,Josh Wendel,Grn,8,2,6
Coke,Coke 2,Railroad Commissioner,unexpired,Josh Wendel,Grn,10,4,6
Coke,Coke 3,Railroad Commissioner,unexpired,Josh Wendel,Grn,11,6,5
Coke,Coke 4,Railroad Commissioner,unexpired,Josh Wendel,Grn,5,0,5
Coke,Coke 1,Railroad Commissioner,unexpired,undervotes,,46,26,20
Coke,Coke 2,Railroad Commissioner,unexpired,undervotes,,38,14,24
Coke,Coke 3,Railroad Commissioner,unexpired,undervotes,,49,23,26
Coke,Coke 4,Railroad Commissioner,unexpired,undervotes,,38,13,25
Coke,Coke 1,State Senate,28,Robert Duncan,Rep,348,217,131
Coke,Coke 2,State Senate,28,Robert Duncan,Rep,303,122,181
Coke,Coke 3,State Senate,28,Robert Duncan,Rep,283,186,97
Coke,Coke 4,State Senate,28,Robert Duncan,Rep,259,103,156
Coke,Coke 1,State Senate,28,Smitty Smith,Lib,19,8,11
Coke,Coke 2,State Senate,28,Smitty Smith,Lib,19,13,6
Coke,Coke 3,State Senate,28,Smitty Smith,Lib,23,13,10
Coke,Coke 4,State Senate,28,Smitty Smith,Lib,26,7,19
Coke,Coke 1,State Senate,28,undervotes,,38,18,20
Coke,Coke 2,State Senate,28,undervotes,,27,8,19
Coke,Coke 3,State Senate,28,undervotes,,40,18,22
Coke,Coke 4,State Senate,28,undervotes,,35,14,21
Coke,Coke 1,State House,72,Drew Darby,Rep,368,228,140
Coke,Coke 2,State House,72,Drew Darby,Rep,311,124,187
Coke,Coke 3,State House,72,Drew Darby,Rep,299,194,105
Coke,Coke 4,State House,72,Drew Darby,Rep,279,111,168
Coke,Coke 1,State House,72,undervotes,,36,14,22
Coke,Coke 2,State House,72,undervotes,,35,16,19
Coke,Coke 3,State House,72,undervotes,,48,24,24
Coke,Coke 4,State House,72,undervotes,,41,13,28
