county,precinct,office,district,candidate,party,early_voting,election_day,votes
Brewster,Brewster 1,Registered Voters,,,,,,1728
Brewster,Brewster 2,Registered Voters,,,,,,1299
Brewster,Brewster 3,Registered Voters,,,,,,397
Brewster,Brewster 4,Registered Voters,,,,,,1629
Brewster,Brewster 5,Registered Voters,,,,,,134
Brewster,Brewster 6,Registered Voters,,,,,,530
Brewster,Brewster 7,Registered Voters,,,,,,126
Brewster,Brewster 8,Registered Voters,,,,,,947
Brewster,Brewster 1,Ballots Cast,,,,852,257,1109
Brewster,Brewster 2,Ballots Cast,,,,541,178,719
Brewster,Brewster 3,Ballots Cast,,,,125,133,258
Brewster,Brewster 4,Ballots Cast,,,,666,257,923
Brewster,Brewster 5,Ballots Cast,,,,35,44,79
Brewster,Brewster 6,Ballots Cast,,,,143,174,317
Brewster,Brewster 7,Ballots Cast,,,,20,121,141
Brewster,Brewster 8,Ballots Cast,,,,333,166,499
Brewster,Brewster 1,President,,Mitt Romney,Rep,551,146,697
Brewster,Brewster 2,President,,Mitt Romney,Rep,270,84,354
Brewster,Brewster 3,President,,Mitt Romney,Rep,65,46,111
Brewster,Brewster 4,President,,Mitt Romney,Rep,350,107,457
Brewster,Brewster 5,President,,Mitt Romney,Rep,16,13,29
Brewster,Brewster 6,President,,Mitt Romney,Rep,81,77,158
Brewster,Brewster 7,President,,Mitt Romney,Rep,9,18,27
Brewster,Brewster 8,President,,Mitt Romney,Rep,108,35,143
Brewster,Brewster 1,President,,Barack Obama,Dem,277,95,372
Brewster,Brewster 2,President,,Barack Obama,Dem,247,89,336
Brewster,Brewster 3,President,,Barack Obama,Dem,53,66,119
Brewster,Brewster 4,President,,Barack Obama,Dem,287,130,417
Brewster,Brewster 5,President,,Barack Obama,Dem,18,20,38
Brewster,Brewster 6,President,,Barack Obama,Dem,78,80,158
Brewster,Brewster 7,President,,Barack Obama,Dem,16,28,44
Brewster,Brewster 8,President,,Barack Obama,Dem,207,74,281
Brewster,Brewster 1,President,,Gary Johnson,Lib,13,8,21
Brewster,Brewster 2,President,,Gary Johnson,Lib,8,1,9
Brewster,Brewster 3,President,,Gary Johnson,Lib,2,2,4
Brewster,Brewster 4,President,,Gary Johnson,Lib,8,9,17
Brewster,Brewster 5,President,,Gary Johnson,Lib,0,3,3
Brewster,Brewster 6,President,,Gary Johnson,Lib,10,14,24
Brewster,Brewster 7,President,,Gary Johnson,Lib,3,3,6
Brewster,Brewster 8,President,,Gary Johnson,Lib,4,3,7
Brewster,Brewster 1,President,,Jill Stein,Grn,5,0,5
Brewster,Brewster 2,President,,Jill Stein,Grn,5,1,6
Brewster,Brewster 3,President,,Jill Stein,Grn,1,2,3
Brewster,Brewster 4,President,,Jill Stein,Grn,6,2,8
Brewster,Brewster 5,President,,Jill Stein,Grn,0,1,1
Brewster,Brewster 6,President,,Jill Stein,Grn,5,2,7
Brewster,Brewster 7,President,,Jill Stein,Grn,0,0,0
Brewster,Brewster 8,President,,Jill Stein,Grn,4,1,5
Brewster,Brewster 1,US Senate,,Ted Cruz,Rep,530,131,661
Brewster,Brewster 2,US Senate,,Ted Cruz,Rep,252,72,324
Brewster,Brewster 3,US Senate,,Ted Cruz,Rep,62,49,111
Brewster,Brewster 4,US Senate,,Ted Cruz,Rep,325,110,435
Brewster,Brewster 5,US Senate,,Ted Cruz,Rep,15,12,27
Brewster,Brewster 6,US Senate,,Ted Cruz,Rep,77,75,152
Brewster,Brewster 7,US Senate,,Ted Cruz,Rep,9,15,24
Brewster,Brewster 8,US Senate,,Ted Cruz,Rep,98,43,141
Brewster,Brewster 1,US Senate,,Paul Sadler,Dem,268,95,363
Brewster,Brewster 2,US Senate,,Paul Sadler,Dem,242,88,330
Brewster,Brewster 3,US Senate,,Paul Sadler,Dem,46,53,99
Brewster,Brewster 4,US Senate,,Paul Sadler,Dem,272,102,374
Brewster,Brewster 5,US Senate,,Paul Sadler,Dem,16,16,32
Brewster,Brewster 6,US Senate,,Paul Sadler,Dem,78,73,151
Brewster,Brewster 7,US Senate,,Paul Sadler,Dem,14,24,38
Brewster,Brewster 8,US Senate,,Paul Sadler,Dem,188,49,237
Brewster,Brewster 1,US Senate,,John Jay Myers,Lib,26,15,41
Brewster,Brewster 2,US Senate,,John Jay Myers,Lib,12,9,21
Brewster,Brewster 3,US Senate,,John Jay Myers,Lib,5,4,9
Brewster,Brewster 4,US Senate,,John Jay Myers,Lib,19,15,34
Brewster,Brewster 5,US Senate,,John Jay Myers,Lib,2,2,4
Brewster,Brewster 6,US Senate,,John Jay Myers,Lib,12,20,32
Brewster,Brewster 7,US Senate,,John Jay Myers,Lib,5,4,9
Brewster,Brewster 8,US Senate,,John Jay Myers,Lib,15,8,23
Brewster,Brewster 1,US Senate,,David Collins,Grn,15,4,19
Brewster,Brewster 2,US Senate,,David Collins,Grn,9,2,11
Brewster,Brewster 3,US Senate,,David Collins,Grn,1,1,2
Brewster,Brewster 4,US Senate,,David Collins,Grn,11,5,16
Brewster,Brewster 5,US Senate,,David Collins,Grn,1,3,4
Brewster,Brewster 6,US Senate,,David Collins,Grn,6,1,7
Brewster,Brewster 7,US Senate,,David Collins,Grn,2,2,4
Brewster,Brewster 8,US Senate,,David Collins,Grn,4,3,7
Brewster,Brewster 1,US House,23,Francisco Canseco,Rep,447,104,551
Brewster,Brewster 2,US House,23,Francisco Canseco,Rep,192,62,254
Brewster,Brewster 3,US House,23,Francisco Canseco,Rep,55,41,96
Brewster,Brewster 4,US House,23,Francisco Canseco,Rep,255,73,328
Brewster,Brewster 5,US House,23,Francisco Canseco,Rep,13,8,21
Brewster,Brewster 6,US House,23,Francisco Canseco,Rep,60,67,127
Brewster,Brewster 7,US House,23,Francisco Canseco,Rep,7,15,22
Brewster,Brewster 8,US House,23,Francisco Canseco,Rep,67,21,88
Brewster,Brewster 1,US House,23,Pete Gallego,Dem,380,130,510
Brewster,Brewster 2,US House,23,Pete Gallego,Dem,321,110,431
Brewster,Brewster 3,US House,23,Pete Gallego,Dem,60,64,124
Brewster,Brewster 4,US House,23,Pete Gallego,Dem,389,165,554
Brewster,Brewster 5,US House,23,Pete Gallego,Dem,19,23,42
Brewster,Brewster 6,US House,23,Pete Gallego,Dem,102,85,187
