county,precinct,office,district,candidate,party,votes,early_voting,election_day
Cherokee,12,Registered Voters,,,,1302,,
Cherokee,13,Registered Voters,,,,1054,,
Cherokee,14,Registered Voters,,,,1273,,
Cherokee,15,Registered Voters,,,,3139,,
Cherokee,22,Registered Voters,,,,540,,
Cherokee,23,Registered Voters,,,,947,,
Cherokee,24,Registered Voters,,,,1855,,
Cherokee,25,Registered Voters,,,,956,,
Cherokee,26,Registered Voters,,,,1032,,
Cherokee,27,Registered Voters,,,,1057,,
Cherokee,28,Registered Voters,,,,581,,
Cherokee,32,Registered Voters,,,,674,,
Cherokee,33,Registered Voters,,,,1473,,
Cherokee,34,Registered Voters,,,,1010,,
Cherokee,35,Registered Voters,,,,973,,
Cherokee,36,Registered Voters,,,,1582,,
Cherokee,37,Registered Voters,,,,460,,
Cherokee,38,Registered Voters,,,,650,,
Cherokee,42,Registered Voters,,,,1313,,
Cherokee,43,Registered Voters,,,,1220,,
Cherokee,44,Registered Voters,,,,1285,,
Cherokee,45,Registered Voters,,,,803,,
Cherokee,46,Registered Voters,,,,660,,
Cherokee,47,Registered Voters,,,,381,,
Cherokee,48,Registered Voters,,,,531,,
Cherokee,12,Ballots Cast,,,,820,527,293
Cherokee,13,Ballots Cast,,,,639,364,275
Cherokee,14,Ballots Cast,,,,854,610,244
Cherokee,15,Ballots Cast,,,,1911,1401,510
Cherokee,22,Ballots Cast,,,,340,212,128
Cherokee,23,Ballots Cast,,,,655,406,249
Cherokee,24,Ballots Cast,,,,1061,756,305
Cherokee,25,Ballots Cast,,,,544,154,390
Cherokee,26,Ballots Cast,,,,606,395,211
Cherokee,27,Ballots Cast,,,,649,471,178
Cherokee,28,Ballots Cast,,,,386,203,183
Cherokee,32,Ballots Cast,,,,442,211,231
Cherokee,33,Ballots Cast,,,,857,432,425
Cherokee,34,Ballots Cast,,,,697,355,342
Cherokee,35,Ballots Cast,,,,629,364,265
Cherokee,36,Ballots Cast,,,,1010,693,317
Cherokee,37,Ballots Cast,,,,245,149,96
Cherokee,38,Ballots Cast,,,,283,157,126
Cherokee,42,Ballots Cast,,,,692,435,257
Cherokee,43,Ballots Cast,,,,629,437,192
Cherokee,44,Ballots Cast,,,,823,531,292
Cherokee,45,Ballots Cast,,,,453,188,265
Cherokee,46,Ballots Cast,,,,450,164,286
Cherokee,47,Ballots Cast,,,,202,103,99
Cherokee,48,Ballots Cast,,,,364,87,277
Cherokee,12,Straight Party,,Republican Party,REP,257,168,89
Cherokee,13,Straight Party,,Republican Party,REP,278,171,107
Cherokee,14,Straight Party,,Republican Party,REP,343,250,93
Cherokee,15,Straight Party,,Republican Party,REP,601,454,147
Cherokee,22,Straight Party,,Republican Party,REP,112,80,32
Cherokee,23,Straight Party,,Republican Party,REP,217,154,63
Cherokee,24,Straight Party,,Republican Party,REP,285,205,80
Cherokee,25,Straight Party,,Republican Party,REP,214,62,152
Cherokee,26,Straight Party,,Republican Party,REP,221,156,65
Cherokee,27,Straight Party,,Republican Party,REP,284,216,68
Cherokee,28,Straight Party,,Republican Party,REP,158,86,72
Cherokee,32,Straight Party,,Republican Party,REP,197,99,98
Cherokee,33,Straight Party,,Republican Party,REP,364,200,164
Cherokee,34,Straight Party,,Republican Party,REP,341,182,159
Cherokee,35,Straight Party,,Republican Party,REP,221,138,83
Cherokee,36,Straight Party,,Republican Party,REP,382,261,121
Cherokee,37,Straight Party,,Republican Party,REP,65,46,19
Cherokee,38,Straight Party,,Republican Party,REP,71,38,33
Cherokee,42,Straight Party,,Republican Party,REP,83,61,22
Cherokee,43,Straight Party,,Republican Party,REP,168,126,42
Cherokee,44,Straight Party,,Republican Party,REP,341,217,124
Cherokee,45,Straight Party,,Republican Party,REP,133,71,62
Cherokee,46,Straight Party,,Republican Party,REP,199,68,131
Cherokee,47,Straight Party,,Republican Party,REP,75,47,28
Cherokee,48,Straight Party,,Republican Party,REP,190,44,146
Cherokee,12,Straight Party,,Democratic Party,DEM,101,70,31
Cherokee,13,Straight Party,,Democratic Party,DEM,33,11,22
Cherokee,14,Straight Party,,Democratic Party,DEM,53,35,18
Cherokee,15,Straight Party,,Democratic Party,DEM,233,149,84
Cherokee,22,Straight Party,,Democratic Party,DEM,61,35,26
Cherokee,23,Straight Party,,Democratic Party,DEM,26,23,3
Cherokee,24,Straight Party,,Democratic Party,DEM,163,106,57
Cherokee,25,Straight Party,,Democratic Party,DEM,82,29,53
Cherokee,26,Straight Party,,Democratic Party,DEM,151,82,69
Cherokee,27,Straight Party,,Democratic Party,DEM,108,64,44
Cherokee,28,Straight Party,,Democratic Party,DEM,19,9,10
Cherokee,32,Straight Party,,Democratic Party,DEM,30,15,15
Cherokee,33,Straight Party,,Democratic Party,DEM,107,50,57
Cherokee,34,Straight Party,,Democratic Party,DEM,28,10,18
Cherokee,35,Straight Party,,Democratic Party,DEM,102,64,38
Cherokee,36,Straight Party,,Democratic Party,DEM,81,47,34
Cherokee,37,Straight Party,,Democratic Party,DEM,72,47,25
Cherokee,38,Straight Party,,Democratic Party,DEM,88,52,36
Cherokee,42,Straight Party,,Democratic Party,DEM,397,238,159
Cherokee,43,Straight Party,,Democratic Party,DEM,139,89,50
Cherokee,44,Straight Party,,Democratic Party,DEM,54,25,29
Cherokee,45,Straight Party,,Democratic Party,DEM,80,29,51
Cherokee,46,Straight Party,,Democratic Party,DEM,48,14,34
Cherokee,47,Straight Party,,Democratic Party,DEM,18,11,7
Cherokee,48,Straight Party,,Democratic Party,DEM,19,5,14
Cherokee,12,Straight Party,,Libertarian Party,LIB,0,0,0
Cherokee,13,Straight Party,,Libertarian Party,LIB,2,0,2
Cherokee,14,Straight Party,,Libertarian Party,LIB,8,5,3
Cherokee,15,Straight Party,,Libertarian Party,LIB,5,3,2
Cherokee,22,Straight Party,,Libertarian Party,LIB,1,1,0
Cherokee,23,Straight Party,,Libertarian Party,LIB,3,1,2
Cherokee,24,Straight Party,,Libertarian Party,LIB,3,2,1
Cherokee,25,Straight Party,,Libertarian Party,LIB,1,0,1
Cherokee,26,Straight Party,,Libertarian Party,LIB,0,0,0
Cherokee,27,Straight Party,,Libertarian Party,LIB,0,0,0
Cherokee,28,Straight Party,,Libertarian Party,LIB,1,0,1
Cherokee,32,Straight Party,,Libertarian Party,LIB,1,0,1
Cherokee,33,Straight Party,,Libertarian Party,LIB,5,1,4
Cherokee,34,Straight Party,,Libertarian Party,LIB,1,1,0
Cherokee,35,Straight Party,,Libertarian Party,LIB,2,0,2
Cherokee,36,Straight Party,,Libertarian Party,LIB,2,1,1
Cherokee,37,Straight Party,,Libertarian Party,LIB,0,0,0
Cherokee,38,Straight Party,,Libertarian Party,LIB,0,0,0
Cherokee,42,Straight Party,,Libertarian Party,LIB,1,0,1
Cherokee,43,Straight Party,,Libertarian Party,LIB,2,1,1
Cherokee,44,Straight Party,,Libertarian Party,LIB,1,1,0
Cherokee,45,Straight Party,,Libertarian Party,LIB,0,0,0
Cherokee,46,Straight Party,,Libertarian Party,LIB,2,0,2
Cherokee,47,Straight Party,,Libertarian Party,LIB,1,0,1
Cherokee,48,Straight Party,,Libertarian Party,LIB,0,0,0
Cherokee,12,Straight Party,,Green Party,GRN,3,3,0
Cherokee,13,Straight Party,,Green Party,GRN,1,1,0
Cherokee,14,Straight Party,,Green Party,GRN,0,0,0
Cherokee,15,Straight Party,,Green Party,GRN,1,1,0
Cherokee,22,Straight Party,,Green Party,GRN,0,0,0
Cherokee,23,Straight Party,,Green Party,GRN,1,1,0
Cherokee,24,Straight Party,,Green Party,GRN,1,0,1
Cherokee,25,Straight Party,,Green Party,GRN,0,0,0
Cherokee,26,Straight Party,,Green Party,GRN,1,1,0
Cherokee,27,Straight Party,,Green Party,GRN,1,0,1
Cherokee,28,Straight Party,,Green Party,GRN,0,0,0
Cherokee,32,Straight Party,,Green Party,GRN,0,0,0
Cherokee,33,Straight Party,,Green Party,GRN,0,0,0
Cherokee,34,Straight Party,,Green Party,GRN,2,1,1
Cherokee,35,Straight Party,,Green Party,GRN,0,0,0
Cherokee,36,Straight Party,,Green Party,GRN,1,0,1
Cherokee,37,Straight Party,,Green Party,GRN,1,0,1
