county,precinct,office,district,candidate,party,votes,election_day,early_voting,mail
Comal,101,REGISTERED VOTERS,,,,3783,,,
Comal,102,REGISTERED VOTERS,,,,3031,,,
Comal,103,REGISTERED VOTERS,,,,2864,,,
Comal,104,REGISTERED VOTERS,,,,1876,,,
Comal,105,REGISTERED VOTERS,,,,4948,,,
Comal,106,REGISTERED VOTERS,,,,4447,,,
Comal,201,REGISTERED VOTERS,,,,3421,,,
Comal,202,REGISTERED VOTERS,,,,824,,,
Comal,203,REGISTERED VOTERS,,,,3148,,,
Comal,204,REGISTERED VOTERS,,,,4685,,,
Comal,205,REGISTERED VOTERS,,,,5292,,,
Comal,206,REGISTERED VOTERS,,,,3929,,,
Comal,301,REGISTERED VOTERS,,,,4173,,,
Comal,302,REGISTERED VOTERS,,,,5090,,,
Comal,303,REGISTERED VOTERS,,,,1117,,,
Comal,304,REGISTERED VOTERS,,,,4054,,,
Comal,305,REGISTERED VOTERS,,,,1329,,,
Comal,401,REGISTERED VOTERS,,,,1877,,,
Comal,402,REGISTERED VOTERS,,,,3850,,,
Comal,403,REGISTERED VOTERS,,,,3435,,,
Comal,404,REGISTERED VOTERS,,,,4981,,,
Comal,405,REGISTERED VOTERS,,,,3176,,,
Comal,406,REGISTERED VOTERS,,,,3304,,,
Comal,PRECINCT 101,BALLOTS CAST,,,,2493,472,1837,184
Comal,PRECINCT 102,BALLOTS CAST,,,,2208,387,1696,125
Comal,PRECINCT 103,BALLOTS CAST,,,,2105,481,1486,138
Comal,PRECINCT 104,BALLOTS CAST,,,,1295,285,909,101
Comal,PRECINCT 105,BALLOTS CAST,,,,2985,956,1774,255
Comal,PRECINCT 106,BALLOTS CAST,,,,3283,621,2485,177
Comal,PRECINCT 201,BALLOTS CAST,,,,2115,649,1334,132
Comal,PRECINCT 202,BALLOTS CAST,,,,533,159,328,46
Comal,PRECINCT 203,BALLOTS CAST,,,,2367,515,1674,178
Comal,PRECINCT 204,BALLOTS CAST,,,,3196,751,2232,213
Comal,PRECINCT 205,BALLOTS CAST,,,,3979,599,3151,229
Comal,PRECINCT 206,BALLOTS CAST,,,,2919,513,2180,226
Comal,PRECINCT 301,BALLOTS CAST,,,,1726,690,913,123
Comal,PRECINCT 302,BALLOTS CAST,,,,3038,867,1959,212
Comal,PRECINCT 303,BALLOTS CAST,,,,587,216,306,65
Comal,PRECINCT 304,BALLOTS CAST,,,,1956,631,1214,111
Comal,PRECINCT 305,BALLOTS CAST,,,,809,271,488,50
Comal,PRECINCT 401,BALLOTS CAST,,,,1279,222,929,128
Comal,PRECINCT 402,BALLOTS CAST,,,,2682,709,1781,192
Comal,PRECINCT 403,BALLOTS CAST,,,,2415,707,1498,210
Comal,PRECINCT 404,BALLOTS CAST,,,,3674,850,2596,228
Comal,PRECINCT 405,BALLOTS CAST,,,,1939,569,1217,153
Comal,PRECINCT 406,BALLOTS CAST,,,,2291,665,1392,234
Comal,PRECINCT 101,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,1028,176,748,104
Comal,PRECINCT 102,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,1217,179,973,65
Comal,PRECINCT 103,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,969,185,696,88
Comal,PRECINCT 104,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,599,102,443,54
Comal,PRECINCT 105,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,1401,385,859,157
Comal,PRECINCT 106,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,1741,288,1339,114
Comal,PRECINCT 201,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,914,254,585,75
Comal,PRECINCT 202,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,261,71,162,28
Comal,PRECINCT 203,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,1219,220,881,118
Comal,PRECINCT 204,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,1634,319,1177,138
Comal,PRECINCT 205,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,1979,234,1608,137
Comal,PRECINCT 206,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,1531,245,1180,106
Comal,PRECINCT 301,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,482,150,302,30
